Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,42.88,43.58,42.75,43.36,43.36,7177531
2013-06-04,43.42,44.47,43.38,43.63,43.63,4528590
2013-06-05,43.49,43.9,42.69,43.04,43.04,4801301
2013-06-06,43.22,43.57,42.65,43.5,43.5,4261300
2013-06-07,43.72,44.27,43.5,44,44,5463840
2013-06-10,44.33,44.33,43.22,43.92,43.92,4703379
2013-06-11,43.31,44.05,43.05,43.59,43.59,3574881
2013-06-12,43.91,44,42.72,42.77,42.77,3742600
2013-06-13,42.42,43.2,40.1,43.15,43.15,6096660
2013-06-14,42.98,43.5,42.5,43.21,43.21,4078500
2013-06-17,43.4,43.5,42.68,43.01,43.01,3457927
2013-06-18,42.97,43.56,42.63,43.54,43.54,3645023
2013-06-19,43.56,43.83,43.01,43.04,43.04,3663528
2013-06-20,42.65,42.78,40.91,41.06,41.06,7476184
2013-06-21,41.66,42.71,41.2,42.62,42.62,9825711
2013-06-24,42.07,42.4,41.32,41.89,41.89,6044516
2013-06-25,42.15,42.77,41.61,42.63,42.63,4687547
2013-06-26,43.1,43.61,43.02,43.38,43.38,4733700
2013-06-27,43.56,43.98,42.74,43.13,43.13,5164223
2013-06-28,42.53,42.97,41.32,41.34,41.34,10754504
2013-07-01,41.4,41.93,41.07,41.61,41.61,4589410
2013-07-02,41.58,42.57,41.58,42.21,42.21,4367391
2013-07-03,41.88,42.31,41.61,42.23,42.23,2417693
2013-07-05,42.45,42.83,42.31,42.72,42.72,2743786
2013-07-08,42.9,43.69,42.82,43.68,43.68,3982360
2013-07-09,44,44.23,43.25,43.32,43.32,3808460
2013-07-10,43.36,44.12,43.36,43.91,43.91,3080100
2013-07-11,43.94,44.11,43.33,43.78,43.78,4061419
2013-07-12,43.93,45.11,43.8,45.05,45.05,5694863
2013-07-15,44.95,44.97,44.54,44.62,44.62,3266589
2013-07-16,44.54,44.77,43.7,43.81,43.81,3714500
2013-07-17,43.97,44.15,43.74,43.96,43.96,3646009
