Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,15.21,15.5,15.2,15.43,15.43,21290640
2013-06-04,15.45,15.64,15.4,15.54,15.54,19217232
2013-06-05,15.52,15.54,15.12,15.15,15.15,16749770
2013-06-06,15.2,15.24,14.88,14.95,14.95,16832560
2013-06-07,15.03,15.52,15.01,15.49,15.49,12485793
2013-06-10,15.5,15.6,15.37,15.46,15.46,9489600
2013-06-11,15.34,15.44,15.17,15.19,15.19,8689855
2013-06-12,15.61,15.81,15.16,15.25,15.25,24028912
2013-06-13,15.29,15.61,15.24,15.6,15.6,11424400
2013-06-14,15.62,15.75,15.38,15.41,15.41,10417700
2013-06-17,15.56,15.9,15.56,15.78,15.78,13251000
2013-06-18,15.77,16.09,15.77,15.97,15.97,13866672
2013-06-19,15.97,16.05,15.66,15.7,15.7,19501184
2013-06-20,15.51,15.53,15.02,15.07,15.07,18636544
2013-06-21,15.07,15.19,14.79,15.08,15.08,22346544
2013-06-24,14.96,15.06,14.81,14.98,14.98,14138800
2013-06-25,15.1,15.32,15.02,15.27,15.27,12764641
2013-06-26,15.37,15.42,14.92,14.97,14.97,18524400
2013-06-27,15.13,15.14,14.88,14.91,14.91,9374800
2013-06-28,14.87,14.99,14.62,14.92,14.92,25016600
2013-07-01,15.06,15.18,14.79,14.82,14.82,8993800
2013-07-02,14.78,14.99,14.68,14.82,14.82,9789100
2013-07-03,14.75,15.05,14.67,15,15,5564746
2013-07-05,15.12,15.31,14.97,15.22,15.22,8382900
2013-07-08,15.36,15.41,15.04,15.14,15.14,10158035
2013-07-09,15.41,15.73,15.37,15.66,15.66,26328800
2013-07-10,15.6,16.47,15.6,16.3,16.3,30007600
2013-07-11,16.47,16.5,16.28,16.49,16.49,14302300
2013-07-12,16.46,16.66,16.43,16.66,16.66,10329400
2013-07-15,16.61,16.72,16.45,16.47,16.47,9482200
2013-07-16,16.55,16.71,16.5,16.58,16.58,8318800
2013-07-17,16.64,16.78,16.57,16.69,16.69,7863900
2013-07-18,16.64,16.7,16.41,16.56,16.56,10658699
2013-07-19,16.64,16.64,16.39,16.56,16.56,8097400
2013-07-22,16.71,16.71,16.27,16.35,16.35,8969400
2013-07-23,16.38,16.51,16.23,16.26,16.26,9116742
2013-07-24,16.33,16.44,16.05,16.1,16.1,8422000
2013-07-25,16.06,16.18,15.92,16.13,16.13,6567900
2013-07-26,15.97,16.13,15.92,16.13,16.13,6531300
2013-07-29,16.05,16.22,16,16.02,16.02,5858000
2013-07-30,16.2,16.46,16.15,16.27,16.27,10455809
2013-07-31,16.27,16.46,16.18,16.32,16.32,10146281
2013-08-01,16.45,16.64,16.38,16.49,16.49,10080400
2013-08-02,16.36,16.41,16.22,16.32,16.32,10739344
2013-08-05,16.18,16.34,16.05,16.1,16.1,8100297
2013-08-06,16.13,16.29,16.07,16.16,16.16,8928230
2013-08-07,16.07,16.16,15.88,15.89,15.89,11619293
2013-08-08,16.02,16.02,15.58,15.65,15.65,19918768
2013-08-09,15.56,15.69,15.47,15.67,15.67,10719793
2013-08-12,15.62,15.75,15.58,15.65,15.65,8657621
2013-08-13,15.76,15.79,15.42,15.73,15.73,7797600
2013-08-14,15.64,15.78,15.52,15.73,15.73,12893164
2013-08-15,15.42,15.59,15.28,15.33,15.33,11225700
2013-08-16,15.22,16.06,15.04,15.62,15.62,30578896
