Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,77.83,78.59,77.2,77.42,77.42,3734400
2013-06-04,77.31,77.97,76.57,76.63,76.63,3311351
2013-06-05,76.64,77.3,75.77,75.87,75.87,3769700
2013-06-06,75.85,78.52,75.79,78.48,78.48,3230370
2013-06-07,78.79,79.05,77.27,78.77,78.77,3873893
2013-06-10,78.79,78.86,76.4,76.45,76.45,3986300
2013-06-11,75.98,76.41,75.21,75.82,75.82,3498900
2013-06-12,76.2,76.35,74.43,74.6,74.6,3773051
2013-06-13,74.43,76.63,74.33,76.48,76.48,3549201
2013-06-14,76.19,78.35,76.19,77.33,77.33,3522400
2013-06-17,77.72,77.88,76.42,76.92,76.92,2870900
2013-06-18,77.11,78.14,77.02,77.29,77.29,2258896
2013-06-19,77.32,77.47,74.41,74.44,74.44,3936500
2013-06-20,73.77,73.77,70.24,70.44,70.44,7500730
2013-06-21,70.92,72.66,70.63,71.99,71.99,6099691
2013-06-24,71.24,72.28,69.54,71.09,71.09,4436800
2013-06-25,71.46,73.32,71.31,72.9,72.9,4109371
2013-06-26,73.49,74.08,73.43,73.83,73.83,3401259
2013-06-27,74.08,75.55,73.91,74.23,74.23,3647347
2013-06-28,74.2,74.22,72.91,73.17,73.17,5955551
2013-07-01,73.43,73.96,71.83,72.01,72.01,5241738
2013-07-02,71.76,72.81,71.76,72.17,72.17,3486900
2013-07-03,71.89,72.51,70.92,72.38,72.38,3458496
2013-07-05,72.77,72.77,70.02,71.67,71.67,4240371
2013-07-08,72,72.66,71.67,72.05,72.05,3486189
2013-07-09,72.72,72.91,72.08,72.86,72.86,3772577
2013-07-10,72.61,75.86,72.57,75.74,75.74,6939988
2013-07-11,76.94,78.33,76.61,77.23,77.23,5572400
2013-07-12,77.83,78.32,76.91,77.84,77.84,2875204
2013-07-15,76.45,77.72,75.4,76.16,76.16,5077121
2013-07-16,75.95,76.44,74.35,74.71,74.71,5978965
2013-07-17,73.02,74.7,71.5,73.87,73.87,26266192
2013-07-18,74.5,75.32,74.07,74.44,74.44,6359023
2013-07-19,74.55,75.16,74.34,75.13,75.13,4092261
2013-07-22,75.15,75.26,73.6,74.32,74.32,3882699
2013-07-23,74.63,75.01,74.1,74.75,74.75,3198200
2013-07-24,74.78,74.8,73.59,73.94,73.94,3459888
2013-07-25,73.34,73.51,72.09,72.31,72.31,4467063
2013-07-26,72.2,72.65,72.03,72.58,72.58,2580200
2013-07-29,72.57,73.04,72.23,72.42,72.42,2659200
2013-07-30,72.82,73.45,72.47,72.67,72.67,2934903
2013-07-31,72.79,73.16,69.74,70.79,70.79,7677400
2013-08-01,71.4,72.51,71.01,71.28,71.28,4097914
2013-08-02,71.21,72.19,70.49,70.5,70.5,3670620
2013-08-05,70.22,71,70.22,70.94,70.94,2671700
2013-08-06,70.72,71.28,70.06,70.27,70.27,3766433
2013-08-07,70.3,70.47,69,69.09,69.09,3922802
2013-08-08,69.01,69.4,68.04,68.99,68.99,4713230
2013-08-09,68.77,70.51,68.77,70.16,70.16,4988141
2013-08-12,70.1,70.18,69.35,69.66,69.66,3507064
2013-08-13,70.1,70.19,68.97,69.28,69.28,3529700
2013-08-14,69.44,69.93,69.03,69.7,69.7,3299623
2013-08-15,68.89,69.6,68.56,69.48,69.48,3105500
2013-08-16,69.16,69.58,68.55,68.58,68.58,2716290
2013-08-19,68.57,69.39,68.34,68.36,68.36,2362689
2013-08-20,68.4,69.99,68.39,69.38,69.38,2481511
2013-08-21,69.19,69.78,68.81,69.03,69.03,2083428
2013-08-22,68.71,69.01,67.89,68.88,68.88,2141200
2013-08-23,69.04,70.1,68.81,70.06,70.06,2527596
2013-08-26,70.02,70.49,69.7,69.94,69.94,2323633
2013-08-27,69.2,70.24,69.04,70.06,70.06,3525882
2013-08-28,69.95,70.33,69.08,69.09,69.09,3179606
2013-08-29,69.05,69.93,68.84,69.69,69.69,1964020
2013-08-30,69.76,69.94,69.32,69.49,69.49,2464633
2013-09-03,69.82,70.3,68.79,69.23,69.23,2446800
2013-09-04,69.23,69.49,68.92,69.24,69.24,3288145
2013-09-05,69.29,69.69,68.69,68.75,68.75,2642348
2013-09-06,71.05,72.44,70.71,71.91,71.91,6812340
2013-09-09,72.16,74.27,72.16,74.26,74.26,4212100
2013-09-10,74.69,74.95,74.09,74.58,74.58,3734142
2013-09-11,74.69,75.02,74.27,75.02,75.02,2613567
2013-09-12,75.15,75.15,73.72,74.12,74.12,2538315
2013-09-13,74.25,74.27,73.35,73.71,73.71,1919700
