Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,82.54,83.49,81.56,81.7,81.7,9078500
2013-06-04,81.18,81.35,79.75,79.8,79.8,4085700
2013-06-05,79.87,79.87,77.53,77.88,77.88,3580400
2013-06-06,79.24,80.01,78.29,79.56,79.56,4877600
2013-06-07,79.76,80.76,79.51,80.59,80.59,1357200
2013-06-10,80.73,81.1,80.39,80.67,80.67,781900
2013-06-11,79.76,80.23,78.84,79.41,79.41,1445800
2013-06-12,80.04,80.14,78.58,78.68,78.68,599101
2013-06-13,78.54,80.4,78.39,80.18,80.18,1435600
2013-06-14,80.1,80.5,79.75,79.77,79.77,676900
2013-06-17,80.45,80.53,78.67,79.27,79.27,1387900
2013-06-18,79.82,80.45,79.55,80.35,80.35,567500
2013-06-19,81.43,81.83,80.04,80.08,80.08,784300
2013-06-20,78.43,78.49,76.67,77.07,77.07,880500
2013-06-21,76.48,76.96,76.09,76.42,76.42,803129
2013-06-24,73.95,75.03,73.89,74.51,74.51,1031023
2013-06-25,74.81,76.08,74.12,75.75,75.75,1064900
2013-06-26,76.84,77.17,76.28,76.83,76.83,654400
2013-06-27,77.93,78.42,77.8,78.05,78.05,572400
2013-06-28,79.09,79.84,78.3,79.11,79.11,1582500
2013-07-01,79.71,79.86,78.18,78.4,78.4,1265500
2013-07-02,78.38,79.13,78.15,78.58,78.58,503500
2013-07-03,78.43,79.96,78.24,79.68,79.68,431356
2013-07-05,81.22,82.36,80.7,82.1,82.1,1093200
2013-07-08,83.23,83.25,81.35,81.53,81.53,1402600
2013-07-09,81.37,82.23,81.04,82.13,82.13,1221601
2013-07-10,82.61,84.03,82.58,83.85,83.85,824100
2013-07-11,86.51,87.4,86.2,87.34,87.34,1250600
2013-07-12,87.76,87.79,86.58,87.15,87.15,908700
2013-07-15,87.93,88,86.07,86.92,86.92,1235800
2013-07-16,87.33,88.05,86.88,87.74,87.74,1589673
2013-07-17,90.76,90.83,87.86,88.97,88.97,1890800
2013-07-18,88.36,89.43,87.7,89.08,89.08,2103273
2013-07-19,88.42,89.16,88.03,89.05,89.05,1182700
2013-07-22,88.54,88.96,88.19,88.65,88.65,867000
2013-07-23,87.82,89,87.77,88.57,88.57,1306700
2013-07-24,88.9,89.27,88.29,88.41,88.41,1081200
2013-07-25,89.11,89.68,88.86,89.67,89.67,1061899
2013-07-26,88.9,89.28,88.56,89.18,89.18,820700
2013-07-29,89.84,90.24,88.62,89.44,89.44,699364
2013-07-30,90.1,90.43,89.61,90.09,90.09,797592
2013-07-31,89.5,90.63,89.38,89.95,89.95,490800
2013-08-01,90.59,91.35,89.83,91.19,91.19,1398800
2013-08-02,90.87,91.99,90.46,91.93,91.93,924320
2013-08-05,91.15,92.03,90.91,92.02,92.02,534835
2013-08-06,92.02,92.32,91.53,92.06,92.06,1258538
2013-08-07,91.23,91.59,90.7,91.5,91.5,349300
2013-08-08,91.87,92.17,91.41,91.88,91.88,512806
2013-08-09,91.21,91.73,91.13,91.48,91.48,1005000
2013-08-12,90.85,91.6,90.81,91.4,91.4,339626
2013-08-13,91.27,92.27,91.04,92.06,92.06,645500
2013-08-14,92.86,93.5,92.71,92.99,92.99,652100
2013-08-15,91.38,92,90.85,91.06,91.06,832910
2013-08-16,91.12,91.75,90.91,91.4,91.4,742145
2013-08-19,91.59,91.73,90.57,90.78,90.78,287662
2013-08-20,90.6,91.17,90.19,90.3,90.3,486772
2013-08-21,90.8,90.95,89.82,90.22,90.22,451220
2013-08-22,91.41,92.17,89.71,90.8,90.8,773813
2013-08-23,91.32,91.44,90.73,90.83,90.83,849400
2013-08-26,91.13,91.32,90.48,90.57,90.57,625507
2013-08-27,89.05,89.31,87.48,87.92,87.92,844291
2013-08-28,87.26,88.67,86.96,88.28,88.28,1181200
2013-08-29,87.17,88.54,87.13,87.92,87.92,1204000
2013-08-30,87.69,87.99,86.83,87.06,87.06,1467700
2013-09-03,87.99,88.55,87.63,88.39,88.39,1217700
2013-09-04,87.85,89.96,87.68,89.6,89.6,1536300
2013-09-05,89.35,89.97,88.99,89.73,89.73,1308100
2013-09-06,89.91,90.16,88.75,88.77,88.77,923037
2013-09-09,89.07,90.03,88.59,89.44,89.44,601022
2013-09-10,89.72,90.46,89.6,90.37,90.37,599828
2013-09-11,89.32,89.57,88.89,89.43,89.43,525000
2013-09-12,91.88,94.01,91.59,92.67,92.67,1236200
2013-09-13,92.42,92.98,91.85,92.94,92.94,568273
2013-09-16,93.6,93.64,92.77,92.8,92.8,359921
2013-09-17,92.22,92.98,92.02,92.91,92.91,684600
2013-09-18,93.22,94.93,92.7,94.75,94.75,715816
2013-09-19,96.37,96.4,95.14,95.64,95.64,615700
2013-09-20,96.95,97.86,96.77,97.47,97.47,952000
2013-09-23,97.23,97.42,95.8,95.88,95.88,456202
2013-09-24,96.95,97.99,96.52,97.44,97.44,736700
2013-09-25,97.55,98.37,97.17,97.81,97.81,552000
2013-09-26,97.3,97.74,96.96,97.67,97.67,441537
2013-09-27,97.8,98.48,97.34,98.45,98.45,741667
2013-09-30,98.7,99.5,98.46,98.76,98.76,673700
2013-10-01,99.38,100.95,99.31,100.91,100.91,537734
2013-10-02,99.72,100.8,99.03,100.66,100.66,417403
2013-10-03,101.73,101.85,99.87,100.55,100.55,1604200
2013-10-04,100.09,101.03,99.97,100.96,100.96,729123
2013-10-07,98.93,99.84,98.89,99.46,99.46,1070609
2013-10-08,99.96,100.11,97.28,97.43,97.43,963900
2013-10-09,95.95,96.55,94.1,96.09,96.09,1256500
2013-10-10,96.71,97.82,96.55,97.71,97.71,1060400
2013-10-11,97.55,98.05,97.43,97.88,97.88,817714
2013-10-14,97.1,97.39,96.59,97.07,97.07,1105748
2013-10-15,97.31,97.5,94.91,95.15,95.15,1908449
2013-10-16,94.98,96.36,93.96,94.98,94.98,2244406
2013-10-17,92.79,93.95,92.59,93.84,93.84,1599249
2013-10-18,92.38,92.93,91.22,92.84,92.84,2663827
2013-10-21,92.05,93.56,92.05,93.14,93.14,1394400
2013-10-22,94.11,94.55,93.78,94.11,94.11,1774743
2013-10-23,94.54,94.54,93.05,93.32,93.32,1399804
2013-10-24,94.32,94.58,93.81,94.09,94.09,622500
2013-10-25,94.45,94.47,93.44,94.31,94.31,599943
2013-10-28,93.96,94.62,93.83,94.33,94.33,544667
2013-10-29,94.61,94.92,93.95,94.2,94.2,1004000
2013-10-30,94.72,94.91,93.42,94.64,94.64,698618
2013-10-31,94.71,95.05,94.06,94.7,94.7,472838
2013-11-01,93.96,94.36,92.39,92.65,92.65,762329
2013-11-04,92.18,92.41,91.57,91.77,91.77,1016314
2013-11-05,90.06,91.05,89.77,90.52,90.52,797453
2013-11-06,90.59,91.12,90.2,90.54,90.54,884841
2013-11-07,88.87,89.21,87.26,87.3,87.3,1502203
2013-11-08,86.66,87.81,86.34,87.37,87.37,1012931
2013-11-11,87.66,88.06,87.22,87.38,87.38,1511768
2013-11-12,86.68,87.15,86.11,86.94,86.94,1965645
2013-11-13,86.67,87.82,86.59,87.68,87.68,2201500
2013-11-14,88.6,89.08,87.88,88.9,88.9,3110803
2013-11-15,89.04,89.93,88.4,89.93,89.93,1255900
2013-11-18,89.44,89.83,88.71,88.86,88.86,969900
2013-11-19,89.93,90.05,88.53,89.12,89.12,1573500
2013-11-20,89.43,89.69,88.29,88.33,88.33,911600
2013-11-21,89.4,90.18,89.3,89.92,89.92,1385700
2013-11-22,90.76,91.84,90.59,91.72,91.72,1245233
2013-11-25,92.14,92.49,91.63,92.08,92.08,760826
2013-11-26,92.53,92.99,91.93,92.76,92.76,1075616
2013-11-27,93.65,93.84,93.2,93.59,93.59,601630
2013-11-29,94.01,94.09,93.28,93.38,93.38,424000
2013-12-02,93.59,94.08,93.42,93.74,93.74,381105
2013-12-03,93.61,94.23,93.39,93.78,93.78,566100
2013-12-04,92.14,93.03,90.95,91.48,91.48,872000
2013-12-05,91.94,92.21,90.88,91.14,91.14,757300
2013-12-06,90.95,92.07,90.82,91.45,91.45,541340
2013-12-09,92.41,92.85,91.66,91.8,91.8,871049
2013-12-10,91.81,92.04,90.9,91.04,91.04,672800
2013-12-11,91.88,91.98,91.01,91.1,91.1,821208
2013-12-12,90.54,90.65,89.27,89.37,89.37,1969603
2013-12-13,89.34,89.4,87.82,88.1,88.1,1036800
2013-12-16,88.72,89.33,87.97,88.22,88.22,1298100
2013-12-17,88.37,88.44,87.76,87.91,87.91,608185
2013-12-18,88.98,89.98,88.54,89.78,89.78,874100
2013-12-19,90.43,91.08,89.94,90.84,90.84,721004
