Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,3.77,3.77,3.66,3.73,3.73,27210000
2013-06-04,3.74,3.82,3.74,3.78,3.78,33120000
2013-06-05,3.77,3.78,3.68,3.7,3.7,15019000
2013-06-06,3.72,3.72,3.64,3.68,3.68,29731000
2013-06-07,3.68,3.73,3.61,3.73,3.73,30733000
2013-06-10,3.75,3.75,3.68,3.68,3.68,26360000
2013-06-11,3.64,3.68,3.63,3.63,3.63,21699000
2013-06-12,3.67,3.67,3.57,3.6,3.6,21307000
2013-06-13,3.57,3.72,3.56,3.71,3.71,29106000
2013-06-14,3.71,3.78,3.71,3.76,3.76,21762000
2013-06-17,3.78,3.83,3.77,3.81,3.81,24727000
2013-06-18,3.8,3.88,3.8,3.88,3.88,27383000
2013-06-19,3.87,3.89,3.81,3.81,3.81,24035000
2013-06-20,3.77,3.79,3.69,3.71,3.71,31638000
2013-06-21,3.7,3.75,3.66,3.74,3.74,80040040
2013-06-24,3.7,3.7,3.61,3.67,3.67,36858000
2013-06-25,3.71,3.76,3.68,3.71,3.71,26019000
2013-06-26,3.74,3.77,3.7,3.73,3.73,20661000
2013-06-27,3.75,3.78,3.73,3.73,3.73,26359000
2013-06-28,3.7,3.76,3.68,3.74,3.74,22998000
2013-07-01,3.79,3.79,3.73,3.76,3.76,27147000
2013-07-02,3.8,3.9,3.78,3.85,3.85,40377000
2013-07-03,3.84,3.89,3.81,3.86,3.86,15217240
2013-07-05,3.86,3.92,3.82,3.88,3.88,14447000
2013-07-08,3.89,3.9,3.72,3.73,3.73,22643000
2013-07-09,3.77,3.8,3.74,3.76,3.76,13855000
2013-07-10,3.76,3.83,3.74,3.83,3.83,17363000
2013-07-11,3.75,3.86,3.75,3.86,3.86,16770990
2013-07-12,3.87,3.9,3.87,3.9,3.9,18342000
2013-07-15,3.9,3.91,3.8,3.8,3.8,21551000
2013-07-16,3.82,3.91,3.82,3.89,3.89,31254000
2013-07-17,3.9,3.97,3.89,3.89,3.89,23992000
2013-07-18,3.88,3.89,3.75,3.76,3.76,37050000
2013-07-19,3.78,3.81,3.75,3.79,3.79,17757000
2013-07-22,3.82,3.82,3.75,3.78,3.78,9869000
2013-07-23,3.81,3.82,3.75,3.76,3.76,16501000
2013-07-24,3.73,3.8,3.69,3.69,3.69,20506000
2013-07-25,3.65,3.7,3.63,3.69,3.69,25512000
2013-07-26,3.65,3.69,3.64,3.68,3.68,12256000
2013-07-29,3.66,3.69,3.64,3.66,3.66,13094330
2013-07-30,3.68,3.7,3.63,3.69,3.69,11651480
2013-07-31,3.7,3.71,3.66,3.67,3.67,13196670
2013-08-01,3.7,3.75,3.68,3.74,3.74,19499000
2013-08-02,3.73,3.75,3.69,3.75,3.75,15186060
2013-08-05,3.72,3.74,3.7,3.7,3.7,11773240
2013-08-06,3.69,3.7,3.67,3.69,3.69,10738070
2013-08-07,3.7,3.73,3.67,3.73,3.73,18035330
2013-08-08,3.76,3.76,3.73,3.73,3.73,19396000
2013-08-09,3.72,3.72,3.67,3.68,3.68,13858000
2013-08-12,3.68,3.78,3.67,3.77,3.77,9880000
2013-08-13,3.78,3.81,3.73,3.8,3.8,13754000
2013-08-14,3.79,3.79,3.71,3.72,3.72,15271350
2013-08-15,3.61,3.69,3.58,3.6,3.6,25111360
2013-08-16,3.6,3.64,3.59,3.63,3.63,13543310
2013-08-19,3.63,3.64,3.61,3.63,3.63,23389000
2013-08-20,3.63,3.71,3.63,3.68,3.68,17417000
2013-08-21,3.66,3.7,3.64,3.66,3.66,14425440
2013-08-22,3.62,3.71,3.61,3.66,3.66,9940000
2013-08-23,3.68,3.7,3.65,3.67,3.67,18322000
2013-08-26,3.7,3.77,3.69,3.75,3.75,13899810
2013-08-27,3.78,3.78,3.64,3.66,3.66,29863000
2013-08-28,3.89,3.95,3.79,3.83,3.83,67812890
2013-08-29,3.84,3.9,3.81,3.9,3.9,35957860
2013-08-30,3.9,3.9,3.83,3.85,3.85,25073000
2013-09-03,3.88,3.91,3.8,3.84,3.84,17351330
2013-09-04,3.86,3.91,3.82,3.9,3.9,12588000
2013-09-05,3.91,3.92,3.87,3.88,3.88,14372000
2013-09-06,3.92,3.92,3.82,3.86,3.86,17155470
2013-09-09,3.89,3.9,3.86,3.88,3.88,16367570
2013-09-10,3.9,3.97,3.9,3.97,3.97,24344060
2013-09-11,3.92,3.95,3.87,3.93,3.93,23927220
