Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,13.69,13.73,13.21,13.55,13.55,197188944
2013-06-04,13.51,13.67,13.31,13.36,13.36,130055400
2013-06-05,13.29,13.45,12.97,13.09,13.09,185778900
2013-06-06,13.08,13.24,12.85,13.2,13.2,142366128
2013-06-07,13.33,13.39,13.15,13.38,13.38,121059120
2013-06-10,13.49,13.55,13.26,13.3,13.3,104649744
2013-06-11,13.11,13.28,13.07,13.12,13.12,106369100
2013-06-12,13.24,13.25,12.97,13.06,13.06,117289400
2013-06-13,13,13.26,12.97,13.21,13.21,103642256
2013-06-14,13.23,13.24,13.03,13.07,13.07,101380700
2013-06-17,13.17,13.26,13.13,13.21,13.21,115455120
2013-06-18,13.22,13.34,13.2,13.27,13.27,67257600
2013-06-19,13.29,13.4,13.17,13.19,13.19,103850688
2013-06-20,13.08,13.14,12.8,12.89,12.89,185775568
2013-06-21,12.99,13,12.39,12.69,12.69,196004700
2013-06-24,12.4,12.45,12.13,12.3,12.3,159762500
2013-06-25,12.61,12.77,12.43,12.67,12.67,132844500
2013-06-26,12.84,12.85,12.68,12.76,12.76,105291936
2013-06-27,12.84,13.03,12.78,13.01,13.01,124616300
2013-06-28,12.97,13,12.84,12.86,12.86,90297312
2013-07-01,12.95,13.1,12.92,12.93,12.93,83146320
2013-07-02,12.95,13.1,12.8,12.9,12.9,83709568
2013-07-03,12.82,12.84,12.73,12.83,12.83,37971760
2013-07-05,12.99,13.08,12.91,13.06,13.06,80761184
2013-07-08,13.11,13.37,13.08,13.28,13.28,107441200
2013-07-09,13.37,13.53,13.25,13.53,13.53,106067300
2013-07-10,13.51,13.53,13.31,13.37,13.37,104353680
2013-07-11,13.54,13.58,13.33,13.51,13.51,93757312
2013-07-12,13.54,13.8,13.47,13.78,13.78,123981808
2013-07-15,13.93,13.94,13.76,13.88,13.88,90767808
2013-07-16,13.93,14.02,13.77,13.92,13.92,146041900
2013-07-17,14.06,14.44,14.04,14.31,14.31,249676256
2013-07-18,14.4,14.85,14.4,14.76,14.76,221798256
2013-07-19,14.76,14.76,14.6,14.75,14.75,136197056
2013-07-22,14.74,14.99,14.65,14.92,14.92,112420752
2013-07-23,14.98,15.03,14.86,14.94,14.94,113736944
2013-07-24,15,15,14.68,14.71,14.71,117772192
2013-07-25,14.62,14.85,14.54,14.83,14.83,89385248
2013-07-26,14.7,14.76,14.62,14.73,14.73,73779184
2013-07-29,14.65,14.7,14.45,14.52,14.52,88769120
2013-07-30,14.58,14.63,14.46,14.52,14.52,71675200
2013-07-31,14.58,14.85,14.57,14.6,14.6,128183120
2013-08-01,14.85,14.97,14.82,14.95,14.95,108554880
2013-08-02,14.88,14.91,14.78,14.84,14.84,83376128
2013-08-05,14.77,14.84,14.7,14.8,14.8,61711900
2013-08-06,14.74,14.76,14.63,14.64,14.64,84249800
2013-08-07,14.43,14.57,14.25,14.53,14.53,128693600
2013-08-08,14.68,14.7,14.44,14.61,14.61,88544100
2013-08-09,14.56,14.61,14.4,14.45,14.45,73005184
2013-08-12,14.36,14.47,14.32,14.41,14.41,60868048
2013-08-13,14.47,14.62,14.33,14.51,14.51,75778192
2013-08-14,14.55,14.75,14.54,14.6,14.6,78553700
2013-08-15,14.46,14.47,14.31,14.32,14.32,99238900
2013-08-16,14.29,14.47,14.21,14.42,14.42,104959376
2013-08-19,14.37,14.38,14.13,14.15,14.15,98384624
2013-08-20,14.18,14.38,13.98,14.29,14.29,114332500
2013-08-21,14.26,14.48,14.2,14.34,14.34,91680600
2013-08-22,14.47,14.6,14.4,14.57,14.57,76350880
2013-08-23,14.59,14.69,14.51,14.57,14.57,67699200
2013-08-26,14.53,14.7,14.49,14.49,14.49,68938900
2013-08-27,14.26,14.41,14.1,14.11,14.11,122534200
2013-08-28,14.07,14.25,13.99,14.12,14.12,96473632
2013-08-29,14.14,14.3,14.12,14.17,14.17,76691504
2013-08-30,14.23,14.25,14.07,14.12,14.12,73233400
2013-09-03,14.3,14.38,14.18,14.25,14.25,74628700
2013-09-04,14.22,14.4,14.21,14.32,14.32,71133184
2013-09-05,14.41,14.55,14.36,14.37,14.37,71229744
2013-09-06,14.47,14.5,14.27,14.36,14.36,75513100
2013-09-09,14.41,14.49,14.37,14.48,14.48,53449504
2013-09-10,14.52,14.69,14.52,14.61,14.61,93180816
2013-09-11,14.56,14.68,14.52,14.65,14.65,81101120
2013-09-12,14.65,14.68,14.46,14.48,14.48,63355900
2013-09-13,14.46,14.55,14.45,14.49,14.49,56793400
2013-09-16,14.61,14.68,14.53,14.53,14.53,65822432
2013-09-17,14.53,14.62,14.4,14.55,14.55,73686192
2013-09-18,14.53,14.82,14.49,14.72,14.72,127490688
2013-09-19,14.8,14.83,14.58,14.61,14.61,79710944
