Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,85.91,86.3,85.74,86.13,86.13,6093938
2013-06-04,85.95,86.47,85.44,85.92,85.92,5106309
2013-06-05,85.47,85.73,84.23,84.42,84.42,7359414
2013-06-06,84.3,84.31,83.3,84,84,7009910
2013-06-07,84.65,85.37,83.63,84.65,84.65,5474875
2013-06-10,84.71,84.77,83.63,83.8,83.8,4966254
2013-06-11,83.03,83.97,82.63,83.52,83.52,5277168
2013-06-12,84.17,84.38,83.01,83.21,83.21,4748316
2013-06-13,83.32,85.28,83.19,85.14,85.14,6353695
2013-06-14,85.01,85.14,83.4,83.87,83.87,5149758
2013-06-17,83.55,84.43,83.42,83.92,83.92,4390148
2013-06-18,84.09,84.87,83.96,84.55,84.55,3723900
2013-06-19,84.5,85.29,84.25,84.25,84.25,4712992
2013-06-20,83.19,83.68,82.35,83.2,83.2,7629652
2013-06-21,84.02,84.02,81.93,83.12,83.12,9736766
2013-06-24,82.06,82.25,80.86,81.52,81.52,7526016
2013-06-25,82.34,82.68,81.97,82.33,82.33,6251090
2013-06-26,82.92,83.43,81.7,82.1,82.1,6952383
2013-06-27,82.55,83.17,82.55,82.96,82.96,4659773
2013-06-28,82.76,83.19,82.31,82.49,82.49,8451641
2013-07-01,83.04,83.25,82.27,82.72,82.72,4676582
2013-07-02,82.77,83.59,82.04,82.48,82.48,3660214
2013-07-03,82.15,82.5,81.56,81.85,81.85,2928807
2013-07-05,82.53,82.63,81.4,82.14,82.14,4824855
2013-07-08,82.4,83.2,82.25,83.2,83.2,4880555
2013-07-09,84.07,86.25,83.72,85.33,85.33,7884277
2013-07-10,85.42,85.77,84.79,84.96,84.96,4216996
2013-07-11,86.46,86.89,86.1,86.7,86.7,5435660
2013-07-12,86.63,87.27,86.54,87.17,87.17,4878066
2013-07-15,87.24,88.03,87.19,87.4,87.4,4163551
2013-07-16,87.72,88.53,87.42,88.17,88.17,5433773
2013-07-17,88.45,89,85.88,86.67,86.67,15079547
2013-07-18,85.88,86.6,85.42,85.72,85.72,7048223
2013-07-19,85.45,85.88,85.15,85.65,85.65,5086266
2013-07-22,85.38,86.55,85.38,86,86,4837035
2013-07-23,85.49,86.38,85.12,85.52,85.52,6894637
2013-07-24,84.58,85.28,82.63,83.44,83.44,16611871
2013-07-25,82.05,82.58,81.35,82.14,82.14,9941707
2013-07-26,81.88,82.08,81.44,82.06,82.06,5729324
2013-07-29,82.42,83.35,82,83.02,83.02,9075320
2013-07-30,83.47,83.75,82.66,83.19,83.19,5266000
2013-07-31,83.58,83.9,82.84,82.91,82.91,7012900
2013-08-01,83.62,84.81,83.12,84.44,84.44,6573129
2013-08-02,84.29,84.68,83.5,84.3,84.3,4864700
2013-08-05,84.11,84.29,83.5,83.56,83.56,3760026
2013-08-06,83.31,83.32,82.15,82.53,82.53,7224250
2013-08-07,82.38,82.77,81.8,82.43,82.43,4292402
2013-08-08,82.95,84.59,82.92,83.96,83.96,6400600
2013-08-09,83.8,84.79,83.5,84.51,84.51,5478617
2013-08-12,84.19,86.45,84.06,86.32,86.32,8609000
2013-08-13,86.62,87.43,86.45,86.57,86.57,6711926
2013-08-14,86.86,87,85.71,85.82,85.82,4463957
2013-08-15,84.96,86.53,84.88,85.86,85.86,5139375
2013-08-16,85.85,86.4,85.14,85.16,85.16,4706996
2013-08-19,85.15,85.5,83.95,84.2,84.2,3766335
2013-08-20,83.8,84.46,83.27,83.86,83.86,4690043
2013-08-21,83.52,83.85,82.83,82.94,82.94,5563359
2013-08-22,83.31,84.49,83.06,84.17,84.17,4740344
2013-08-23,84.38,84.4,83.4,83.89,83.89,4487262
2013-08-26,83.98,84.78,83.52,83.56,83.56,4123300
2013-08-27,82.88,83.54,82.48,82.7,82.7,5570738
2013-08-28,81.81,82.66,81.46,82.45,82.45,6763707
2013-08-29,82.5,83.06,82.02,82.53,82.53,3706400
2013-08-30,82.59,82.76,82.21,82.54,82.54,4425863
2013-09-03,83.15,83.54,81.72,82.51,82.51,7544200
2013-09-04,82.75,83.74,82.3,83.54,83.54,4484027
2013-09-05,83.37,83.52,82.71,82.95,82.95,3728404
2013-09-06,83.22,84.22,82.4,83.39,83.39,5566500
2013-09-09,84.04,86.03,84.02,85.59,85.59,6708879
2013-09-10,86.81,86.89,86.18,86.61,86.61,6298766
2013-09-11,86.5,87.13,86.26,87.13,87.13,4383242
2013-09-12,86.94,87.22,86.62,86.84,86.84,3980970
2013-09-13,87.1,87.2,86.38,87.01,87.01,3276000
2013-09-16,87.96,88.22,87.03,87.18,87.18,4877645
2013-09-17,87.36,87.45,86.67,87.07,87.07,3417755
2013-09-18,86.31,88.01,86.2,87.84,87.84,5567445
2013-09-19,88.04,88.25,87.31,87.75,87.75,4765531
2013-09-20,87.61,87.65,84.75,84.75,84.75,13446484
2013-09-23,85,85.39,84.38,85.03,85.03,6048400
2013-09-24,85.13,85.44,84.53,85.11,85.11,3720900
