Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,109.92,111.05,108.57,110.88,110.88,2341513
2013-06-04,110.86,111.81,109.9,110.66,110.66,1855200
2013-06-05,110.12,110.59,108.88,109.17,109.17,2018400
2013-06-06,109.54,111.13,109.38,111.09,111.09,2187533
2013-06-07,111.24,111.95,110.17,110.58,110.58,2013400
2013-06-10,110.93,111.03,109.64,110.31,110.31,1563900
2013-06-11,109.75,111,109.52,110.02,110.02,1066500
2013-06-12,110.75,110.82,109.11,109.4,109.4,1320285
2013-06-13,109.17,111.14,109.02,110.88,110.88,1230500
2013-06-14,110.37,111.62,110.33,111,111,1318000
2013-06-17,111.75,112.5,110.94,111.7,111.7,1441715
2013-06-18,111.54,112.2,111.2,112.09,112.09,1250200
2013-06-19,112.23,112.59,110.14,110.19,110.19,1458888
2013-06-20,109.73,109.73,107.38,107.56,107.56,2212078
2013-06-21,108.39,109.58,107.9,108.65,108.65,3111500
2013-06-24,107.46,110.6,107.44,109.64,109.64,1832300
2013-06-25,110.68,110.68,109.24,110.25,110.25,1607898
2013-06-26,110.45,111.47,110.1,111.18,111.18,1539200
2013-06-27,111.57,112.35,111.24,111.49,111.49,922200
2013-06-28,111.21,112.22,110.52,110.57,110.57,1853600
2013-07-01,111.55,111.81,110.32,110.43,110.43,1113069
2013-07-02,110.63,111.87,110.45,110.85,110.85,1279700
2013-07-03,110.43,111.29,110.06,110.91,110.91,755129
2013-07-05,112.24,112.31,110.71,111.76,111.76,1366700
2013-07-08,112.34,112.97,112.07,112.62,112.62,1525371
2013-07-09,113.09,113.6,112.75,113.35,113.35,1360800
2013-07-10,113.48,114.04,113.31,113.65,113.65,1274300
2013-07-11,114.84,115.94,114.34,115.9,115.9,1550024
2013-07-12,115.47,116.88,115.2,116.46,116.46,2233300
2013-07-15,116,116.24,115.12,115.89,115.89,1156500
2013-07-16,116.17,116.74,115.55,116.53,116.53,1295200
2013-07-17,116.96,117.7,116.35,117.4,117.4,1277085
2013-07-18,117.34,117.6,116.4,117.06,117.06,1180700
2013-07-19,117.58,118.14,116.57,118.07,118.07,1639200
2013-07-22,118.82,118.83,117.65,118.05,118.05,1158000
2013-07-23,118.37,119.15,118.29,119.1,119.1,1079600
2013-07-24,119,119.39,117.25,117.9,117.9,1726944
2013-07-25,117.09,117.68,116.66,117.45,117.45,1352200
2013-07-26,116.77,117,115.54,116.57,116.57,1863100
2013-07-29,116.48,117.7,116.24,117.14,117.14,1198100
2013-07-30,117.84,118.31,116.77,116.93,116.93,1162500
2013-07-31,117.55,118.1,116.97,117.42,117.42,1925224
2013-08-01,118.07,118.6,117.65,118.34,118.34,1265363
2013-08-02,118.3,119.5,117.92,119.37,119.37,1504570
2013-08-05,119.45,120.2,118.94,120.07,120.07,1336829
2013-08-06,119.24,119.92,119.02,119.5,119.5,1308500
2013-08-07,119.15,119.52,118.46,119.34,119.34,1298486
2013-08-08,118.06,118.91,116.08,117.39,117.39,2373419
2013-08-09,116.86,117.25,115.37,115.63,115.63,1677143
2013-08-12,115.59,116.21,115.02,115.73,115.73,1596807
2013-08-13,116.34,116.35,114.75,115.65,115.65,1230433
2013-08-14,115.15,115.25,113.59,113.78,113.78,1657253
2013-08-15,112.46,112.78,111.51,111.79,111.79,1657013
2013-08-16,111.77,112.51,111.65,111.9,111.9,1651380
2013-08-19,111.9,112.94,111.8,112.08,112.08,1260770
2013-08-20,112.24,113.29,112.1,112.84,112.84,1449461
2013-08-21,112.63,112.87,111.85,111.96,111.96,1329774
2013-08-22,112.05,112.58,111.9,112.24,112.24,998884
2013-08-23,112.59,113.49,111.66,113.07,113.07,1449229
2013-08-26,113,113.12,111.84,111.87,111.87,1033514
2013-08-27,111.23,111.87,111.03,111.67,111.67,1415500
2013-08-28,111.72,111.72,110.36,110.46,110.46,1649794
2013-08-29,110.29,111.89,110.19,111.39,111.39,1388000
2013-08-30,111.74,112.19,111.15,111.87,111.87,1207700
2013-09-03,112.81,113.13,111.55,111.98,111.98,1204627
2013-09-04,111.99,112.28,111.35,111.5,111.5,1398392
2013-09-05,113,115.1,113,114.62,114.62,2564100
2013-09-06,114.3,115.01,113.12,114.35,114.35,2232000
2013-09-09,114.17,115.47,113.93,115.35,115.35,1262644
2013-09-10,115.85,117.56,115.53,117.32,117.32,1665630
2013-09-11,117.57,119.34,117.5,119.25,119.25,1808600
2013-09-12,119.06,119.33,117.86,118.19,118.19,1371136
2013-09-13,118.53,118.57,116.91,117.03,117.03,1661583
2013-09-16,118.36,118.46,116.96,117.35,117.35,1782654
2013-09-17,117.3,118.52,117.09,117.91,117.91,990922
2013-09-18,117.68,119.06,116.96,118.64,118.64,1858820
2013-09-19,119.07,119.47,118.63,119.2,119.2,1228685
2013-09-20,119.36,119.45,117.61,117.94,117.94,2589578
2013-09-23,117.08,118.17,117.05,117.57,117.57,1762600
2013-09-24,117.32,118.08,116.32,116.34,116.34,1650000
2013-09-25,116.45,116.57,115,115.41,115.41,2271407
2013-09-26,115.89,116.48,115.24,116.4,116.4,1039100
2013-09-27,115.61,116.21,115.42,115.72,115.72,898256
2013-09-30,115.03,115.56,114.74,115.17,115.17,1830469
2013-10-01,115.11,115.17,114.65,115,115,1454630
2013-10-02,114.62,115.09,114.32,114.82,114.82,1640200
2013-10-03,114.34,115.14,113.9,114.42,114.42,1608037
2013-10-04,114.18,114.95,114.03,114.44,114.44,1084988
2013-10-07,113.81,114.16,113.36,113.41,113.41,1294540
2013-10-08,113.49,113.79,112.12,112.21,112.21,2148600
2013-10-09,111.08,115.23,110.15,114.59,114.59,5852777
2013-10-10,114.98,115.96,114.13,115.7,115.7,2388300
2013-10-11,115.16,116,114.74,115.9,115.9,1563043
2013-10-14,115.01,116.3,115.01,116.26,116.26,1195117
2013-10-15,115.76,116.11,115.27,115.36,115.36,1503334
2013-10-16,116.27,117.49,115.62,117.36,117.36,1854900
