Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,42.37,42.44,40.09,41.04,41.04,8969800
2013-06-04,39.25,40.19,37.57,37.8,37.8,29720600
2013-06-05,38.68,38.81,37.69,37.95,37.95,18556600
2013-06-06,37.87,38.4,37.1,38.06,38.06,10970900
2013-06-07,38.38,39.64,38.27,39.61,39.61,10146600
2013-06-10,39.95,39.97,38.52,38.68,38.68,10800800
2013-06-11,38.24,38.32,37.34,37.59,37.59,8942900
2013-06-12,38.12,38.51,37.29,37.58,37.58,7769100
2013-06-13,37.46,37.98,36.87,37.8,37.8,5839000
2013-06-14,37.79,38.72,37.5,37.56,37.56,4942800
2013-06-17,37.22,38.82,37.08,38.22,38.22,6521400
2013-06-18,38.25,38.52,38.04,38.25,38.25,3207200
2013-06-19,38.25,38.5,37.58,37.65,37.65,4960400
2013-06-20,37.36,37.79,36.58,36.75,36.75,5537300
2013-06-21,37,38.83,36.09,38.3,38.3,15540200
2013-06-24,37.63,37.63,36.13,36.95,36.95,8583200
2013-06-25,37.61,38.24,37.34,37.44,37.44,5831200
2013-06-26,37.75,38.2,37.72,38,38,5046600
2013-06-27,38.34,38.95,38.3,38.84,38.84,5187200
2013-06-28,38.44,38.57,37.81,38.18,38.18,5064800
2013-07-01,38.56,38.72,37.76,37.8,37.8,3799100
2013-07-02,37.74,38.4,37.73,38.17,38.17,4111000
2013-07-03,37.89,38.74,37.78,38.55,38.55,2292300
2013-07-05,38.96,39.07,38.33,38.94,38.94,2824600
2013-07-08,39.03,39.36,38.33,38.43,38.43,3846100
2013-07-09,38.49,38.81,37.94,38.72,38.72,3796000
2013-07-10,38.77,39.97,38.58,39.74,39.74,4668200
2013-07-11,40.21,41.7,40.16,41.52,41.52,6911700
2013-07-12,41.56,42.6,41.33,42.43,42.43,5274600
2013-07-15,42.27,42.43,41.29,41.98,41.98,4151300
2013-07-16,41.94,42.05,41.4,41.84,41.84,3897400
2013-07-17,42,42.74,41.73,42.71,42.71,4606300
2013-07-18,42.55,43,41.54,41.9,41.9,5920400
2013-07-19,41.85,42.75,41.7,42.5,42.5,6078500
2013-07-22,42.5,42.52,41.84,42.04,42.04,3133800
2013-07-23,42.13,43.16,42.01,42.54,42.54,4638200
2013-07-24,43.01,43.53,41.95,42.01,42.01,6022200
2013-07-25,42.12,43.47,42.06,43.22,43.22,5236900
2013-07-26,42.97,43.33,42.28,43.22,43.22,2733000
2013-07-29,43.16,43.43,42.51,43.31,43.31,3087200
2013-07-30,43.59,44.42,43.52,43.99,43.99,4357900
2013-07-31,43.96,44.29,43.65,43.75,43.75,3263200
2013-08-01,44.17,45.6,44.15,45.14,45.14,5479000
2013-08-02,44.97,45.6,44.93,45.52,45.52,3494500
