Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,111.84,113.8,111.6,113.13,113.13,9453302
2013-06-04,112.89,113.7,112.03,113.23,113.23,8087414
2013-06-05,112.7,112.84,111.07,111.6,111.6,9353618
2013-06-06,111.26,111.92,110.55,111.89,111.89,8918478
2013-06-07,112.65,114.61,112.32,114.18,114.18,10248332
2013-06-10,114.28,114.47,113.13,113.8,113.8,8699075
2013-06-11,112.41,113.37,112.36,112.84,112.84,7561159
2013-06-12,113.42,113.56,112.08,112.46,112.46,7072293
2013-06-13,112.22,113.82,111.69,113.32,113.32,7299667
2013-06-14,113.32,113.66,112.27,112.56,112.56,5820129
2013-06-17,113.66,114.13,113.18,113.75,113.75,8208704
2013-06-18,114.04,117.01,113.75,116.43,116.43,15206899
2013-06-19,115.81,116.53,114.76,114.76,114.76,9631423
2013-06-20,113.08,113.35,111.02,111.26,111.26,13115900
2013-06-21,112.84,113.13,111.05,111.79,111.79,13589510
2013-06-24,110.64,110.78,108.92,109.73,109.73,10193172
2013-06-25,110.88,111.26,109.76,110.59,110.59,7644126
2013-06-26,112.12,112.17,110.16,111.26,111.26,6801947
2013-06-27,112.03,112.36,111.31,111.6,111.6,6451215
2013-06-28,111.6,112.17,110.85,110.98,110.98,9604214
2013-07-01,111.07,113.13,110.98,111.69,111.69,7477945
2013-07-02,111.36,111.69,109.49,109.59,109.59,9949530
2013-07-03,109.25,109.97,108.92,109.64,109.64,4482391
2013-07-05,110.88,111.22,109.83,111.22,111.22,4741677
2013-07-08,111.79,112.6,111.36,111.6,111.6,7425192
2013-07-09,112.56,113.9,112.51,113.03,113.03,6591793
2013-07-10,113.51,113.56,111.79,112.65,112.65,5946691
2013-07-11,114.42,114.66,113.08,114.57,114.57,6817207
2013-07-12,114.8,114.85,112.89,113.7,113.7,6951539
2013-07-15,113.56,113.61,112.72,113.08,113.08,7493395
2013-07-16,113.23,113.27,111.69,112.12,112.12,7981378
2013-07-17,112.65,112.99,112.12,112.65,112.65,5612891
2013-07-18,112.94,114.57,112.75,113.08,113.08,8659288
2013-07-19,115.86,119.4,115.33,118.3,118.3,21671889
2013-07-22,118.54,119.25,118.35,118.97,118.97,8684735
2013-07-23,119.02,119.06,117.87,118.25,118.25,6804876
2013-07-24,118.63,118.87,117.53,117.82,117.82,5744374
2013-07-25,117.77,118.15,117.34,118.15,118.15,6259423
2013-07-26,117.96,118.01,117.24,117.96,117.96,6503823
2013-07-29,117.39,117.72,117.05,117.2,117.2,5347718
2013-07-30,117.58,117.91,116.77,117.15,117.15,6520076
