Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,161.56,163.74,159.79,163.56,163.56,4559926
2013-06-04,163.46,165.74,160.5,161.68,161.68,3977736
2013-06-05,161.43,162.89,157.55,158.3,158.3,4141328
2013-06-06,158.3,159.79,156.34,159.68,159.68,3245241
2013-06-07,160.97,166.17,160.59,166.01,166.01,5690465
2013-06-10,166.7,168.2,165.29,167.49,167.49,3914677
2013-06-11,165.35,166.4,163.19,163.31,163.31,3859438
2013-06-12,164.98,164.98,161.07,161.86,161.86,3243773
2013-06-13,161.2,166.39,161.07,165.82,165.82,3769373
2013-06-14,165.74,166.11,162.91,162.92,162.92,2970763
2013-06-17,164.08,165.67,162.91,164.11,164.11,2628540
2013-06-18,164.15,164.87,163.05,164.15,164.15,2061534
2013-06-19,164.16,164.93,161.51,161.56,161.56,3557690
2013-06-20,159.15,159.99,154.84,155.41,155.41,6490461
2013-06-21,157,157.26,152.3,154.25,154.25,5390789
2013-06-24,151.99,152.6,148.71,150.78,150.78,4015475
2013-06-25,152.45,154.31,151.55,153.06,153.06,3275313
2013-06-26,154.48,154.56,150.75,151.66,151.66,3580888
2013-06-27,153.03,154.99,152.61,153.51,153.51,2655049
2013-06-28,152.69,152.77,151,151.25,151.25,3013305
2013-07-01,152.78,154.1,151.7,151.75,151.75,2499460
2013-07-02,151.16,153.19,149.9,150.92,150.92,3093113
2013-07-03,149.62,151.42,149.28,150.43,150.43,1270376
2013-07-05,152.3,153.29,151.5,153.24,153.24,2244855
2013-07-08,154.58,154.8,152.88,153.81,153.81,2700264
2013-07-09,154.99,157.44,153.17,156.94,156.94,3128599
2013-07-10,156.57,157.62,154.67,155.83,155.83,2430100
2013-07-11,158.5,159.74,156.11,157.71,157.71,2967108
2013-07-12,158.62,160.28,158.55,160.11,160.11,2845327
2013-07-15,162.8,163.39,161.16,163,163,4135852
2013-07-16,163.92,164.3,159.43,160.24,160.24,5974617
2013-07-17,159.84,161.99,159.5,161.5,161.5,3716014
2013-07-18,161.58,164.58,161.5,164.06,164.06,3462828
2013-07-19,163.75,164.85,162.58,164.36,164.36,3331395
2013-07-22,163.95,166.33,163.88,166.25,166.25,2746411
2013-07-23,166.5,167.41,165.48,166.26,166.26,2545591
2013-07-24,166.75,166.89,164.44,165.04,165.04,2548142
2013-07-25,164.28,166,163.69,165.91,165.91,2237229
2013-07-26,165.05,165.65,164.27,165.26,165.26,2372436
2013-07-29,164.63,164.83,162.02,163.17,163.17,2824153
2013-07-30,163.49,164.01,162.33,162.43,162.43,2553751
2013-07-31,162.53,165.97,162.43,164.03,164.03,3700636
2013-08-01,165.74,167.9,164.88,167.49,167.49,3253583
2013-08-02,166.83,167.9,166.46,167.62,167.62,1869649
2013-08-05,167.28,169.69,166.44,168.32,168.32,2624080
2013-08-06,168.07,168.28,164.47,164.78,164.78,3598874
2013-08-07,164,164.23,162.05,163.45,163.45,2132122
2013-08-08,164.75,166.43,162.83,162.84,162.84,2818974
2013-08-09,162.4,164.1,162.02,162.13,162.13,2012931
2013-08-12,161.73,162.38,160.55,161.69,161.69,1982134
2013-08-13,161.99,164.55,160.95,163.71,163.71,2311345
2013-08-14,163.85,164.8,162.93,163.34,163.34,1668264
2013-08-15,161.91,161.97,160.07,160.75,160.75,2206961
2013-08-16,160.28,162.29,160.03,160.66,160.66,2024511
2013-08-19,160.17,160.79,158.53,158.63,158.63,2228426
2013-08-20,158.72,160.03,157.78,159.56,159.56,2295599
2013-08-21,158.78,159.23,156.51,157.11,157.11,3053881
2013-08-22,157.81,159.66,157.2,159.41,159.41,2303775
2013-08-23,159.59,159.79,158,158.65,158.65,1500687
2013-08-26,158.41,160.7,157.75,157.9,157.9,1885200
2013-08-27,155.72,156.53,152.93,153.23,153.23,3672000
2013-08-28,153,154.15,151.45,152.97,152.97,2343306
2013-08-29,152.37,154.68,152.09,153.63,153.63,2133886
2013-08-30,153.77,153.98,151.33,152.13,152.13,2234000
2013-09-03,154.48,156.04,153.52,154.76,154.76,2464800
2013-09-04,154.76,157.25,154.35,155.74,155.74,2195819
2013-09-05,155.99,158.05,155.57,156.17,156.17,2446717
2013-09-06,156.98,157.71,153.42,156.66,156.66,2464000
2013-09-09,157.41,159.7,157.16,159.49,159.49,2151255
2013-09-10,162.98,165.53,162.56,165.14,165.14,5267105
2013-09-11,164.93,165.79,163.78,165.06,165.06,2234155
