Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,78.65,79.08,78.05,79.08,79.08,6192723
2013-06-04,78.5,78.82,76.08,76.63,76.63,8792313
2013-06-05,76.11,76.85,74.91,75.1,75.1,8763176
2013-06-06,75.02,77.37,75.01,77.26,77.26,11518566
2013-06-07,77.73,78.97,77.59,78.74,78.74,6556246
2013-06-10,78.94,79.68,77.53,77.73,77.73,7628016
2013-06-11,77.23,78.53,76.96,77.61,77.61,5980242
2013-06-12,78.04,78.3,76.36,76.4,76.4,7360383
2013-06-13,76.35,76.83,76.08,76.53,76.53,9197359
2013-06-14,76.22,76.95,76.07,76.59,76.59,8613100
2013-06-17,77.08,77.48,75.69,76.14,76.14,9315859
2013-06-18,76.12,77.37,76.12,77.19,77.19,6421680
2013-06-19,77.07,77.27,75.92,75.93,75.93,8027609
2013-06-20,75.43,75.43,73.8,73.87,73.87,12377301
2013-06-21,74.49,74.69,73.02,73.82,73.82,15552527
2013-06-24,72.9,74.02,72.41,73.51,73.51,10214746
2013-06-25,74.07,74.73,73.8,74.14,74.14,8525355
2013-06-26,74.79,75.87,74.58,75.67,75.67,7390328
2013-06-27,75.99,76.82,75.8,76.27,76.27,6682117
2013-06-28,76.16,77.79,75.92,77.47,77.47,12488980
2013-07-01,77.63,77.81,76.63,76.87,76.87,7471000
2013-07-02,77.29,78.12,76.96,77.31,77.31,6887887
2013-07-03,76.99,77.99,76.92,77.73,77.73,3034831
2013-07-05,77.91,78.56,77.4,78.29,78.29,4991875
2013-07-08,78.56,79.54,78.54,79.22,79.22,6051992
2013-07-09,79.54,80.15,79.33,79.7,79.7,4987961
2013-07-10,79.67,79.7,78.61,79.4,79.4,5459570
2013-07-11,80.27,80.68,79.58,79.86,79.86,6850059
2013-07-12,79.92,80.75,79.92,80.54,80.54,5178695
2013-07-15,80.63,81.15,80.17,80.4,80.4,5042516
2013-07-16,80.41,80.69,79.84,80.22,80.22,5033043
2013-07-17,80.76,81.23,80.39,80.44,80.44,5702336
2013-07-18,80.33,80.45,79.96,80.02,80.02,5297800
2013-07-19,79.95,80.12,79.42,79.89,79.89,5886297
