Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,74.78,75.39,74.28,75.07,75.07,2943763
2013-06-04,74.92,75.43,73.67,74.01,74.01,3629519
2013-06-05,73.77,73.86,72.84,73.02,73.02,2847519
2013-06-06,73.08,73.93,72.64,73.93,73.93,3006772
2013-06-07,74.63,75.42,74.14,75.29,75.29,3420103
2013-06-10,75.44,75.5,74.53,74.9,74.9,2469566
2013-06-11,74.18,75.11,73.95,74.41,74.41,1648657
2013-06-12,74.98,75.15,73.55,73.61,73.61,2213614
2013-06-13,73.63,74.74,73.47,74.55,74.55,2508948
2013-06-14,74.41,74.88,74.12,74.43,74.43,2769773
2013-06-17,75.05,76.13,74.94,75.89,75.89,3977977
2013-06-18,76.04,77.2,75.89,76.97,76.97,3386979
2013-06-19,76.95,77.05,75.86,75.86,75.86,3212266
2013-06-20,75.22,75.49,73.77,73.94,73.94,3570366
2013-06-21,74.55,74.73,73.58,74.5,74.5,4635986
2013-06-24,73.77,73.82,72.5,72.97,72.97,3762013
2013-06-25,73.74,74.25,73.47,73.92,73.92,2546696
2013-06-26,74.73,76.03,74.68,75.92,75.92,3818185
2013-06-27,76.3,77.11,76.3,76.35,76.35,3520968
2013-06-28,76.16,76.35,75.49,75.53,75.53,3655195
2013-07-01,76.03,77.2,76.03,76.47,76.47,2254711
2013-07-02,75.44,76.01,73.9,74.14,74.14,9437209
2013-07-03,73.65,75.18,73.61,74.74,74.74,2711915
2013-07-05,75.25,76.24,75.25,76.22,76.22,2208728
2013-07-08,76.62,77.15,76.21,76.8,76.8,4054466
2013-07-09,77.42,77.73,77.25,77.48,77.48,3078173
2013-07-10,77.35,77.83,77.05,77.31,77.31,2555672
2013-07-11,78.23,78.7,78.05,78.61,78.61,2614587
2013-07-12,78.6,78.78,77.94,78.42,78.42,2810734
2013-07-15,78.54,78.71,77.79,78.35,78.35,3557600
2013-07-16,78.4,78.67,77.93,78.09,78.09,1985760
2013-07-17,78.42,78.97,78.28,78.48,78.48,2363528
2013-07-18,78.48,79.29,78.07,78.99,78.99,3910686
2013-07-19,80.33,80.78,78.92,79.56,79.56,3343286
2013-07-22,79.06,79.29,78.78,79.06,79.06,2723732
2013-07-23,79.44,79.58,78.95,79.27,79.27,2130414
2013-07-24,79.41,79.58,78.86,79.03,79.03,2091950
2013-07-25,78.82,79.02,78.6,78.87,78.87,2702983
2013-07-26,78.59,78.97,78.35,78.9,78.9,2662135
2013-07-29,78.66,79.13,78.52,78.79,78.79,2380545
2013-07-30,79.25,79.72,78.77,79.02,79.02,2561776
2013-07-31,79.3,79.78,78.95,79,79,3170524
2013-08-01,79.78,80.65,79.62,80.5,80.5,2360914
2013-08-02,80.35,80.71,80.02,80.62,80.62,2517747
2013-08-05,80.24,80.65,79.98,80.47,80.47,1580343
2013-08-06,80.41,80.64,79.88,80.12,80.12,2178916
2013-08-07,79.96,79.97,79.34,79.64,79.64,2561260
2013-08-08,80.06,80.34,79.49,79.5,79.5,2214679
2013-08-09,79.52,79.67,79.12,79.32,79.32,2379118
2013-08-12,78.98,79.54,78.66,79.43,79.43,2221815
2013-08-13,79.47,79.91,79.16,79.67,79.67,1526679
2013-08-14,79.77,79.89,79.23,79.35,79.35,1810466
2013-08-15,78.64,78.73,77.86,78.07,78.07,2412154
2013-08-16,77.73,78.21,77.61,78.03,78.03,3757883
2013-08-19,77.77,78.07,77.49,77.55,77.55,2436564
2013-08-20,77.58,78.25,77.49,77.8,77.8,1853931
2013-08-21,77.68,77.77,76.65,76.71,76.71,3051689
2013-08-22,76.7,77.19,76.52,76.89,76.89,2769961
2013-08-23,76.95,77.67,76.55,77.49,77.49,1897389
2013-08-26,77.6,77.75,77.07,77.16,77.16,2150671
2013-08-27,76.32,76.64,75.29,75.45,75.45,3205845
2013-08-28,75.44,75.91,75.09,75.64,75.64,3200525
2013-08-29,75.45,76.63,75.29,76.22,76.22,1904440
2013-08-30,76.5,76.5,75.46,75.75,75.75,2067535
2013-09-03,76.58,77.14,76.46,77.09,77.09,4233130
2013-09-04,76.54,77.2,76.38,77.08,77.08,3507566
2013-09-05,77.02,77.98,76.82,77.48,77.48,1907313
2013-09-06,77.65,78.28,76.4,77.74,77.74,2163905
2013-09-09,77.91,78.76,77.85,78.47,78.47,2384488
2013-09-10,79,80.24,78.83,80.09,80.09,2481988
2013-09-11,80.16,80.35,79.64,80,80,2639783
2013-09-12,80.05,80.37,79.75,79.76,79.76,2117672
2013-09-13,79.99,80.05,79.32,80.02,80.02,1742409
2013-09-16,81.03,81.24,80.39,81.02,81.02,2271242
2013-09-17,81.05,81.56,80.93,81.35,81.35,2093806
2013-09-18,81.32,82.71,80.83,82.49,82.49,2429152
2013-09-19,82.75,83.35,82.52,82.63,82.63,2406745
2013-09-20,82.45,82.55,81.38,81.38,81.38,3640324
