Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,24.88,25.45,24.83,25.24,25.24,76493440
2013-06-04,25.55,25.98,25.35,25.36,25.36,68524064
2013-06-05,25.11,25.28,24.65,24.7,24.7,53343568
2013-06-06,24.75,24.94,24.27,24.65,24.65,40026688
2013-06-07,24.4,24.7,24.22,24.59,24.59,35543552
2013-06-10,24.71,25.09,24.64,25.01,25.01,29783776
2013-06-11,24.83,25.08,24.63,24.71,24.71,27079568
2013-06-12,24.96,25,24.41,24.46,24.46,24538384
2013-06-13,24.46,25.01,24.4,24.99,24.99,27709952
2013-06-14,25.02,25.14,24.84,24.92,24.92,24762704
2013-06-17,25.11,25.35,24.91,25.1,25.1,42653008
2013-06-18,25.07,25.65,25.07,25.47,25.47,36677344
2013-06-19,25.49,25.68,25,25,25,28850128
2013-06-20,24.73,24.75,24.1,24.19,24.19,63569376
2013-06-21,24.31,24.35,24.09,24.2,24.2,67753936
2013-06-24,24.08,24.22,23.41,23.58,23.58,49150224
2013-06-25,23.83,23.94,23.57,23.88,23.88,34571456
2013-06-26,24.2,24.24,23.89,24.01,24.01,33647904
2013-06-27,24.1,24.35,24.01,24.05,24.05,25565552
2013-06-28,23.93,24.41,23.73,24.23,24.23,80413808
2013-07-01,24.35,24.42,23.84,23.89,23.89,29701488
2013-07-02,23.87,24.04,23.54,23.72,23.72,28293568
2013-07-03,23.7,23.9,23.45,23.76,23.76,18167168
2013-07-05,23.95,24.08,23.68,24.06,24.06,17837840
2013-07-08,23.86,23.91,23.03,23.19,23.19,68832368
2013-07-09,23.3,23.42,23.11,23.13,23.13,34747776
2013-07-10,23.14,23.3,22.64,23.25,23.25,50037456
2013-07-11,23.56,24,23.47,23.99,23.99,41315904
2013-07-12,23.95,24,23.65,23.9,23.9,34563312
2013-07-15,23.84,23.97,23.76,23.94,23.94,25650752
2013-07-16,24,24.3,23.9,24.25,24.25,34499280
2013-07-17,24.3,24.43,24.04,24.15,24.15,44084112
2013-07-18,23.47,23.61,23.16,23.24,23.24,77863872
2013-07-19,23.11,23.15,22.81,23.04,23.04,45875728
2013-07-22,23.07,23.12,22.73,22.77,22.77,35890880
2013-07-23,22.85,22.99,22.64,22.75,22.75,28523648
2013-07-24,22.93,23,22.63,22.93,22.93,33432624
2013-07-25,22.85,23.06,22.82,23.06,23.06,114566880
2013-07-26,22.94,23.26,22.9,23.26,23.26,110479632
2013-07-29,23.17,23.3,23.07,23.24,23.24,85543568
2013-07-30,23.3,23.5,23.28,23.38,23.38,28858112
