Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,84.28,84.71,83.37,84.71,84.71,11770699
2013-06-04,84.72,85.03,83.56,84.1,84.1,9972063
2013-06-05,83.91,85,83.48,83.68,83.68,9839008
2013-06-06,83.59,84.46,82.65,84.46,84.46,10671699
2013-06-07,84.96,85.18,84.4,84.91,84.91,8908934
2013-06-10,85.01,85.71,84.73,85.14,85.14,8477074
2013-06-11,84.76,85.02,84.13,84.69,84.69,8966973
2013-06-12,85.18,85.5,83.7,83.74,83.74,8413293
2013-06-13,83.6,84.96,83.08,84.91,84.91,8573402
2013-06-14,84.71,85.48,84.66,84.91,84.91,6357031
2013-06-17,85.37,86.41,84.98,85.63,85.63,8429066
2013-06-18,85.75,86.44,85.63,86.36,86.36,7234316
2013-06-19,86.43,86.5,84.8,84.86,84.86,8288594
2013-06-20,84.21,84.45,82.12,82.62,82.62,15173934
2013-06-21,83,84.32,82.5,83.2,83.2,20718880
2013-06-24,82.92,85.31,82.81,84.61,84.61,14777598
2013-06-25,85.16,85.59,84.54,85.35,85.35,11241285
2013-06-26,85.95,87.32,85.94,86.99,86.99,11966641
2013-06-27,87.53,87.82,86.49,86.71,86.71,8890594
2013-06-28,86.72,87.38,85.85,85.86,85.86,11898238
2013-07-01,85.72,87.64,85.5,86.63,86.63,9906012
2013-07-02,86.65,87.2,86.21,86.57,86.57,8573754
2013-07-03,86.54,87.04,86.1,86.78,86.78,3608615
2013-07-05,87.58,87.88,86.92,87.87,87.87,5403977
2013-07-08,88.09,88.99,87.97,88.59,88.59,12051770
2013-07-09,88.65,89.08,88.36,88.88,88.88,9349609
2013-07-10,88.88,89.48,88.81,89.24,89.24,7068375
2013-07-11,89.81,89.93,89,89.67,89.67,8941309
2013-07-12,89.69,89.99,89.38,89.99,89.99,7592887
2013-07-15,89.91,90.81,89.76,90.4,90.4,13344859
2013-07-16,91.04,91.66,90.13,90.4,90.4,11413016
2013-07-17,90.58,90.97,89.88,90.13,90.13,12835590
2013-07-18,90.33,90.95,90.06,90.17,90.17,8329813
2013-07-19,90.24,92.27,90.05,92.23,92.23,12506566
2013-07-22,92.08,92.56,91.61,92.28,92.28,9916891
2013-07-23,92.39,92.86,92.11,92.42,92.42,8467941
2013-07-24,92.65,92.66,91.75,92.36,92.36,6846207
2013-07-25,92,92.75,91.75,92.57,92.57,7369027
2013-07-26,92.32,92.93,91.65,92.83,92.83,8664441
2013-07-29,92.63,93.39,92.61,93.21,93.21,7926934
