Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,39.95,40.84,39.63,40.81,40.81,16581195
2013-06-04,41.59,41.72,40.95,41.42,41.42,19241136
2013-06-05,41.4,41.4,40.6,40.65,40.65,16429300
2013-06-06,40.55,40.79,40.31,40.79,40.79,11171676
2013-06-07,41.2,41.73,40.98,41.41,41.41,14460574
2013-06-10,41.5,41.52,41.04,41.18,41.18,11247680
2013-06-11,40.88,40.98,40.4,40.79,40.79,16494102
2013-06-12,40.79,40.94,40.28,40.39,40.39,11611590
2013-06-13,40.31,40.48,39.68,40.41,40.41,17866672
2013-06-14,40.38,40.79,40.26,40.34,40.34,13635398
2013-06-17,40.54,40.91,40.4,40.68,40.68,12411012
2013-06-18,40.7,41,40.57,40.93,40.93,9893100
2013-06-19,41.01,41.44,40.41,40.41,40.41,16936304
2013-06-20,40.27,40.35,38.97,39.13,39.13,24902448
2013-06-21,39.63,39.97,39.3,39.76,39.76,21941392
2013-06-24,39.45,40.01,39.13,39.53,39.53,16437055
2013-06-25,39.82,39.92,39.44,39.72,39.72,12945438
2013-06-26,40.08,40.48,40.06,40.33,40.33,13857727
2013-06-27,40.65,40.88,40.24,40.26,40.26,11461352
2013-06-28,40.25,40.44,40.1,40.11,40.11,16319520
2013-07-01,40.5,40.92,40.36,40.46,40.46,10754582
2013-07-02,40.47,40.74,40.17,40.37,40.37,12248785
2013-07-03,40.24,40.56,40.03,40.49,40.49,5264816
2013-07-05,40.72,40.8,40.15,40.52,40.52,10402250
2013-07-08,40.65,40.76,40.42,40.54,40.54,9936973
2013-07-09,40.86,41.07,40.72,40.83,40.83,8762105
2013-07-10,40.92,40.96,40.53,40.68,40.68,9541547
2013-07-11,41,41.15,40.74,41.03,41.03,13489715
2013-07-12,41.03,41.13,40.73,41.03,41.03,10686400
2013-07-15,41.05,41.25,40.93,41.01,41.01,11423359
2013-07-16,39.78,40.5,39.5,40.23,40.23,33581328
2013-07-17,40.55,40.98,40.31,40.84,40.84,18516848
2013-07-18,40.86,41.07,40.74,40.81,40.81,9708855
2013-07-19,40.88,41.1,40.79,41.09,41.09,11408605
2013-07-22,41.08,41.14,40.76,40.84,40.84,9427676
2013-07-23,40.95,41.13,40.79,40.96,40.96,9405641
2013-07-24,41.12,41.13,40.75,40.86,40.86,10512445
2013-07-25,40.81,40.88,40.48,40.84,40.84,9148367
2013-07-26,40.65,40.65,40.01,40.64,40.64,12279648
2013-07-29,40.61,40.68,40.26,40.28,40.28,10132340
2013-07-30,40.42,40.73,40.25,40.32,40.32,10769816
2013-07-31,40.41,40.58,40.06,40.08,40.08,13557988
2013-08-01,40.4,40.75,40.4,40.57,40.57,12001512
2013-08-02,40.03,40.41,39.91,40.22,40.22,25516992
2013-08-05,40.18,40.47,40.18,40.29,40.29,9933200
2013-08-06,40.23,40.43,40.06,40.37,40.37,8646230
