Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,114.53,115.51,114.3,115.51,115.51,805220
2013-06-04,115.3,116.79,115.2,116.66,116.66,1152900
2013-06-05,116.04,116.8,114.99,115,115,1895100
2013-06-06,114.85,115.86,113.52,114.16,114.16,1500461
2013-06-07,114.42,115.09,112.99,114.21,114.21,1855180
2013-06-10,114.53,115.63,114.1,114.83,114.83,1158426
2013-06-11,113.73,115.35,113.31,114.07,114.07,1073500
2013-06-12,115.65,115.84,114.86,114.98,114.98,1238600
2013-06-13,114.65,116.89,113.89,116.69,116.69,1362200
2013-06-14,116.82,118.31,115.74,117.91,117.91,1800600
2013-06-17,118.73,119.27,117.85,118.45,118.45,1538700
2013-06-18,118.68,119.17,118.09,119.01,119.01,961600
2013-06-19,118.97,120.16,118.97,119.52,119.52,1743800
2013-06-20,118.33,119.18,116.01,116.36,116.36,1306400
2013-06-21,116.85,117.06,114.55,115.26,115.26,2331700
2013-06-24,113.05,114.7,112.78,114.1,114.1,1372700
2013-06-25,114.88,114.99,113.82,114.39,114.39,1106482
2013-06-26,115.58,116.05,114.72,115.94,115.94,1480961
2013-06-27,116.39,116.44,114.59,114.89,114.89,1364716
2013-06-28,115,115.77,113.95,115.16,115.16,1848396
2013-07-01,116.1,117.96,115.43,116.73,116.73,1071000
2013-07-02,116.49,116.55,114.55,114.7,114.7,1747271
2013-07-03,113.42,114.96,113.2,114.77,114.77,655600
2013-07-05,115.65,115.75,114.68,115.69,115.69,900600
2013-07-08,116.3,116.3,115.6,115.74,115.74,1187780
2013-07-09,116.5,117.78,116.25,117.59,117.59,1501500
2013-07-10,117.51,117.68,116.18,117.16,117.16,1394000
2013-07-11,118.14,118.61,117.36,117.39,117.39,1255716
2013-07-12,117.57,117.95,116.97,117.09,117.09,1249628
2013-07-15,117.09,117.43,116.46,116.47,116.47,1379400
2013-07-16,116.54,116.99,115.43,116.03,116.03,1404600
2013-07-17,116.51,116.92,115.76,116.46,116.46,1486886
2013-07-18,116.67,117.1,116.06,116.7,116.7,1035900
2013-07-19,116.81,117.34,116.14,117.14,117.14,1253505
2013-07-22,117.17,117.79,116.62,117.01,117.01,1088900
2013-07-23,116.56,117.77,116.56,117,117,1179876
2013-07-24,117.7,119.41,117.09,118.06,118.06,1985500
2013-07-25,117.76,119.38,117.23,119.2,119.2,2371800
2013-07-26,118.75,119.29,117.89,119,119,1966100
2013-07-29,118.92,119.62,118.17,119.46,119.46,1491147
2013-07-30,119.15,121.04,118.91,120.68,120.68,1872200
2013-07-31,121.45,121.82,120.02,120.17,120.17,2009100
2013-08-01,121.62,121.86,119.72,120.04,120.04,1374668
2013-08-02,119.81,120.47,119.37,120.31,120.31,1234703
2013-08-05,120.31,120.41,119.55,120.1,120.1,759930
2013-08-06,120.13,121.07,119.52,120.48,120.48,1152200
2013-08-07,120.15,120.76,120.01,120.35,120.35,1326214
2013-08-08,120.95,121.77,120.92,121.31,121.31,913200
2013-08-09,121.06,121.86,120.72,121.06,121.06,648443
2013-08-12,120.29,120.77,119.62,119.82,119.82,959100
2013-08-13,120.13,120.66,119.92,120.27,120.27,919309
2013-08-14,120.21,120.53,119.1,119.23,119.23,703400
2013-08-15,118.49,118.83,117.67,118.24,118.24,883614
2013-08-16,117.96,118.36,117.48,117.89,117.89,1240821
2013-08-19,117.54,117.99,117.12,117.24,117.24,1009307
2013-08-20,117.3,117.82,116.68,117.47,117.47,749606
2013-08-21,117.4,118.54,117.23,117.52,117.52,1120234
2013-08-22,117.57,118.67,116.97,118.21,118.21,1131400
2013-08-23,118.31,118.85,117.44,118.71,118.71,608700
2013-08-26,119,119.68,117.85,117.94,117.94,768957
2013-08-27,117.25,117.51,116.52,116.83,116.83,852928
2013-08-28,116.65,116.69,115.79,116.41,116.41,753000
2013-08-29,116.12,116.78,115.89,116.25,116.25,848400
2013-08-30,116.5,117.6,116.43,117.4,117.4,1211700
2013-09-03,118.76,118.92,117.19,117.47,117.47,824803
2013-09-04,117.24,118.03,116.38,117.79,117.79,701133
2013-09-05,117.85,118.47,117.57,117.92,117.92,641430
2013-09-06,118.25,119.21,117.7,118.11,118.11,986600
2013-09-09,118.18,119.25,118.18,119.25,119.25,776500
2013-09-10,119.73,120.91,119.47,119.93,119.93,898519
2013-09-11,119.99,121.34,119.52,121.1,121.1,758000
2013-09-12,120.7,120.94,120.06,120.24,120.24,655200
2013-09-13,120.37,121,119.93,120.47,120.47,649300
2013-09-16,121.48,122.48,121.26,122.21,122.21,973087
2013-09-17,122.46,122.46,121.07,121.39,121.39,977906
2013-09-18,121.45,123.77,121.01,123.73,123.73,1574547
2013-09-19,123.87,124.41,122.48,122.78,122.78,1083904
2013-09-20,122.78,123.76,121.73,121.73,121.73,1731453
2013-09-23,121.2,122.06,120.6,120.85,120.85,1251934
2013-09-24,120.58,121,120,120.51,120.51,1189400
2013-09-25,120.74,121,119.31,119.52,119.52,2020800
2013-09-26,119.88,120.76,119.59,120.19,120.19,1368032
2013-09-27,120.23,120.67,119.73,119.86,119.86,871900
2013-09-30,119.42,120.22,118.62,120.21,120.21,1270000
2013-10-01,119.88,120.97,119.27,120.83,120.83,905180
2013-10-02,120.44,121.48,119.84,121.43,121.43,895800
2013-10-03,120.94,121.07,119.72,120.1,120.1,797100
2013-10-04,120.01,121.6,119.86,121.41,121.41,659206
2013-10-07,120.25,120.69,119.76,119.78,119.78,627700
2013-10-08,119.65,119.65,117.7,117.75,117.75,781742
2013-10-09,118.5,119.27,117.54,119.02,119.02,1023102
2013-10-10,119.99,121.35,119.97,121.31,121.31,704400
2013-10-11,121.4,121.86,120.22,121.71,121.71,590248
2013-10-14,121.23,122.36,121,122.25,122.25,445300
2013-10-15,122.03,122.67,120.98,121.1,121.1,525845
2013-10-16,121.66,123.2,121.66,123.17,123.17,771154
2013-10-17,122.52,124.47,122.51,124.4,124.4,700700
2013-10-18,124.63,125,124.01,124.94,124.94,763400
2013-10-21,125,125,124.02,124.79,124.79,595600
2013-10-22,125,125.94,124.72,125.81,125.81,963348
2013-10-23,125.66,125.66,123.65,123.83,123.83,822419
2013-10-24,123.79,124.35,123.45,124.02,124.02,865200
2013-10-25,124.28,125.26,123.72,125.24,125.24,642600
2013-10-28,124.94,125.23,123.54,124.04,124.04,591002
2013-10-29,124.02,124.67,123.26,124.66,124.66,939500
2013-10-30,124.71,128.12,124.3,124.5,124.5,1487642
2013-10-31,124.72,125.41,124.2,124.71,124.71,1262313
2013-11-01,125.17,125.39,123.81,124.09,124.09,1065423
2013-11-04,124.45,124.46,123.34,123.73,123.73,887100
2013-11-05,124,125.04,123.27,125.01,125.01,1323833
2013-11-06,125.17,126.19,125.02,125.89,125.89,784581
2013-11-07,125.94,126.23,123.98,124.18,124.18,1067331
2013-11-08,124.18,124.5,123.4,124.49,124.49,1047440
2013-11-11,124.7,124.92,124.04,124.68,124.68,607741
2013-11-12,124.35,124.55,123.52,124.05,124.05,938303
2013-11-13,123.84,124.55,123.49,124.54,124.54,893100
2013-11-14,124.99,126.01,124.69,125.62,125.62,543322
2013-11-15,125.88,126.83,125.14,126.8,126.8,827800
2013-11-18,127.3,127.34,125.88,126.29,126.29,688300
2013-11-19,125.98,127,125.7,126.24,126.24,693839
2013-11-20,125.92,126.37,124.35,124.5,124.5,812500
2013-11-21,124.86,125.59,124.19,125.42,125.42,632300
2013-11-22,125.43,126.71,124.92,126.57,126.57,725600
2013-11-25,126.51,127.07,125.95,126.07,126.07,699700
2013-11-26,126.01,126.25,125.6,126.07,126.07,1604807
2013-11-27,125.82,126.86,125.7,126.58,126.58,512300
2013-11-29,126.5,127.09,125.96,126.26,126.26,568300
2013-12-02,126.11,127.38,124.65,124.78,124.78,1161723
2013-12-03,124.13,125.05,123.58,124.24,124.24,1154700
2013-12-04,122.79,123.98,122.39,123.62,123.62,822538
2013-12-05,122.99,123.54,122.34,122.49,122.49,1217447
2013-12-06,123.89,125.56,123.44,125.46,125.46,810111
2013-12-09,125.93,125.98,124.69,125.41,125.41,1095100
2013-12-10,128.2,128.62,125.64,125.94,125.94,2042000
2013-12-11,125.68,126.11,123.95,124.12,124.12,1313261
2013-12-12,123.65,125.06,122.86,124.68,124.68,1218532
2013-12-13,124.81,125.1,124.06,124.25,124.25,727238
2013-12-16,124.6,125.73,124.5,125.02,125.02,1017422
2013-12-17,125,125.75,124.8,125.24,125.24,932744
2013-12-18,125.37,126.73,123.76,126.66,126.66,1133945
2013-12-19,126.23,127.17,125.69,127.15,127.15,1108705
2013-12-20,126.96,127.88,126.82,127.54,127.54,1055800
2013-12-23,128.14,128.14,127.38,127.96,127.96,804803
2013-12-24,127.91,129.12,127.72,128.97,128.97,316933
2013-12-26,128.92,129.62,128.26,129.57,129.57,326845
2013-12-27,130,130.4,129.67,130.01,130.01,486500
2013-12-30,129.68,130.39,129.52,130.01,130.01,453100
2013-12-31,130.44,130.58,129.47,130.03,130.03,597601
2014-01-02,129.14,129.92,128.74,129.5,129.5,777700
2014-01-03,129.5,130,129.36,129.68,129.68,737600
2014-01-06,130,130.15,129.22,129.49,129.49,1160100
2014-01-07,129.57,130.57,129.22,130.24,130.24,1183602
2014-01-08,130.04,131,129.38,130.93,130.93,1262549
2014-01-09,131,131.22,130.53,131,131,1665000
2014-01-10,131,132.55,130.97,132.49,132.49,1311543
2014-01-13,131.62,132.85,130.66,130.8,130.8,1246047
2014-01-14,131.01,132.1,130.45,131.86,131.86,709600
2014-01-15,131.97,133.32,131.62,132.92,132.92,924700
2014-01-16,132.32,132.91,132.13,132.57,132.57,865600
2014-01-17,132.25,133.36,132.25,132.44,132.44,1230047
2014-01-21,133.41,134.23,132.22,133.21,133.21,771600
2014-01-22,133.51,133.59,132.72,133.21,133.21,717800
2014-01-23,131.89,133.19,131.04,131.28,131.28,1602000
2014-01-24,130.48,130.48,126.95,126.97,126.97,2071523
2014-01-27,127.18,127.51,125.64,125.74,125.74,2671600
2014-01-28,125.95,126.59,125.45,125.7,125.7,1915220
2014-01-29,126.5,129.48,125,127.33,127.33,2654807
2014-01-30,126.89,127.26,125.25,125.49,125.49,1806800
2014-01-31,123.93,125.66,123.61,124.72,124.72,1799084
2014-02-03,124.87,125.78,121.27,121.51,121.51,2278400
2014-02-04,122.82,123.36,121.96,122.38,122.38,1354146
2014-02-05,121.43,122.97,121.22,122.71,122.71,1384600
2014-02-06,122.71,124.32,122.28,124.28,124.28,1342427
2014-02-07,125.09,127.17,124.51,127.06,127.06,1695079
2014-02-10,127.05,128.08,126.32,127.68,127.68,1097700
2014-02-11,127.69,128.69,127.2,128.43,128.43,1227480
2014-02-12,128.66,129.2,127.89,128.08,128.08,1013519
2014-02-13,127.5,129.79,127.33,129.41,129.41,994300
2014-02-14,129.35,130.5,129.05,129.81,129.81,1248674
2014-02-18,130.2,130.36,129.45,129.72,129.72,1356300
2014-02-19,129.73,130.07,127.98,128.15,128.15,1244933
2014-02-20,128.3,128.57,127.27,128.07,128.07,1101900
2014-02-21,128.26,128.87,127.76,128.07,128.07,1415305
2014-02-24,127.81,128.32,127.13,127.15,127.15,1602545
2014-02-25,127.65,129.26,127.2,128.8,128.8,1007000
2014-02-26,128.8,130,128.59,128.83,128.83,1222800
2014-02-27,128.34,130,128.22,129.85,129.85,965532
2014-02-28,129.96,131.15,129.8,130.37,130.37,1292871
2014-03-03,129.71,130.71,129.11,130.29,130.29,936700
2014-03-04,132.05,132.05,130.61,131,131,1462719
2014-03-05,130.85,130.87,129.54,129.55,129.55,1045742
