Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,53.08,53.25,52.52,53.14,53.14,4174055
2013-06-04,53.14,53.42,52.22,52.5,52.5,4093911
2013-06-05,52.32,52.87,51.76,51.81,51.81,4540700
2013-06-06,51.89,52.43,51.34,52.09,52.09,4977734
2013-06-07,52.58,53.06,52.28,52.49,52.49,4368367
2013-06-10,52.7,52.83,52.15,52.64,52.64,4212600
2013-06-11,52.23,52.32,51.78,51.94,51.94,5268400
2013-06-12,52.31,52.61,51.76,51.78,51.78,3507000
2013-06-13,51.68,51.89,50.83,51.85,51.85,7100941
2013-06-14,51.47,52.28,51.39,52.05,52.05,6116300
2013-06-17,52.42,53.05,52.2,52.36,52.36,5135102
2013-06-18,52.47,52.72,51.69,52.35,52.35,5164738
2013-06-19,52.28,52.38,51.32,51.37,51.37,4578988
2013-06-20,50.96,50.96,49.21,49.41,49.41,7954602
2013-06-21,50.02,50.43,49.53,49.91,49.91,7203398
2013-06-24,49.31,49.6,48.68,49.06,49.06,5863695
2013-06-25,49.54,49.54,48.91,49.22,49.22,4042732
2013-06-26,49.66,49.9,49.22,49.79,49.79,6077996
2013-06-27,50.11,50.33,49.72,49.72,49.72,3657981
2013-06-28,49.62,49.86,49.05,49.12,49.12,8256672
2013-07-01,49.35,50.31,49.27,50.16,50.16,6987400
2013-07-02,50.08,50.93,50.07,50.5,50.5,5846484
2013-07-03,50.48,50.48,49.5,50.14,50.14,2671200
2013-07-05,50.59,50.82,49.97,50.58,50.58,2700400
2013-07-08,50.8,51.19,50.66,51.13,51.13,4376000
2013-07-09,51.41,51.81,51.16,51.79,51.79,4519027
2013-07-10,51.78,51.91,51.25,51.42,51.42,3865508
2013-07-11,52.06,52.06,51.43,51.54,51.54,3923483
2013-07-12,51.63,51.63,51.1,51.45,51.45,4067372
2013-07-15,51.41,51.72,51.17,51.54,51.54,2922506
2013-07-16,51.55,51.79,50.8,51,51,4031894
2013-07-17,51.2,51.24,50.61,50.67,50.67,4038340
2013-07-18,50.63,50.67,49.83,49.92,49.92,6040762
2013-07-19,49.93,50.61,49.46,50.6,50.6,7814633
2013-07-22,50.55,50.83,50.33,50.63,50.63,3362902
2013-07-23,50.77,51.06,50.56,50.99,50.99,3926726
2013-07-24,52,52.68,51.75,52.55,52.55,8955800
2013-07-25,52.41,52.64,51.88,52.59,52.59,4085633
2013-07-26,52.41,53.4,52.25,53.36,53.36,4349400
2013-07-29,53.23,53.83,53.15,53.56,53.56,4230836
2013-07-30,53.8,53.98,53.21,53.32,53.32,3594244
2013-07-31,53.36,53.65,52.93,53.11,53.11,4334789
2013-08-01,53.43,53.68,53.11,53.5,53.5,3297854
2013-08-02,53.47,53.92,53.22,53.88,53.88,3637285
2013-08-05,53.87,54.45,53.59,53.87,53.87,3794194
2013-08-06,53.9,54.19,53.23,53.32,53.32,4177300
2013-08-07,53.32,53.75,53.05,53.62,53.62,3377608
2013-08-08,53.88,53.92,53.22,53.57,53.57,17504416
2013-08-09,53.57,54.21,53.35,54.18,54.18,14719900
2013-08-12,53.86,54.09,53.58,54.05,54.05,17194224
2013-08-13,56,56.5,54.73,54.96,54.96,14253512
2013-08-14,54.96,55.1,54.01,54.2,54.2,5054300
2013-08-15,53.76,53.93,53.27,53.39,53.39,4509055
