Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,57.13,57.59,56.87,57.59,57.59,5822000
2013-06-04,57.55,57.69,56.4,56.82,56.82,6460000
2013-06-05,56.5,56.82,55.93,55.96,55.96,5421000
2013-06-06,55.78,56.52,55.71,56.49,56.49,4399200
2013-06-07,56.78,56.94,56.37,56.63,56.63,7165200
2013-06-10,56.76,56.91,56.27,56.58,56.58,4115830
2013-06-11,56.22,56.52,56,56.04,56.04,4334000
2013-06-12,56.48,56.51,55.8,55.8,55.8,5816000
2013-06-13,55.76,57.55,55.71,57.37,57.37,8608440
2013-06-14,57.4,57.48,56.92,57.12,57.12,6231000
2013-06-17,57.41,58.1,57.41,57.82,57.82,7248000
2013-06-18,58.16,58.49,58.02,58.44,58.44,5495000
2013-06-19,58.55,59.19,58.53,58.64,58.64,7661120
2013-06-20,57.96,58.57,57.22,57.27,57.27,9215000
2013-06-21,57.92,57.99,56.89,57.33,57.33,12178000
2013-06-24,56.34,56.96,55.75,56.26,56.26,9437820
2013-06-25,56.73,56.76,56.16,56.46,56.46,8312000
2013-06-26,56.8,57.28,56.38,57,57,5345710
2013-06-27,57.15,57.74,57,57.07,57.07,5942000
2013-06-28,56.92,57.45,56.65,57.45,57.45,10396000
2013-07-01,57.86,59,57.76,58.32,58.32,8534000
2013-07-02,58.19,58.89,57.97,58.31,58.31,5605000
2013-07-03,57.98,58.76,57.98,58.62,58.62,2436120
2013-07-05,59,59.5,58.6,59.5,59.5,5466660
2013-07-08,59.72,60.27,58.92,58.93,58.93,7053660
2013-07-09,59.37,59.65,59.19,59.36,59.36,5923290
2013-07-10,59.36,59.51,58.74,59.09,59.09,5330000
2013-07-11,59.68,60.16,59.22,60.1,60.1,4653330
2013-07-12,60.08,60.18,59.64,59.89,59.89,4498000
2013-07-15,59.92,60,59.4,59.59,59.59,4308180
2013-07-16,59.62,59.79,58.94,58.98,58.98,4713030
2013-07-17,58.3,59.39,58.29,59.34,59.34,9218000
2013-07-18,59.6,60.07,59.45,59.69,59.69,3487820
2013-07-19,59.88,60.09,59.27,59.33,59.33,8238410
2013-07-22,59.43,60.38,59.31,60.26,60.26,5362280
2013-07-23,60.38,60.49,59.75,59.8,59.8,4649000
2013-07-24,59.83,60,58.96,59.1,59.1,7752000
2013-07-25,59.42,60.19,59.41,59.9,59.9,7277000
2013-07-26,59.66,59.97,59.29,59.81,59.81,3848000
2013-07-29,59.89,60.1,59.45,59.7,59.7,3266300
2013-07-30,59.96,60.39,59.91,60.14,60.14,6039230
2013-07-31,62.45,62.62,56.7,61.06,61.06,40094460
2013-08-01,61.87,64.96,61.87,64.64,64.64,30348990
2013-08-02,64.43,64.7,64.04,64.56,64.56,6720960
2013-08-05,64.12,64.59,64.04,64.24,64.24,5878420
2013-08-06,64.22,65.7,63.99,65.4,65.4,8199000
2013-08-07,65.3,65.3,64.5,64.63,64.63,5860990
2013-08-08,64.91,65,64.15,64.58,64.58,4532000
2013-08-09,64.74,64.74,63.77,63.8,63.8,3954180
2013-08-12,63.96,63.96,62.92,63.07,63.07,5240170
2013-08-13,63.68,63.68,63.02,63.33,63.33,3245200
2013-08-14,63.56,63.71,62.81,63,63,3943070
2013-08-15,62.39,62.48,61.56,61.87,61.87,5329000
2013-08-16,61.83,62.42,61.61,61.82,61.82,4834000
2013-08-19,61.91,62.6,61.75,61.99,61.99,3907780
2013-08-20,62.11,62.51,61.9,62.24,62.24,3000550
2013-08-21,61.96,62.76,61.8,61.93,61.93,9310280
2013-08-22,62.3,62.3,61.69,62.11,62.11,3926260
2013-08-23,62.2,62.66,61.8,62.61,62.61,4607950
2013-08-26,62.58,62.58,61.45,61.52,61.52,5893390
2013-08-27,60.82,61.26,60.59,60.79,60.79,5534050
2013-08-28,60.59,61.32,60.54,61.06,61.06,6406000
2013-08-29,61.05,61.84,61.04,61.26,61.26,5060000
2013-08-30,61.39,61.5,60.36,60.61,60.61,6123000
2013-09-03,61.2,62.48,61.05,62.34,62.34,11390250
2013-09-04,62.34,62.77,61.75,62.34,62.34,4018290
2013-09-05,62.3,63.16,62.25,62.9,62.9,3822000
2013-09-06,63.2,63.97,62.71,63.66,63.66,5874300
2013-09-09,63.8,64.09,63.55,64.04,64.04,6172810
2013-09-10,64.4,65.21,64.36,65.15,65.15,7172340
2013-09-11,65.25,66.32,64.48,65.85,65.85,7539000
2013-09-12,66.18,67.23,65.45,66.75,66.75,10872220
2013-09-13,66.68,66.98,66.47,66.64,66.64,6090410
2013-09-16,67.38,67.5,66.86,67.1,67.1,7058970
2013-09-17,67.33,68.08,67.15,67.92,67.92,4810290
2013-09-18,67.9,68.85,67.64,68.76,68.76,4670930
2013-09-19,69.18,69.5,68.51,68.64,68.64,5099000
2013-09-20,68.97,68.97,68.25,68.57,68.57,6731200
2013-09-23,68.54,69,68.01,68.3,68.3,5171250
2013-09-24,68.25,69.17,67.83,68.54,68.54,6070610
2013-09-25,68.37,68.6,67.17,67.19,67.19,8796010
2013-09-26,67.52,67.98,67.25,67.76,67.76,3815000
2013-09-27,67.74,68.26,67.51,68.19,68.19,3143150
2013-09-30,67.77,67.78,67.02,67.28,67.28,4362090
2013-10-01,67.44,67.96,67.25,67.78,67.78,4122130
2013-10-02,67.54,67.64,67.13,67.63,67.63,4632000
2013-10-03,67.32,67.59,66.41,66.91,66.91,5547000
2013-10-04,66.81,67.47,66.74,67.33,67.33,4077000
2013-10-07,66.78,67.1,66.52,66.61,66.61,5291800
2013-10-08,66.63,66.74,65.14,65.39,65.39,7294330
2013-10-09,65.57,66.45,64.74,65.72,65.72,6541050
2013-10-10,66.83,67.86,66.69,67.86,67.86,4913400
2013-10-11,67.89,68.55,67.57,68.42,68.42,5458440
2013-10-14,67.94,69.01,67.43,68.91,68.91,3598000
2013-10-15,68.72,69.32,68.27,68.64,68.64,9157980
2013-10-16,68.95,69.96,68.78,69.55,69.55,5440150
2013-10-17,69.27,70.5,69.26,70.46,70.46,5421320
2013-10-18,70.7,71.64,70.11,71.52,71.52,5960000
2013-10-21,71.7,71.99,70.92,71.78,71.78,4799440
2013-10-22,72.18,72.74,71.66,71.87,71.87,4306130
2013-10-23,71.6,71.66,70.7,71.1,71.1,4414280
2013-10-24,71.46,72.7,71.4,72.47,72.47,4020000
2013-10-25,72.5,73.24,72.01,72.38,72.38,4640190
2013-10-28,72.4,73.16,72.14,72.99,72.99,4416170
2013-10-29,73.34,73.78,72.76,73.24,73.24,4655090
2013-10-30,73.4,73.46,72.14,72.57,72.57,5563780
2013-10-31,73,73.46,70.74,71.71,71.71,10221030
2013-11-01,72.4,73.92,72.32,73.75,73.75,8306180
2013-11-04,73.83,73.98,72.62,72.84,72.84,4568300
2013-11-05,72.73,73.82,72.32,73.64,73.64,6120000
2013-11-06,73.8,73.84,73.01,73.39,73.39,4876420
2013-11-07,73.74,73.76,71.96,72.13,72.13,4743000
2013-11-08,72.05,73.45,72.05,73.45,73.45,4604680
2013-11-11,73.41,74.34,73.22,74.12,74.12,4068220
2013-11-12,73.95,74.07,73.15,73.77,73.77,4520490
2013-11-13,73.5,73.75,73.19,73.55,73.55,4843000
2013-11-14,73.5,74.4,73.46,74.35,74.35,3384000
