Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,18.92,19.22,18.7,19.07,19.07,8764800
2013-06-04,19.04,19.18,19,19.12,19.12,9123200
2013-06-05,19.06,19.09,18.91,19,19,6137600
2013-06-06,18.99,19.35,18.95,19.35,19.35,11555468
2013-06-07,19.5,19.71,19.38,19.7,19.7,13048400
2013-06-10,19.68,19.85,19.6,19.67,19.67,12842216
2013-06-11,19.53,19.78,19.47,19.72,19.72,11426488
2013-06-12,19.81,19.86,19.41,19.44,19.44,6787600
2013-06-13,19.47,19.83,19.4,19.78,19.78,6771272
2013-06-14,19.79,20.08,19.79,19.93,19.93,9051200
2013-06-17,20.1,20.24,20.05,20.17,20.17,9203600
2013-06-18,20.22,20.43,20.18,20.4,20.4,7753204
2013-06-19,20.35,20.45,20.05,20.05,20.05,7854000
2013-06-20,19.89,19.9,19.3,19.33,19.33,10066480
2013-06-21,19.49,19.69,19.23,19.58,19.58,12694032
2013-06-24,19.46,19.77,19.3,19.6,19.6,6763200
2013-06-25,19.74,19.84,19.53,19.75,19.75,6479624
2013-06-26,19.9,20.12,19.88,19.96,19.96,6680528
2013-06-27,20.06,20.24,19.98,20.11,20.11,5000372
2013-06-28,20.37,20.44,20.04,20.37,20.37,10992348
2013-07-01,20.47,20.49,19.99,20.06,20.06,10431332
2013-07-02,20.06,20.25,20.01,20.09,20.09,7937084
2013-07-03,19.98,20.11,19.93,20.03,20.03,2796888
2013-07-05,20.04,20.08,19.76,19.98,19.98,4781548
2013-07-08,20,20.28,19.95,20.17,20.17,7979600
2013-07-09,20.26,20.42,20.16,20.34,20.34,6248784
2013-07-10,20.29,20.48,20.22,20.41,20.41,4185200
2013-07-11,20.57,20.85,20.56,20.81,20.81,6946004
2013-07-12,20.8,21.04,20.7,21,21,5786112
2013-07-15,20.93,21.47,20.92,21.36,21.36,8212000
2013-07-16,21.38,21.41,21.12,21.24,21.24,10532220
2013-07-17,21.36,21.41,21.15,21.2,21.2,7079276
2013-07-18,21.27,21.42,21.21,21.36,21.36,5822000
2013-07-19,21.38,21.46,21.22,21.24,21.24,7274800
2013-07-22,21.26,21.34,21.2,21.22,21.22,4966204
2013-07-23,21.26,21.35,21.16,21.2,21.2,10316000
2013-07-24,21.19,21.21,20.91,20.94,20.94,8738000
2013-07-25,20.9,21.06,20.9,21.02,21.02,7286800
2013-07-26,20.81,21,20.74,20.99,20.99,5994000
2013-07-29,21.03,21.42,21.01,21.2,21.2,11703600
2013-07-30,21.91,21.91,21.25,21.62,21.62,9713648
2013-07-31,21.66,21.78,21.38,21.65,21.65,11408580
2013-08-01,21.76,22.1,21.76,22.07,22.07,11645440
2013-08-02,22.03,22.05,21.87,21.99,21.99,7149048
2013-08-05,21.95,21.95,21.75,21.77,21.77,4948400
2013-08-06,21.8,21.88,21.67,21.71,21.71,8518740
2013-08-07,21.79,21.82,21.6,21.69,21.69,7034400
2013-08-08,21.71,21.78,21.59,21.66,21.66,5855224
2013-08-09,21.64,21.72,21.49,21.56,21.56,4534804
2013-08-12,21.5,21.54,21.32,21.4,21.4,3781600
2013-08-13,21.44,21.45,21.24,21.28,21.28,4096836
2013-08-14,21.23,21.31,21.01,21.11,21.11,5933744
2013-08-15,20.98,20.98,20.71,20.75,20.75,5863848
2013-08-16,20.78,20.82,20.36,20.54,20.54,10183212
2013-08-19,20.5,20.63,20.33,20.38,20.38,4351656
2013-08-20,20.41,20.75,20.35,20.55,20.55,5476124
2013-08-21,20.47,20.49,20.08,20.2,20.2,8494920
2013-08-22,20.24,20.31,20.09,20.24,20.24,5746400
2013-08-23,20.25,20.42,20.16,20.35,20.35,2964980
2013-08-26,20.35,20.36,20.13,20.14,20.14,4574444
2013-08-27,20.01,20.37,19.94,20.27,20.27,9260304
2013-08-28,20.16,20.37,19.94,20.27,20.27,10868000
2013-08-29,20.26,20.28,20.07,20.14,20.14,5517220
2013-08-30,20.15,20.25,19.99,20.09,20.09,4584400
2013-09-03,20.27,20.28,19.86,19.94,19.94,5661632
2013-09-04,19.91,20.08,19.78,20.03,20.03,4674800
2013-09-05,20.08,20.2,19.96,19.99,19.99,9409200
2013-09-06,20.05,20.21,19.98,20,20,10634716
2013-09-09,20.03,20.08,19.96,20.06,20.06,6589200
2013-09-10,20.14,20.17,20.04,20.15,20.15,4955564
2013-09-11,20.14,20.14,19.71,19.9,19.9,12500556
2013-09-12,19.95,20,19.73,19.82,19.82,8762000
2013-09-13,19.89,19.95,19.77,19.81,19.81,5864012
2013-09-16,20.06,20.18,19.72,19.79,19.79,13166140
2013-09-17,19.79,19.88,19.71,19.75,19.75,8370000
2013-09-18,19.71,20.72,19.7,20.64,20.64,16770800
2013-09-19,20.65,20.97,20.62,20.68,20.68,8139572
2013-09-20,20.46,20.5,20.13,20.17,20.17,19166156
2013-09-23,20.13,20.36,20.03,20.31,20.31,9525200
2013-09-24,20.32,20.41,20.19,20.31,20.31,8531200
2013-09-25,20.28,20.38,20.08,20.08,20.08,7890000
2013-09-26,20.13,20.24,20.03,20.11,20.11,7223200
2013-09-27,20.1,20.15,19.95,20.02,20.02,6580800
2013-09-30,19.94,20.04,19.88,20.04,20.04,9527600
2013-10-01,20.07,20.18,19.98,20.02,20.02,6983936
2013-10-02,19.94,20.13,19.91,20.1,20.1,7471600
2013-10-03,20.05,20.05,19.74,19.86,19.86,5912800
2013-10-04,19.87,19.96,19.79,19.91,19.91,4423492
2013-10-07,19.81,19.97,19.79,19.84,19.84,3274400
2013-10-08,19.83,20.17,19.83,19.92,19.92,6566056
2013-10-09,19.99,20.32,19.91,20,20,5633864
2013-10-10,20.12,20.38,19.88,20.35,20.35,7827164
2013-10-11,20.33,20.49,20.27,20.44,20.44,5708400
2013-10-14,20.31,20.33,20.01,20.27,20.27,6559200
2013-10-15,20.22,20.29,20.04,20.05,20.05,5128000
2013-10-16,20.11,20.38,20.04,20.38,20.38,6535784
2013-10-17,20.31,20.77,20.17,20.75,20.75,6038000
2013-10-18,20.87,20.98,20.8,20.88,20.88,8859340
2013-10-21,20.87,21.05,20.83,20.95,20.95,7234936
