Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,3.24,3.25,3.11,3.17,3.17,212753940
2013-06-04,3.14,3.25,3.12,3.22,3.22,230143620
2013-06-05,3.19,3.26,3.12,3.19,3.19,330980370
2013-06-06,3.17,3.22,3.06,3.11,3.11,260789410
2013-06-07,3.12,3.15,3.08,3.15,3.15,153100290
2013-06-10,3.19,3.19,3.09,3.16,3.16,138175660
2013-06-11,3.11,3.15,3.05,3.06,3.06,142143260
2013-06-12,3.08,3.08,2.96,2.97,2.97,191139410
2013-06-13,2.97,3.08,2.94,3.08,3.08,185196060
2013-06-14,3.07,3.1,3.03,3.06,3.06,124977440
2013-06-17,3.22,3.29,3.2,3.27,3.27,358652840
2013-06-18,3.29,3.3,3.23,3.27,3.27,174856220
2013-06-19,3.26,3.37,3.25,3.32,3.32,223146070
2013-06-20,3.28,3.3,3.15,3.19,3.19,211291080
2013-06-21,3.22,3.23,3.06,3.1,3.1,233981790
2013-06-24,3.04,3.13,2.99,3.08,3.08,179067420
2013-06-25,3.03,3.05,2.97,3.04,3.04,209200600
2013-06-26,3.07,3.12,3.01,3.03,3.03,188383650
2013-06-27,3.04,3.1,2.99,3.07,3.07,183325940
2013-06-28,3.06,3.09,3,3.02,3.02,195814360
2013-07-01,3.05,3.22,3.03,3.2,3.2,245182840
2013-07-02,3.22,3.25,3.11,3.16,3.16,177306780
2013-07-03,3.17,3.2,3.13,3.16,3.16,86414510
2013-07-05,3.17,3.22,3.13,3.22,3.22,99584590
2013-07-08,3.24,3.36,3.22,3.33,3.33,243000100
2013-07-09,3.36,3.53,3.36,3.53,3.53,355499340
2013-07-10,3.51,3.53,3.42,3.48,3.48,225780240
2013-07-11,3.54,3.56,3.44,3.49,3.49,211547630
2013-07-12,3.51,3.68,3.51,3.68,3.68,342697460
2013-07-15,3.71,3.71,3.6,3.69,3.69,206147970
2013-07-16,3.68,3.81,3.67,3.72,3.72,333762730
2013-07-17,3.73,3.83,3.7,3.83,3.83,195359010
