Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,33.85,34.4,33.73,34.39,34.39,19782816
2013-06-04,34.34,34.75,33.96,34.16,34.16,20324900
2013-06-05,34.1,34.6,34,34.12,34.12,22005984
2013-06-06,33.98,33.98,33.13,33.35,33.35,29160176
2013-06-07,33.59,34.03,33.32,33.82,33.82,20549168
2013-06-10,33.98,34.09,33.82,34.05,34.05,16901500
2013-06-11,33.66,34.15,33.49,33.57,33.57,15274500
2013-06-12,33.83,33.87,33.5,33.52,33.52,13731100
2013-06-13,33.47,34.32,33.41,34.25,34.25,15727441
2013-06-14,34.15,34.32,33.7,33.77,33.77,17557696
2013-06-17,34.03,34.63,34,34.27,34.27,19399584
2013-06-18,34.26,34.59,34.21,34.4,34.4,16949856
2013-06-19,34.43,34.59,34.08,34.09,34.09,19408592
2013-06-20,33.88,34.02,33.03,33.21,33.21,35222400
2013-06-21,30.71,30.84,29.98,30.13,30.13,140813500
2013-06-24,30.12,30.44,30.03,30.17,30.17,78927440
2013-06-25,30.5,30.53,29.89,29.96,29.96,64059456
2013-06-26,30.19,30.23,29.86,30.14,30.14,52433520
2013-06-27,30.31,31.14,30.29,30.45,30.45,43016096
2013-06-28,30.28,30.81,30.25,30.71,30.71,39787152
2013-07-01,30.89,30.98,30.07,30.11,30.11,33968096
2013-07-02,30.09,30.35,29.95,30.1,30.1,33115280
2013-07-03,30.05,30.8,30.04,30.7,30.7,18629700
2013-07-05,30.99,31.2,30.54,31.19,31.19,22197456
2013-07-08,31.35,31.65,31.25,31.65,31.65,28905008
2013-07-09,31.5,31.6,31.23,31.52,31.52,28854300
2013-07-10,31.36,31.44,31.05,31.23,31.23,28458600
2013-07-11,31.57,32,31.57,31.86,31.86,33193600
2013-07-12,31.9,32,31.24,31.25,31.25,157684192
2013-07-15,31.48,32.05,31.32,32.01,32.01,36543400
2013-07-16,31.99,32.15,31.86,32,32,22531472
2013-07-17,32.07,32.44,32.05,32.16,32.16,22361792
2013-07-18,31.96,32.46,31.81,32.01,32.01,23621152
2013-07-19,32.03,32.03,31.51,31.86,31.86,28512000
2013-07-22,31.79,31.9,31.7,31.87,31.87,16760230
2013-07-23,31.87,32.19,31.81,32.07,32.07,16772098
2013-07-24,32.38,32.56,32.3,32.39,32.39,20003664
2013-07-25,32.41,32.41,31.97,32.37,32.37,21051440
2013-07-26,32.36,32.6,32.16,32.54,32.54,17309360
