Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,8.12,8.12,7.56,7.64,7.64,13842906
2013-06-04,7.64,7.73,7.25,7.34,7.34,11494294
2013-06-05,7.28,7.47,7.25,7.4,7.4,9932288
2013-06-06,7.37,7.64,7.36,7.5,7.5,6797922
2013-06-07,7.53,7.71,7.43,7.7,7.7,8600264
2013-06-10,7.68,7.75,7.52,7.74,7.74,7045320
2013-06-11,7.6,7.87,7.59,7.8,7.8,6935832
2013-06-12,7.83,7.88,7.53,7.6,7.6,4933486
2013-06-13,7.55,7.62,7.5,7.53,7.53,2746244
2013-06-14,7.5,7.51,7.18,7.19,7.19,9639974
2013-06-17,7.27,7.38,7.17,7.19,7.19,8354822
2013-06-18,7.02,7.16,6.92,6.93,6.93,8752952
2013-06-19,6.92,7.12,6.83,7.01,7.01,7949556
2013-06-20,6.89,7.06,6.84,6.98,6.98,8155904
2013-06-21,7.02,7.08,6.75,6.84,6.84,7456074
2013-06-24,6.7,6.78,6.51,6.59,6.59,6796044
2013-06-25,6.6,6.99,6.59,6.93,6.93,7324080
2013-06-26,6.91,7.12,6.89,7.01,7.01,6511716
2013-06-27,7.08,7.42,7.07,7.4,7.4,8381054
2013-06-28,7.33,7.33,6.94,7.03,7.03,16204414
2013-07-01,7.04,7.27,6.98,7.04,7.04,4959370
2013-07-02,7.01,7.08,6.84,6.86,6.86,4942426
2013-07-03,6.84,7.2,6.82,7.15,7.15,3502700
2013-07-05,7.14,7.15,7,7.05,7.05,2780378
2013-07-08,7.02,7.24,7,7.14,7.14,4223962
2013-07-09,7.16,7.25,7.07,7.18,7.18,3509102
2013-07-10,7.22,7.39,7.21,7.37,7.37,5364502
2013-07-11,7.51,7.83,7.51,7.79,7.79,9666416
2013-07-12,7.78,7.82,7.71,7.74,7.74,2876420
2013-07-15,7.81,7.82,7.72,7.8,7.8,2017496
2013-07-16,7.79,7.82,7.67,7.75,7.75,3597638
2013-07-17,7.78,8,7.75,7.89,7.89,6127194
2013-07-18,7.97,8.14,7.89,8.11,8.11,4537666
2013-07-19,8.17,8.33,8.11,8.3,8.3,8529026
2013-07-22,8.3,8.32,8.19,8.26,8.26,5386552
2013-07-23,8.47,8.48,8.06,8.09,8.09,11367040
2013-07-24,8.15,8.22,7.96,8.09,8.09,4727278
2013-07-25,8.13,8.31,8.13,8.31,8.31,2769734
2013-07-26,8.25,8.27,8.06,8.21,8.21,2846738
2013-07-29,8.14,8.25,8.11,8.12,8.12,2289908
2013-07-30,8.23,8.24,8.05,8.13,8.13,3305492
