Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,76.87,77.7,76.12,77.66,77.66,11722813
2013-06-04,77.71,78.47,76.75,77.37,77.37,11379461
2013-06-05,77.08,77.22,76.63,76.66,76.66,8827672
2013-06-06,76.56,76.97,75.83,76.82,76.82,11100098
2013-06-07,77.44,78.28,77.27,77.75,77.75,7839574
2013-06-10,77.69,78.22,77.26,78.07,78.07,8967453
2013-06-11,77.68,78.75,77.45,78.12,78.12,6781539
2013-06-12,78.64,78.89,77.48,77.6,77.6,7834200
2013-06-13,77.54,78.69,77.14,78.43,78.43,6928934
2013-06-14,78.49,78.79,77.67,78.03,78.03,6825900
2013-06-17,78.26,79.47,78.25,78.96,78.96,7363262
2013-06-18,78.95,79.23,78.7,79.04,79.04,6052238
2013-06-19,79.05,79.47,77.59,77.61,77.61,7424500
2013-06-20,77.21,77.33,75.1,75.25,75.25,15558293
2013-06-21,76.25,77.53,75.69,77.43,77.43,20058304
2013-06-24,76.95,77.43,75.63,76.58,76.58,12564246
2013-06-25,77.1,77.24,76.29,76.69,76.69,7911691
2013-06-26,77.23,77.59,77.02,77.4,77.4,7329438
2013-06-27,77.96,78.38,77.57,77.67,77.67,14733184
2013-06-28,77.62,77.94,76.9,76.99,76.99,9868254
2013-07-01,77.02,78.45,77,78.02,78.02,6699695
2013-07-02,77.95,78.61,77.71,78.44,78.44,10229949
2013-07-03,78.28,78.75,77.43,78.57,78.57,5347848
2013-07-05,78.89,79.02,77.78,78.34,78.34,7265871
2013-07-08,78.54,79.08,78.5,78.76,78.76,11153789
2013-07-09,79.07,79.9,79.07,79.57,79.57,11458301
2013-07-10,79.65,80.1,79.3,79.8,79.8,6863047
2013-07-11,80.55,80.99,80.29,80.77,80.77,9185840
2013-07-12,80.67,81.64,80.67,81.55,81.55,12587840
2013-07-15,81.37,81.59,80.85,81.51,81.51,10025176
2013-07-16,81.32,81.37,80.91,80.97,80.97,11208742
2013-07-17,80.49,80.85,80.01,80.09,80.09,7645789
2013-07-18,80.03,80.75,80.03,80.3,80.3,5526000
2013-07-19,80.36,81.41,80.05,81.37,81.37,7863203
2013-07-22,81.23,81.45,80.9,81.22,81.22,4813660
2013-07-23,81.22,81.4,80.78,80.95,80.95,4311700
2013-07-24,80.95,81,80.13,80.27,80.27,5607941
2013-07-25,80.01,80.57,79.84,80.41,80.41,6239900
2013-07-26,80.02,80.42,79.39,80.39,80.39,6544156
2013-07-29,80.1,80.45,80.05,80.09,80.09,4389516
2013-07-30,80.49,80.9,80.16,80.44,80.44,6434113
2013-07-31,80.44,81.41,80.16,80.3,80.3,11864551
2013-08-01,81.62,82.23,81.21,81.64,81.64,10724800
2013-08-02,81.42,81.5,80.56,81.29,81.29,6627863
2013-08-05,81.05,81.65,80.96,81.4,81.4,4663094
