Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,40.26,40.82,39.8,40.42,40.42,3380608
2013-06-04,40.47,41,39.39,39.42,39.42,2481100
2013-06-05,39.29,39.53,38.64,38.86,38.86,3226400
2013-06-06,38.8,39.26,38.2,39.26,39.26,2825700
2013-06-07,39.11,39.32,38.6,39.03,39.03,3363400
2013-06-10,39.15,39.2,38.14,38.15,38.15,4682500
2013-06-11,37.91,38.02,37.43,37.46,37.46,5208800
2013-06-12,38,38,36.99,37.12,37.12,3808300
2013-06-13,37.34,38.38,37,38.27,38.27,3632555
2013-06-14,38.1,38.96,38.09,38.48,38.48,3172300
2013-06-17,38.92,39.24,38.22,38.46,38.46,3176700
2013-06-18,38.6,38.75,38.25,38.34,38.34,3873500
2013-06-19,38.34,38.52,36.55,36.96,36.96,4536000
2013-06-20,36.74,36.75,35.45,35.6,35.6,5614055
2013-06-21,35.83,36.37,35.09,36.36,36.36,11810422
2013-06-24,35.83,36.64,35.11,35.84,35.84,4925600
2013-06-25,36.17,37.09,35.81,36.92,36.92,5028555
2013-06-26,37.32,37.55,36.76,37.13,37.13,3895100
2013-06-27,37.34,38.05,37.28,38.02,38.02,3332800
2013-06-28,37.87,38.13,37.38,37.72,37.72,4198375
2013-07-01,38.29,38.29,37.51,37.57,37.57,2513475
2013-07-02,37.45,38.29,37.38,37.99,37.99,3387175
2013-07-03,37.72,37.72,37.15,37.46,37.46,2079000
2013-07-05,37.7,37.96,36.78,37.5,37.5,3089562
2013-07-08,37.6,38.03,37.38,37.59,37.59,3540205
2013-07-09,37.85,38.47,37.77,38.32,38.32,2190600
2013-07-10,38.18,38.52,37.77,38.26,38.26,2637300
2013-07-11,38.76,39.33,38.72,39.24,39.24,2790396
2013-07-12,39.24,40.02,38.6,38.96,38.96,2119600
2013-07-15,39.01,39.37,38.88,39.27,39.27,1367200
2013-07-16,39.3,39.43,39.11,39.3,39.3,2493100
2013-07-17,39.55,40.01,39.32,39.97,39.97,1731400
2013-07-18,40,40.46,39.97,40.44,40.44,2338000
2013-07-19,40.44,40.56,39.97,40.36,40.36,2099680
2013-07-22,40.35,40.58,40.13,40.44,40.44,1506000
2013-07-23,40.5,40.51,40.08,40.27,40.27,2074500
2013-07-24,40.29,40.5,39.69,39.86,39.86,4211500
2013-07-25,39.64,39.75,39.06,39.51,39.51,3162800
2013-07-26,39.31,39.66,39.02,39.65,39.65,1339839
2013-07-29,39.42,39.57,38.96,39.12,39.12,1433400
2013-07-30,39.36,39.54,38.8,38.9,38.9,1077600
2013-07-31,39.07,39.1,37.96,38.36,38.36,3422000
2013-08-01,38.59,38.73,38.15,38.36,38.36,2179365
2013-08-02,38.42,38.69,38.03,38.15,38.15,2569400
2013-08-05,38.13,38.38,38.08,38.19,38.19,1947304
