Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,63.37,63.67,62.69,63.23,63.23,13372352
2013-06-04,63.43,64.05,63.2,63.71,63.71,14394800
2013-06-05,63.65,63.65,62.68,63.15,63.15,10345000
2013-06-06,63.34,63.82,62.53,62.97,62.97,10775945
2013-06-07,62.9,63.11,61.41,62.1,62.1,29483712
2013-06-10,62.11,62.2,61.67,62.03,62.03,11084000
2013-06-11,61.47,62.05,61.15,61.66,61.66,11794100
2013-06-12,61.97,61.97,61.01,61.11,61.11,14631848
2013-06-13,61.22,62.12,60.75,61.96,61.96,11578785
2013-06-14,61.79,61.93,61.34,61.38,61.38,9873383
2013-06-17,61.61,62.35,61.49,62.07,62.07,13528500
2013-06-18,62.29,62.73,62.01,62.38,62.38,11624400
2013-06-19,62.63,62.8,61.83,61.91,61.91,11231900
2013-06-20,61.4,61.86,60.67,60.92,60.92,14425500
2013-06-21,60.93,61.05,60.22,60.67,60.67,25052816
2013-06-24,60,60.21,59.46,59.88,59.88,17769888
2013-06-25,60.42,62.38,60.37,61.81,61.81,21211888
2013-06-26,62.56,62.92,61.17,61.27,61.27,22001696
2013-06-27,61.63,61.77,60.27,61.08,61.08,14249055
2013-06-28,60.64,61.63,60.55,61.09,61.09,13533281
2013-07-01,61.5,61.61,60.9,60.96,60.96,7457400
2013-07-02,60.74,61.24,60.63,60.92,60.92,7922200
2013-07-03,60.74,61.34,60.66,60.91,60.91,4380100
2013-07-05,60.75,60.96,60.27,60.95,60.95,11158000
2013-07-08,60.75,60.94,59.83,59.99,59.99,17682464
2013-07-09,60.15,60.34,59.02,59.39,59.39,24848100
2013-07-10,59.23,60.65,59.2,60.44,60.44,19127100
2013-07-11,61.15,61.37,60.81,61.3,61.3,13293700
2013-07-12,61.35,62.02,61.29,62.02,62.02,11053617
2013-07-15,61.39,61.66,60.85,61.28,61.28,14772480
2013-07-16,61.49,61.88,61.2,61.85,61.85,13334555
2013-07-17,62.05,62.66,61.56,62.65,62.65,12761852
2013-07-18,61.94,62.02,60.82,61.12,61.12,23683936
2013-07-19,61.22,61.57,61.09,61.46,61.46,14614700
2013-07-22,61.68,62.21,61.5,62.21,62.21,12713203
2013-07-23,62.27,62.75,62.21,62.3,62.3,9018230
2013-07-24,62.89,62.96,61.19,61.39,61.39,20129500
2013-07-25,63.49,64.45,62.89,63.42,63.42,25003168
2013-07-26,62.92,64.8,62.83,64.61,64.61,18064400
2013-07-29,64.47,64.9,64.17,64.24,64.24,9440492
2013-07-30,64.72,65.19,64.39,64.51,64.51,11529148
2013-07-31,64.6,64.95,64.4,64.56,64.56,12417500
2013-08-01,64.78,65.48,64.31,65.27,65.27,11595600
2013-08-02,64.89,66.76,64.89,66.75,66.75,19320500
2013-08-05,65.41,66.39,65.34,66.25,66.25,13250035
2013-08-06,66.18,66.3,65.53,65.59,65.59,7952422
2013-08-07,65.27,65.84,65,65.21,65.21,9493340
2013-08-08,65.59,66.64,65.36,66.35,66.35,12876438
2013-08-09,66.34,66.55,66.04,66.27,66.27,7891400
2013-08-12,65.89,66.62,65.8,66.46,66.46,7244746
2013-08-13,66.73,67.45,66.53,67.25,67.25,12605200
2013-08-14,67.08,67.22,66.63,66.96,66.96,9323711
2013-08-15,66.35,66.95,66.2,66.95,66.95,11463148
2013-08-16,66.69,67.42,66.69,66.9,66.9,13889168
2013-08-19,66.88,67.4,66.29,66.33,66.33,9069609
2013-08-20,66.53,67.13,66.31,66.71,66.71,9066734
2013-08-21,66.31,67,66.19,66.57,66.57,8471512
2013-08-22,66.69,67.17,66.64,67.13,67.13,6698121
2013-08-23,67.01,67.34,66.6,67.15,67.15,8374900
2013-08-26,67.03,67.24,66.8,66.95,66.95,10388700
2013-08-27,66.31,66.65,65.91,66.02,66.02,9058400
2013-08-28,66.07,66.84,65.99,66.56,66.56,8513324
2013-08-29,66.57,67.14,66.4,66.71,66.71,6551793
2013-08-30,66.63,66.66,65.74,66.28,66.28,8441300
2013-09-03,66.92,67.74,66.52,66.75,66.75,11906598
2013-09-04,66.82,67.51,66.8,67.28,67.28,7903156
2013-09-05,67.33,67.96,67.24,67.83,67.83,8074600
2013-09-06,67.98,68.45,67.37,68.02,68.02,10267727
2013-09-09,68,69.37,68,69.3,69.3,13635922
2013-09-10,69.39,70.37,69.39,70.09,70.09,14610700
2013-09-11,68.29,68.6,67.49,68.09,68.09,21095872
2013-09-12,68.73,69.72,68.5,68.81,68.81,17294200
2013-09-13,69.21,69.24,68.36,68.58,68.58,11713800
2013-09-16,69.02,69.05,67.97,68.09,68.09,12197531
2013-09-17,68.36,69.46,68.15,69.42,69.42,14140700
2013-09-18,69.47,69.87,68.91,69.64,69.64,11063453
2013-09-19,69.71,70.04,69.42,69.46,69.46,12310200
2013-09-20,69.52,69.89,69,69.06,69.06,18278300
2013-09-23,70,70.24,68.88,68.98,68.98,13521355
2013-09-24,68.72,68.91,68.14,68.51,68.51,8067600
2013-09-25,68.44,69.07,68.26,68.75,68.75,7053700
2013-09-26,69.08,69.35,68.7,68.87,68.87,4987100
2013-09-27,68.19,68.28,67.08,67.38,67.38,10850598
2013-09-30,66.94,67.59,66.55,67.32,67.32,8557723
2013-10-01,67.4,67.88,67.17,67.49,67.49,6881113
2013-10-02,67.03,67.74,66.95,67.68,67.68,6110863
2013-10-03,67.72,67.72,66.7,67.11,67.11,6167387
2013-10-04,67.25,68.19,67.13,68.02,68.02,7852400
2013-10-07,66.39,67.65,66.3,67.19,67.19,12189800
2013-10-08,67.18,67.23,66.26,66.35,66.35,8080234
2013-10-09,66.55,66.58,65.47,65.71,65.71,11099600
2013-10-10,66.22,66.97,66,66.84,66.84,7416754
2013-10-11,66.96,67.6,66.59,67.55,67.55,7119400
2013-10-14,67.11,67.94,66.92,67.75,67.75,5548156
2013-10-15,68,68.7,67.8,68.17,68.17,7729031
2013-10-16,68.5,69.1,68.39,68.87,68.87,8290336
2013-10-17,68.29,68.76,67.85,68.7,68.7,7438328
2013-10-18,68.47,68.98,68.22,68.4,68.4,8244742
2013-10-21,68.51,68.95,68.36,68.77,68.77,5637324
2013-10-22,68.85,69.25,68.79,68.92,68.92,8093828
2013-10-23,68.26,68.5,66.92,67.04,67.04,13641844
2013-10-24,67.46,67.51,66.82,66.94,66.94,7021820
2013-10-25,67.2,68.27,67,68.27,68.27,10251700
2013-10-28,68.39,68.62,67.96,68.54,68.54,7655100
2013-10-29,68.73,69.39,68.6,68.93,68.93,8219932
2013-10-30,68.99,69.35,68.83,69.04,69.04,7184780
2013-10-31,69.19,69.98,68.76,69.49,69.49,11205114
2013-11-01,69.53,70,69.32,69.9,69.9,10847215
2013-11-04,70.14,70.19,69.25,69.57,69.57,9294454
2013-11-05,69.25,69.55,68.86,69.01,69.01,8605109
2013-11-06,69.43,69.81,68.67,69.74,69.74,13386416
2013-11-07,66.83,67.75,66.25,67.09,67.09,33831405
2013-11-08,67.42,68.04,67.06,67.45,67.45,14752508
2013-11-11,67.3,67.92,67.18,67.62,67.62,10570303
2013-11-12,67.54,68.57,67.54,68.51,68.51,9940700
2013-11-13,68.99,70.03,68.55,70.03,70.03,13680116
2013-11-14,69.98,71.48,69.85,71.22,71.22,14855556
2013-11-15,71.34,72.18,71.1,72.17,72.17,14221716
2013-11-18,72.28,72.3,71.72,71.94,71.94,10955800
2013-11-19,72.18,72.43,71.73,71.84,71.84,10544800
2013-11-20,71.95,72.4,70.91,71.03,71.03,15106095
2013-11-21,70.4,71.81,70.4,71.71,71.71,13598689
2013-11-22,71.91,73.09,71.87,72.96,72.96,12561200
2013-11-25,71.09,72.53,70.96,72.49,72.49,16549338
2013-11-26,72.69,73.65,72.59,73.65,73.65,16427085
2013-11-27,73.24,73.58,72.81,73.56,73.56,7915422
2013-11-29,73.52,73.89,73.26,73.58,73.58,6060038
2013-12-02,73.53,73.87,73.24,73.44,73.44,8851826
2013-12-03,73.19,73.46,72.93,73.31,73.31,7946651
2013-12-04,73.02,73.5,72.85,73.18,73.18,6515188
2013-12-05,73.01,73.43,72.9,73.23,73.23,7728800
2013-12-06,73.6,73.97,73.1,73.76,73.76,6884350
2013-12-09,73.88,74.19,72.94,73.37,73.37,8881846
2013-12-10,73.3,73.84,73.09,73.38,73.38,10724632
