Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,26.41,26.58,26.1,26.47,26.47,39436399
2013-06-04,26.56,27.07,26.53,26.92,26.92,53618577
2013-06-05,26.92,26.96,26.61,26.61,26.61,30294911
2013-06-06,26.58,27.07,26.49,27.03,27.03,30562561
2013-06-07,27.15,27.21,26.7,26.76,26.76,34517091
2013-06-10,27.07,27.25,26.94,27.16,27.16,28955388
2013-06-11,27.07,27.32,26.96,26.99,26.99,34454958
2013-06-12,27.17,27.28,26.85,26.89,26.89,22464816
2013-06-13,26.88,27.47,26.88,27.4,27.4,26690472
2013-06-14,27.32,27.41,27.09,27.1,27.1,31772796
2013-06-17,27.22,27.28,26.78,26.99,26.99,30956956
2013-06-18,27.04,27.44,27.01,27.3,27.3,20348193
2013-06-19,27.22,27.28,26.61,26.61,26.61,32412858
2013-06-20,26.42,26.57,25.9,25.93,25.93,42140502
2013-06-21,26.08,26.21,25.74,26.02,26.02,129121667
2013-06-24,25.9,26.3,25.76,26.01,26.01,94360201
2013-06-25,26.18,26.58,26.07,26.44,26.44,88977731
2013-06-26,26.73,26.79,26.49,26.67,26.67,29041304
2013-06-27,26.82,27.13,26.79,26.89,26.89,24184743
2013-06-28,26.83,26.94,26.65,26.72,26.72,31695761
2013-07-01,26.72,26.93,26.56,26.64,26.64,26374574
2013-07-02,26.64,27.02,26.53,26.82,26.82,24693312
2013-07-03,26.77,26.98,26.57,26.89,26.89,15368767
2013-07-05,27.02,27.1,26.61,27.04,27.04,22713281
2013-07-08,26.89,26.94,26.71,26.85,26.85,21005708
2013-07-09,27,27.04,26.82,26.87,26.87,19194566
2013-07-10,26.86,26.93,26.61,26.71,26.71,23636787
2013-07-11,26.98,27.18,26.93,27.07,27.07,30584247
2013-07-12,27.08,27.1,26.84,27.03,27.03,25267088
2013-07-15,26.93,26.99,26.61,26.83,26.83,22758285
2013-07-16,26.89,27.1,26.87,27.08,27.08,23322013
2013-07-17,27.14,27.41,27.1,27.14,27.14,22275154
2013-07-18,27.07,27.16,26.88,26.98,26.98,25939266
2013-07-19,27.04,27.06,26.81,27.03,27.03,28028808
2013-07-22,27,27.09,26.82,26.85,26.85,25462028
2013-07-23,26.98,27.13,26.79,27.03,27.03,30413346
2013-07-24,26.71,26.79,26.36,26.72,26.72,40992633
2013-07-25,26.55,26.85,26.54,26.76,26.76,29259266
2013-07-26,26.73,26.95,26.65,26.87,26.87,18759389
2013-07-29,26.9,27.17,26.85,27.08,27.08,22027303
2013-07-30,27.17,27.22,26.73,26.73,26.73,25299161
2013-07-31,26.74,26.85,26.58,26.62,26.62,28258344
2013-08-01,26.91,27.04,26.7,26.96,26.96,24427400
2013-08-02,26.87,27.01,26.8,27,27,28824106
2013-08-05,26.95,27.06,26.85,26.92,26.92,13567074
2013-08-06,26.89,26.92,26.73,26.78,26.78,16964910
2013-08-07,26.73,26.97,26.73,26.86,26.86,17608840
2013-08-08,26.92,26.96,26.51,26.64,26.64,23792701
2013-08-09,26.61,26.65,26.23,26.27,26.27,28548019
2013-08-12,26.23,26.39,26.21,26.36,26.36,21182966
2013-08-13,26.38,26.41,26.09,26.21,26.21,21474059
2013-08-14,26.24,26.26,26.05,26.24,26.24,23060934
2013-08-15,26.12,26.2,25.93,25.93,25.93,23577623
2013-08-16,25.87,25.95,25.59,25.8,25.8,32550669
2013-08-19,25.74,25.8,25.38,25.5,25.5,27987641
2013-08-20,25.55,25.73,25.5,25.56,25.56,21401915
2013-08-21,25.51,25.55,25.25,25.27,25.27,27233701
2013-08-22,25.28,25.66,25.05,25.53,25.53,34337138
2013-08-23,25.52,25.91,25.47,25.88,25.88,39387346
2013-08-26,25.9,25.97,25.51,25.53,25.53,18449358
2013-08-27,25.34,25.71,25.31,25.43,25.43,24735582
2013-08-28,25.44,25.54,25.35,25.35,25.35,22072629
2013-08-29,25.39,25.71,25.37,25.4,25.4,29466734
2013-08-30,25.4,25.58,25.34,25.53,25.53,27014043
