Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,48.43,48.71,47.77,48.66,48.66,17575696
2013-06-04,48.66,49.46,48.39,48.84,48.84,19903296
2013-06-05,48.91,48.93,48.23,48.3,48.3,11311152
2013-06-06,48.3,50.09,48.15,49.97,49.97,17673792
2013-06-07,50.17,50.31,49.77,50.24,50.24,12002957
2013-06-10,50.87,50.87,50.12,50.53,50.53,9617648
2013-06-11,50.22,50.79,49.93,50.18,50.18,9913180
2013-06-12,50.47,50.56,49.74,49.9,49.9,8216000
2013-06-13,49.89,50.71,49.8,50.64,50.64,7147098
2013-06-14,50.59,51.27,50.55,51.07,51.07,12020500
2013-06-17,51.45,51.63,50.35,50.71,50.71,9887820
2013-06-18,50.83,51.69,50.76,51.55,51.55,11104375
2013-06-19,51.31,51.45,50.04,50.05,50.05,11190988
2013-06-20,49.69,49.86,48.86,48.96,48.96,14667531
2013-06-21,49.43,49.78,49.1,49.52,49.52,35022448
2013-06-24,49.05,49.41,48.81,49.12,49.12,29397984
2013-06-25,49.43,50.68,49.43,50.44,50.44,31415264
2013-06-26,50.8,50.84,50.24,50.66,50.66,9202922
2013-06-27,50.96,51.5,50.93,51,51,8634086
2013-06-28,50.93,51.23,50.33,50.34,50.34,11175984
2013-07-01,50.29,50.65,50.18,50.36,50.36,9746949
2013-07-02,50.36,51.04,50.19,50.63,50.63,9661156
2013-07-03,50.56,51.3,50.45,51.01,51.01,5975684
2013-07-05,51.3,51.3,50.34,51.3,51.3,8033172
2013-07-08,51.1,51.41,50.8,51.17,51.17,7238988
2013-07-09,51.5,51.58,50.87,50.96,50.96,6738945
2013-07-10,50.94,51.09,50.42,50.54,50.54,8373800
2013-07-11,51,51.29,50.77,51.21,51.21,10229598
2013-07-12,51.25,51.3,50.21,50.41,50.41,12705035
2013-07-15,50.2,50.22,49.4,49.96,49.96,10593762
2013-07-16,49.75,50.45,49.71,50.28,50.28,8841652
2013-07-17,50.62,51.27,50.57,50.74,50.74,8545391
2013-07-18,50,50.33,49.19,49.97,49.97,12951363
2013-07-19,50.05,50.27,49.71,49.95,49.95,12338332
2013-07-22,49.84,50.31,49.63,50.27,50.27,8795242
2013-07-23,50.33,50.46,50.03,50.36,50.36,6756168
2013-07-24,50.16,50.53,49.94,50.38,50.38,8469316
2013-07-25,50.29,50.8,50.1,50.71,50.71,6488004
2013-07-26,50.74,51.08,50.51,51.02,51.02,7090672
2013-07-29,51.03,51.74,50.92,51.49,51.49,8445055
2013-07-30,51.94,51.94,50.3,50.42,50.42,11579441
2013-07-31,50.27,50.46,49.45,49.48,49.48,14436836
2013-08-01,50.05,50.19,49.63,50.01,50.01,9001250
2013-08-02,49.83,50.44,49.81,50.25,50.25,6883566
2013-08-05,50.11,50.35,49.95,50.21,50.21,4533109
2013-08-06,50.19,50.22,49.82,50.09,50.09,5226453
2013-08-07,49.93,50.25,49.85,49.93,49.93,5366313
2013-08-08,50.06,50.07,49.46,49.62,49.62,8155000
2013-08-09,49.7,49.8,49.02,49.32,49.32,8585262
2013-08-12,49.28,49.76,49.17,49.65,49.65,5507848
2013-08-13,49.64,49.68,49.03,49.15,49.15,7881590
2013-08-14,49.1,49.27,48.72,48.89,48.89,7395668
2013-08-15,48.66,48.98,48.42,48.54,48.54,6610625
2013-08-16,48.29,48.53,47.33,47.71,47.71,15384641
2013-08-19,47.55,48.09,47.45,47.5,47.5,7877977
2013-08-20,47.54,48.18,47.5,47.91,47.91,7264109
2013-08-21,47.79,47.79,47.24,47.27,47.27,8434449
