Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,25.02,25.27,24.88,25.23,25.23,25325884
2013-06-04,25.26,25.46,25.16,25.31,25.31,28032439
2013-06-05,25.24,25.32,25.02,25.08,25.08,20335800
2013-06-06,25.09,25.24,24.94,25.21,25.21,28278391
2013-06-07,25.46,25.62,25.4,25.44,25.44,25046755
2013-06-10,25.43,25.55,25.22,25.25,25.25,20195330
2013-06-11,25.14,25.28,25,25.08,25.08,18020328
2013-06-12,25.16,25.24,24.88,24.95,24.95,14193389
2013-06-13,24.93,25.11,24.85,25,25,21725307
2013-06-14,24.95,25.09,24.93,24.96,24.96,19054672
2013-06-17,25,25.15,24.84,24.98,24.98,19443208
2013-06-18,25,25.29,24.93,25.24,25.24,20219100
2013-06-19,25.25,25.32,24.78,24.82,24.82,24987972
2013-06-20,24.83,24.89,24.34,24.34,24.34,27214116
2013-06-21,24.51,24.73,24.42,24.5,24.5,43727188
2013-06-24,24.35,24.93,24.3,24.73,24.73,29091900
2013-06-25,24.76,24.92,24.61,24.79,24.79,21664944
2013-06-26,24.87,25.06,24.85,25,25,16436254
2013-06-27,25.16,25.37,25.08,25.09,25.09,21268452
2013-06-28,25.04,25.22,24.82,24.83,24.83,43665430
2013-07-01,25,25.09,24.7,24.86,24.86,20093351
2013-07-02,24.77,25.23,24.74,24.9,24.9,20185520
2013-07-03,24.8,25.04,24.7,24.92,24.92,6975324
2013-07-05,25.05,25.09,24.8,25.07,25.07,16342621
2013-07-08,25.23,25.59,25.23,25.57,25.57,20151302
2013-07-09,25.65,25.81,25.58,25.68,25.68,15819567
2013-07-10,25.65,25.83,25.48,25.59,25.59,15432900
2013-07-11,25.82,25.92,25.78,25.88,25.88,14044292
2013-07-12,25.87,25.89,25.78,25.88,25.88,13387033
2013-07-15,25.77,25.77,25.57,25.68,25.68,14661600
2013-07-16,25.66,25.82,25.63,25.79,25.79,14122829
2013-07-17,25.87,25.93,25.7,25.73,25.73,16054762
2013-07-18,25.74,25.85,25.67,25.78,25.78,12449700
2013-07-19,25.82,26.06,25.78,26.03,26.03,20493806
2013-07-22,25.96,26.08,25.91,25.96,25.96,12477117
2013-07-23,25.99,26.21,25.93,26.18,26.18,15763116
2013-07-24,26.23,26.23,25.91,26.08,26.08,14790941
2013-07-25,26.02,26.15,25.88,26,26,17760815
2013-07-26,25.98,26.01,25.7,26,26,16048552
2013-07-29,25.94,26.08,25.93,26,26,10395910
2013-07-30,26.07,26.12,25.9,25.96,25.96,13601100
2013-07-31,25.97,26.16,25.91,25.98,25.98,18128208
2013-08-01,26.14,26.22,26.03,26.07,26.07,15506217
2013-08-02,26.08,26.25,26,26.25,26.25,18401409
2013-08-05,26.21,26.33,26.14,26.26,26.26,11718300
2013-08-06,26.19,26.19,25.85,25.96,25.96,20103230
2013-08-07,25.72,25.88,25.54,25.79,25.79,17459993
2013-08-08,25.84,25.96,25.64,25.75,25.75,13424100
2013-08-09,25.74,25.77,25.59,25.63,25.63,17295416
2013-08-12,25.52,25.8,25.5,25.69,25.69,17361170
2013-08-13,25.72,25.75,25.41,25.62,25.62,19143000
2013-08-14,25.6,25.74,25.41,25.47,25.47,20460314
2013-08-15,24.82,25.03,24.68,24.8,24.8,39665499
2013-08-16,24.71,24.83,24.57,24.7,24.7,21764706
2013-08-19,24.63,24.64,24.4,24.53,24.53,16094851
2013-08-20,24.52,24.54,24.4,24.41,24.41,19989300
2013-08-21,24.39,24.71,24.31,24.52,24.52,24233700
2013-08-22,24.6,24.68,24.41,24.49,24.49,11843987
2013-08-23,24.55,24.58,24.34,24.48,24.48,16425520
2013-08-26,24.55,24.58,24.34,24.34,24.34,16074331
2013-08-27,24.23,24.37,24.17,24.29,24.29,17362928
2013-08-28,24.22,24.29,24.09,24.13,24.13,16829911
2013-08-29,24.12,24.29,24.08,24.14,24.14,12264600
2013-08-30,24.21,24.36,24.19,24.33,24.33,18198600
2013-09-03,24.49,24.53,24.18,24.23,24.23,21471000
2013-09-04,24.23,24.37,24.15,24.3,24.3,14009687
2013-09-05,24.28,24.49,24.21,24.22,24.22,14041500
