Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,90.53,91.51,90.48,91.46,91.46,14180145
2013-06-04,91.18,91.49,90.22,90.79,90.79,12481543
2013-06-05,90.68,91.12,89.61,89.65,89.65,12888844
2013-06-06,89.45,90.23,89,90.23,90.23,15394188
2013-06-07,90.89,91.5,90.49,91.45,91.45,12507586
2013-06-10,91.93,91.94,90.87,91.12,91.12,10372738
2013-06-11,90.38,91.04,90.23,90.46,90.46,10739613
2013-06-12,91.13,91.32,89.59,89.74,89.74,10864500
2013-06-13,89.63,91.71,89.61,91.33,91.33,13503094
2013-06-14,91.16,91.3,90.3,90.58,90.58,12158488
2013-06-17,90.97,91.77,90.77,91.51,91.51,12031695
2013-06-18,91.36,92.06,91.26,91.93,91.93,10679836
2013-06-19,91.79,92.27,91,91,91,14191977
2013-06-20,90.24,90.52,88.79,89.05,89.05,21084352
2013-06-21,89.76,90.14,88.85,89.48,89.48,25504736
2013-06-24,88.95,89.5,88.02,88.48,88.48,17653520
2013-06-25,89.58,89.62,88.48,89.11,89.11,15796199
2013-06-26,89.42,89.97,88.73,89.8,89.8,14447121
2013-06-27,90.24,90.67,90.03,90.04,90.04,12349477
2013-06-28,89.85,90.75,89.56,90.35,90.35,22993552
2013-07-01,90.39,91.13,89.96,90.3,90.3,13182594
2013-07-02,90.37,91.1,90.12,90.64,90.64,12321422
2013-07-03,90.63,90.87,90.14,90.69,90.69,5680117
2013-07-05,91.1,91.61,90.57,91.57,91.57,8918066
2013-07-08,91.96,92.53,91.9,92.25,92.25,12093727
2013-07-09,92.64,93.44,92.25,93.34,93.34,12942258
2013-07-10,93.28,93.39,92.38,92.82,92.82,12432184
2013-07-11,93.8,93.81,93.04,93.27,93.27,16187527
2013-07-12,93.25,93.45,92.73,93.4,93.4,11372098
2013-07-15,93.19,93.5,93.09,93.25,93.25,8257305
2013-07-16,93.19,93.47,92.77,93.3,93.3,11413500
2013-07-17,93.56,93.74,93.14,93.46,93.46,9395781
2013-07-18,93.8,94.84,93.71,94.38,94.38,10557176
2013-07-19,94.69,95.25,94.41,95.17,95.17,14435395
2013-07-22,94.87,95.2,94.78,94.83,94.83,9534410
2013-07-23,94.86,95.49,94.84,95.2,95.2,7379375
2013-07-24,95.31,95.31,94.42,94.99,94.99,8223988
2013-07-25,94.69,95.31,94.42,94.97,94.97,10060098
2013-07-26,94.77,94.86,93.84,94.79,94.79,9723023
2013-07-29,94.51,94.52,93.61,94.03,94.03,8847641
2013-07-30,94.22,94.33,93.46,93.81,93.81,10472184
2013-07-31,93.93,94.6,93.38,93.75,93.75,14404070
2013-08-01,92.69,93.1,91.25,92.73,92.73,23117968
2013-08-02,92.46,92.53,91.34,91.95,91.95,14411781
2013-08-05,91.42,91.76,91.01,91.59,91.59,12625900
2013-08-06,91.33,91.91,91.28,91.47,91.47,11689590
2013-08-07,91.18,91.55,91.13,91.34,91.34,8163805
2013-08-08,91.93,91.97,91.28,91.78,91.78,11532008
2013-08-09,91.2,91.36,90.43,90.72,90.72,9468145
2013-08-12,90.43,90.43,89.69,89.89,89.89,10133855
2013-08-13,89.85,89.92,89.14,89.4,89.4,10895004
2013-08-14,89.34,89.48,88.9,88.95,88.95,9798566
2013-08-15,88.66,88.87,88.06,88.16,88.16,11273676
2013-08-16,88.01,88.49,87.65,87.91,87.91,11878492
2013-08-19,87.82,87.87,86.78,86.92,86.92,11745785
2013-08-20,87.13,87.87,86.83,86.83,86.83,16505270
2013-08-21,86.95,87.35,86.39,86.42,86.42,12766900
2013-08-22,86.58,87.42,86.45,86.98,86.98,10202520
2013-08-23,87.15,87.69,86.76,87.52,87.52,9206422
2013-08-26,87.5,87.7,86.82,87.09,87.09,10654700
2013-08-27,86.62,87.49,86.58,86.82,86.82,13960660
2013-08-28,87.28,88.99,87.28,88.84,88.84,17743952
2013-08-29,88.63,88.63,87.23,87.27,87.27,11417766
2013-08-30,87.39,87.55,86.79,87.16,87.16,12482031
2013-09-03,87.7,88,86.84,87.15,87.15,10546797
2013-09-04,87.01,87.98,86.9,87.76,87.76,9830723
2013-09-05,88.06,88.3,87.33,87.35,87.35,11740531
2013-09-06,87.49,87.73,86.8,87.25,87.25,12951531
2013-09-09,87.34,88.2,87.31,88.04,88.04,9298590
2013-09-10,88.4,88.4,87.28,87.82,87.82,11830465
2013-09-11,87.88,88.85,87.88,88.84,88.84,11203582
2013-09-12,88.59,88.8,87.87,87.98,87.98,10918070
2013-09-13,88.15,88.88,88.15,88.4,88.4,8254200
2013-09-16,88.88,89.18,88.49,88.67,88.67,9438855
2013-09-17,88.71,89.35,88.65,88.94,88.94,8944164
2013-09-18,88.91,89.87,88.37,89.58,89.58,15139363
2013-09-19,89.64,89.74,88.98,89.28,89.28,11766809
2013-09-20,89.53,89.75,88.59,88.66,88.66,20659680
2013-09-23,88.29,88.91,87.64,87.75,87.75,12229746
2013-09-24,87.59,88.07,87.28,87.36,87.36,12129285
2013-09-25,87.59,87.6,86.93,87.14,87.14,13577400
2013-09-26,87.4,87.45,86.81,87.07,87.07,9787100
2013-09-27,86.85,87.01,86.61,86.9,86.9,10870711
2013-09-30,86.06,86.7,85.61,86.04,86.04,17493680
2013-10-01,85.99,86.34,85.78,86,86,11888461
2013-10-02,85.75,86.11,85.28,86.08,86.08,11843172
2013-10-03,86.04,86.05,85.34,85.5,85.5,13927520
2013-10-04,86.31,86.42,85.68,86.32,86.32,11331484
2013-10-07,85.57,86.29,85.27,85.9,85.9,10985800
2013-10-08,85.86,85.95,85.47,85.51,85.51,15344082
2013-10-09,85.35,85.59,84.83,85.16,85.16,13575125
2013-10-10,85.52,86.04,84.79,86.04,86.04,17542448
2013-10-11,85.9,86.95,85.5,86.95,86.95,12661805
2013-10-14,86.51,87.74,86.51,87.6,87.6,9742100
2013-10-15,87.47,87.58,86.64,86.79,86.79,12023047
2013-10-16,87.48,87.86,86.72,87.31,87.31,11668117
2013-10-17,87.13,87.5,87.01,87.48,87.48,10438238
2013-10-18,87.69,87.74,87.3,87.55,87.55,12425313
2013-10-21,87.5,87.65,86.84,87.23,87.23,10730910
2013-10-22,87.29,88.15,87.13,87.98,87.98,12714824
2013-10-23,87.52,87.65,86.95,87.61,87.61,11455555
2013-10-24,87.98,88.73,87.97,88.42,88.42,12298090
2013-10-25,88.23,88.65,87.82,87.97,87.97,11382000
2013-10-28,87.83,88.46,87.61,88.23,88.23,9921900
2013-10-29,88.45,89.03,88.44,88.93,88.93,10340000
2013-10-30,88.97,89.48,88.69,88.81,88.81,14307370
2013-10-31,89.45,90.96,89.2,89.62,89.62,19185200
2013-11-01,89.74,90.04,88.27,89.82,89.82,19024810
2013-11-04,90,92.27,90,92.1,92.1,20601160
2013-11-05,91.34,93.25,91.24,91.99,91.99,21122500
2013-11-06,92.42,93.28,92.12,93.22,93.22,13464600
2013-11-07,92.64,92.98,91.76,91.96,91.96,16578928
2013-11-08,91.8,92.82,91.48,92.73,92.73,12331256
2013-11-11,92.85,93.23,92.5,92.96,92.96,7927463
2013-11-12,92.67,93.32,92.5,92.67,92.67,10727300
2013-11-13,92.22,92.74,92.07,92.59,92.59,9285719
2013-11-14,92.68,93.42,92.68,93.22,93.22,7909231
2013-11-15,94.15,95.29,94.03,95.27,95.27,18374500
2013-11-18,95.98,96,95.06,95.45,95.45,14245128
2013-11-19,95.4,95.79,95.16,95.42,95.42,12697300
2013-11-20,95.75,95.95,94.37,94.68,94.68,10459364
2013-11-21,94.85,95.39,94.63,94.69,94.69,9128848
2013-11-22,94.96,95.07,94.29,95.01,95.01,8541590
2013-11-25,95.21,95.75,94.83,95.09,95.09,10515815
2013-11-26,94.75,94.81,94.15,94.27,94.27,11859551
2013-11-27,94.36,94.42,93.48,93.8,93.8,8828125
2013-11-29,93.65,94.22,93.3,93.48,93.48,6770500
2013-12-02,93.27,94.04,92.92,93.52,93.52,9310964
2013-12-03,93.6,94.48,93.23,94.39,94.39,12607780
2013-12-04,94.19,94.9,93.92,94.67,94.67,13074695
2013-12-05,94.07,94.65,93.92,94.13,94.13,10586826
2013-12-06,94.97,95.71,94.59,95.65,95.65,12063400
2013-12-09,95.95,96.25,95.6,95.84,95.84,15519217
2013-12-10,95.9,95.98,95.39,95.71,95.71,9868328
2013-12-11,95.38,95.54,94.16,94.26,94.26,12811800
2013-12-12,94.5,95.88,94.28,95.36,95.36,15562613
2013-12-13,95.13,95.92,94.66,95.31,95.31,10630610
2013-12-16,96.28,98.88,96.13,97.22,97.22,23226000
2013-12-17,97.02,97.13,96.03,96.75,96.75,14920924
2013-12-18,97.43,99.95,97.01,99.54,99.54,21334488
2013-12-19,99.5,99.6,99,99.43,99.43,12905900
2013-12-20,99.39,99.6,98.6,98.68,98.68,23333803
2013-12-23,99,99.29,98.39,98.51,98.51,10131832
2013-12-24,98.33,99.44,98.33,99.22,99.22,4168300
2013-12-26,99.42,101.03,99.38,100.9,100.9,9539504
2013-12-27,101.24,101.74,100.99,101.51,101.51,10214097
2013-12-30,101.53,101.55,100.31,100.31,100.31,9008884
2013-12-31,100.49,101.39,100.43,101.2,101.2,8509901
2014-01-02,100.6,100.76,99.39,99.75,99.75,11030125
2014-01-03,99.77,100.17,99.14,99.51,99.51,9295650
2014-01-06,99.94,100.14,98.89,99.66,99.66,11849986
2014-01-07,99.61,101.22,99.42,101.07,101.07,11188673
2014-01-08,101.19,101.19,100.15,100.74,100.74,11180400
2014-01-09,100.2,100.39,99.03,99.76,99.76,11679041
2014-01-10,99.99,100.63,99.12,100.52,100.52,10537306
2014-01-13,99.91,100.1,98.27,98.55,98.55,12112226
2014-01-14,98.8,99.27,98.65,99.12,99.12,9269763
2014-01-15,99.16,99.35,98.63,98.78,98.78,9427730
2014-01-16,98.79,99.04,98.25,98.94,98.94,9421731
2014-01-17,99.18,100.34,98.67,99.16,99.16,15998124
2014-01-21,98.57,98.89,98.04,98.5,98.5,13848381
2014-01-22,98.88,98.95,97.84,97.88,97.88,11648146
2014-01-23,97.25,97.39,96.01,96.97,96.97,15397746
2014-01-24,96.18,96.25,94.82,94.85,94.85,14669972
2014-01-27,95.08,95.58,94.75,94.92,94.92,12477405
2014-01-28,95.35,95.92,94.77,95.65,95.65,10774257
2014-01-29,94.93,96.2,94.65,95.11,95.11,13194427
