year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,170910000000,48999000000,37037000000,207000000000,123549000000,16960000000,53666000000,-9076000000,1.43
2014,182795000000,52503000000,39510000000,231839000000,111547000000,28987000000,59713000000,-9813000000,1.62
2015,233715000000,71230000000,53394000000,290345000000,119355000000,53329000000,81266000000,-11488000000,2.32
2016,215639000000,60024000000,45687000000,321686000000,128249000000,75427000000,66231000000,-13548000000,2.09
2017,229234000000,61344000000,48351000000,375319000000,134047000000,97207000000,64225000000,-12795000000,2.32
2018,265595000000,70898000000,59531000000,365725000000,107147000000,93735000000,77434000000,-13313000000,3
2019,260174000000,63930000000,55256000000,338516000000,90488000000,91807000000,69391000000,-10495000000,2.99
2020,274515000000,66288000000,57411000000,323888000000,65339000000,98667000000,80674000000,-7309000000,3.31
2021,365817000000,108949000000,94680000000,351002000000,63090000000,109106000000,104038000000,-11085000000,5.67
2022,394328000000,119437000000,99803000000,352755000000,50672000000,98959000000,122151000000,-10708000000,6.15
2023,383285000000,114301000000,96995000000,352583000000,62146000000,95281000000,110543000000,-10959000000,6.16
2024,391035000000,123216000000,93736000000,364980000000,56950000000,85750000000,118254000000,-9447000000,6.11
