year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,18790000000,5664000000,4128000000,29198000000,4492000000,14292000000,6267000000,-491000000,2.58
2014,19960000000,3411000000,1774000000,27513000000,1742000000,10538000000,3549000000,-612000000,1.11
2015,22859000000,7537000000,5144000000,53050000000,3945000000,29240000000,7535000000,-532000000,3.15
2016,25638000000,9340000000,5953000000,66099000000,4636000000,36440000000,7041000000,-479000000,3.65
2017,28216000000,9545000000,5309000000,70786000000,5097000000,30953000000,9960000000,-529000000,3.31
2018,32753000000,6383000000,5687000000,59352000000,-8446000000,35002000000,13427000000,-638000000,3.69
2019,33266000000,12983000000,7882000000,89115000000,-8172000000,62975000000,13324000000,-552000000,5.3
2020,45804000000,11363000000,4616000000,150565000000,13097000000,77533000000,17588000000,-798000000,2.73
2021,56197000000,17924000000,11542000000,146529000000,15436000000,64164000000,22777000000,-787000000,6.48
2022,58054000000,18117000000,11836000000,138805000000,17287000000,59118000000,24943000000,-695000000,6.65
2023,54318000000,12757000000,4863000000,134711000000,10397000000,52167000000,22839000000,-777000000,2.73
2024,56334000000,9137000000,4278000000,135161000000,3364000000,60340000000,18806000000,-974000000,2.4
