year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,5299000000,103000000,-83000000,4337000000,544000000,1998000000,-148000000,-84000000,-0.11
2014,5506000000,-155000000,-403000000,3767000000,187000000,2035000000,-98000000,-95000000,-0.52
2015,3991000000,-481000000,-660000000,3084000000,-412000000,2007000000,-237000000,-96000000,-0.84
2016,4319000000,-373000000,-498000000,3321000000,416000000,1435000000,90000000,-77000000,-0.6
2017,5253000000,127000000,-33000000,3552000000,596000000,1325000000,68000000,-113000000,-0.0347
2018,6475000000,451000000,337000000,4556000000,1266000000,1114000000,34000000,-163000000,0.34
2019,6731000000,631000000,341000000,6028000000,2827000000,486000000,493000000,-217000000,0.31
2020,9763000000,1369000000,2490000000,8962000000,5837000000,330000000,1071000000,-294000000,2.1
2021,16434000000,3648000000,3162000000,12419000000,7497000000,1000000,3521000000,-301000000,2.61
2022,23601000000,1264000000,1320000000,67580000000,54750000000,2467000000,3565000000,-450000000,0.85
2023,22680000000,401000000,854000000,67885000000,55892000000,1717000000,1667000000,-546000000,0.53
2024,25785000000,1900000000,1641000000,69226000000,57568000000,1721000000,3041000000,-636000000,1.01
