year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,3361407000,1214305000,551333000,20272571000,3590040000,14408146000,1599047000,-724532000,1.4
2014,4100048000,1486922000,824910000,21331545000,4053352000,13642955000,2134589000,-974404000,2.02
2015,4771516000,1612789000,685074000,26904272000,6712818000,17068807000,2183052000,-728753000,1.42
2016,5785668000,1853029000,956425000,30879150000,8067420000,18294700000,2703604000,-682505000,2
2017,6663900000,1998400000,1238900000,33214300000,7954300000,19430300000,2925600000,-803600000,2.69
2018,7440100000,1905000000,1236400000,33010400000,6904400000,18405100000,3748300000,-913200000,2.81
2019,7580300000,2688400000,1887800000,42801600000,6586900000,21127200000,3752600000,-991300000,4.27
2020,8041500000,2887500000,1690600000,47233500000,4780500000,28497700000,3881400000,-1031700000,3.81
2021,9356900000,3132000000,2567700000,69887900000,9069600000,38685500000,4819900000,-1376700000,5.69
2022,9645400000,2738600000,1765800000,67194500000,12408500000,34156000000,3696200000,-1873600000,3.83
2023,10012200000,3125500000,1483300000,66027600000,10865400000,35734000000,4722400000,-1798100000,3.18
2024,10127200000,4516500000,2255000000,61077400000,9648700000,32808800000,5290500000,-1590000000,4.83
