year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,74452000000,745000000,274000000,40159000000,9746000000,3191000000,5475000000,-3444000000,0.03
2014,88988000000,178000000,-241000000,54505000000,10741000000,8265000000,6842000000,-4893000000,-0.026
2015,107006000000,2233000000,596000000,64747000000,13384000000,8227000000,12039000000,-5387000000,0.064
2016,135987000000,4353000000,2371000000,83402000000,19285000000,7694000000,17203000000,-7804000000,0.25
2017,177866000000,4106000000,3033000000,131310000000,27709000000,24743000000,18365000000,-11955000000,0.32
2018,232887000000,12421000000,10073000000,162648000000,43549000000,23495000000,30723000000,-13427000000,1.03
2019,280522000000,14541000000,11588000000,225248000000,62060000000,23414000000,38514000000,-16861000000,1.17
2020,386064000000,22899000000,21331000000,321195000000,93404000000,31816000000,66064000000,-40140000000,2.13
2021,469822000000,24879000000,33364000000,420549000000,138245000000,48744000000,46327000000,-61053000000,3.3
2022,513983000000,12248000000,-2722000000,462675000000,146043000000,67150000000,46752000000,-63645000000,-0.27
2023,574785000000,36852000000,30425000000,527854000000,201875000000,58314000000,84946000000,-52729000000,2.95
2024,637959000000,68593000000,59248000000,624894000000,285970000000,52623000000,115877000000,-82999000000,5.66
