year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,2520000000,552000000,552000000,3415000000,2886000000,0,722000000,-236000000,0.22
2014,4269000000,438000000,263000000,10491000000,3243000000,5463000000,1175000000,-409000000,0.11
2015,6824000000,1632000000,1364000000,10515000000,4714000000,3826000000,2318000000,-593000000,0.52
2016,13240000000,-409000000,-1739000000,49966000000,21876000000,13188000000,3411000000,-723000000,-0.48
2017,17636000000,2371000000,1692000000,54418000000,23186000000,17431000000,6551000000,-1069000000,0.42
2018,20848000000,5135000000,12259000000,50124000000,26657000000,17493000000,8880000000,-635000000,2.93
2019,22597000000,3444000000,2724000000,67493000000,24970000000,30011000000,9697000000,-432000000,0.68
2020,23888000000,4014000000,2960000000,75933000000,23901000000,40235000000,12061000000,-463000000,0.66
2021,27450000000,8519000000,6736000000,75570000000,24989000000,39401000000,13764000000,-443000000,1.57
2022,33203000000,14225000000,11495000000,73249000000,22709000000,39053000000,16736000000,-424000000,2.74
2023,35819000000,16207000000,14082000000,72861000000,23988000000,37617000000,18085000000,-452000000,3.39
2024,51574000000,13463000000,5895000000,165645000000,67678000000,66295000000,19962000000,-548000000,1.27
