year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,98796000000,16172000000,11431000000,2102273000000,232685000000,249674000000,92817000000,-521000000,0.94
2014,96829000000,7963000000,5520000000,2104534000000,243471000000,243139000000,30795000000,-1160000000,0.36
2015,93514000000,22187000000,15910000000,2144287000000,256176000000,236764000000,28397000000,0,1.38
2016,93662000000,25021000000,17822000000,2188067000000,266195000000,216823000000,17277000000,0,1.58
2017,99466000000,29213000000,18232000000,2281234000000,267146000000,227402000000,9864000000,0,1.63
2018,109627000000,34584000000,28147000000,2354507000000,265325000000,229392000000,39520000000,0,2.64
2019,113589000000,32754000000,27430000000,2434079000000,264810000000,240856000000,61777000000,0,2.77
2020,93753000000,18995000000,17894000000,2819627000000,272924000000,262934000000,37993000000,0,1.88
2021,93851000000,33976000000,31978000000,3169495000000,270066000000,280117000000,-7193000000,0,3.6
2022,115053000000,30969000000,27528000000,3051375000000,273197000000,275982000000,-6327000000,0,3.21
2023,171912000000,28342000000,26515000000,3180151000000,291646000000,302204000000,44982000000,0,3.1
2024,192434000000,29254000000,27132000000,3261519000000,295559000000,283279000000,-8805000000,0,3.25
