year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,182150000000,28796000000,19476000000,484931000000,224485000000,65590000000,27704000000,-11087000000,7.9
2014,194699000000,28105000000,19872000000,526186000000,243027000000,71926000000,32010000000,-15185000000,8.06
2015,210943000000,34946000000,24083000000,552257000000,258627000000,82300000000,31491000000,-16082000000,9.77
2016,223418000000,33667000000,24074000000,620854000000,285428000000,91388000000,32535000000,-12954000000,9.76
2017,242061000000,23838000000,44940000000,702095000000,351954000000,96267000000,45776000000,-11708000000,18.22
2018,225382000000,4001000000,4021000000,707794000000,352500000000,85278000000,37400000000,-14537000000,1.63
2019,327223000000,102696000000,81417000000,817729000000,428563000000,92948000000,38687000000,-15979000000,33.22
2020,286325000000,55693000000,42521000000,873729000000,451336000000,107497000000,39773000000,-13012000000,17.78
2021,354727000000,111861000000,89937000000,958784000000,514930000000,108123000000,39421000000,-13276000000,39.64
2022,234121000000,-30500000000,-22759000000,948465000000,481681000000,109782000000,37224000000,-15464000000,-10.36
2023,439337000000,120166000000,96223000000,1069978000000,570770000000,114412000000,49196000000,-19409000000,44.27
2024,371433000000,59436000000,88995000000,1153881000000,651655000000,115396000000,30592000000,-18976000000,41.27
