year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,55656000000,5628000000,3789000000,84896000000,20878000000,26622000000,10191000000,-4446000000,5.87
2014,55184000000,3314000000,2452000000,84681000000,16826000000,27699000000,8057000000,-3379000000,5.99
2015,47011000000,3785000000,2512000000,78342000000,14885000000,25092000000,6699000000,-3261000000,4.23
2016,38537000000,1162000000,-67000000,74704000000,13213000000,22750000000,5639000000,-2928000000,-0.11
2017,45462000000,4460000000,754000000,76962000000,13766000000,23410000000,5706000000,-2336000000,1.27
2018,54722000000,8293000000,6147000000,78509000000,14080000000,24503000000,6558000000,-2916000000,10.39
2019,53800000000,8290000000,6093000000,78453000000,14629000000,26153000000,6912000000,-2669000000,10.85
2020,41748000000,4553000000,2998000000,78324000000,15378000000,25896000000,6327000000,-2115000000,5.51
2021,50971000000,6878000000,6489000000,82793000000,16516000000,25954000000,7198000000,-2472000000,11.93
2022,59427000000,7904000000,6705000000,81943000000,15891000000,25826000000,7766000000,-2599000000,12.73
2023,67060000000,12966000000,10335000000,87476000000,19503000000,24533000000,12885000000,-3092000000,20.24
2024,64809000000,13072000000,10792000000,87764000000,19494000000,27454000000,12035000000,-3215000000,22.17
