year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,105156000000,3053000000,2039000000,30283000000,11012000000,4998000000,3437000000,-2083000000,4.68
2014,112640000000,3220000000,2058000000,33024000000,12515000000,5093000000,3984000000,-1993000000,4.69
2015,116199000000,3624000000,2377000000,33017000000,10843000000,4852000000,4285000000,-2393000000,5.41
2016,118719000000,3672000000,2350000000,33163000000,12332000000,4061000000,3292000000,-2649000000,5.36
2017,129025000000,4111000000,2679000000,36347000000,11079000000,6573000000,6726000000,-2502000000,6.11
2018,141576000000,4480000000,3134000000,40830000000,13103000000,6487000000,5774000000,-2969000000,7.15
2019,152703000000,4737000000,3659000000,45400000000,15584000000,5124000000,6356000000,-2998000000,8.32
2020,166761000000,5435000000,4002000000,55556000000,18705000000,7514000000,8861000000,-2810000000,9.05
2021,195929000000,6708000000,5007000000,59268000000,18078000000,6692000000,8958000000,-3588000000,11.3
2022,226954000000,7793000000,5844000000,64166000000,20647000000,6484000000,7392000000,-3891000000,13.17
2023,242290000000,8114000000,6292000000,68994000000,25058000000,5377000000,11068000000,-4323000000,14.18
2024,254453000000,9285000000,7367000000,69831000000,23622000000,5794000000,11339000000,-4710000000,16.6
