year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,220156000000,27213000000,21423000000,253753000000,150427000000,19960000000,35002000000,-37985000000,11.18
2014,200494000000,19726000000,19241000000,266026000000,156191000000,23960000000,31475000000,-35407000000,10.21
2015,129925000000,-3710000000,4587000000,264540000000,153886000000,33542000000,19456000000,-29504000000,2.46
2016,110215000000,-5471000000,-497000000,260078000000,146722000000,35193000000,12846000000,-18109000000,-0.27
2017,134674000000,3128000000,9195000000,253806000000,149319000000,33477000000,20515000000,-13404000000,4.88
2018,158902000000,14446000000,14824000000,253863000000,155642000000,28606000000,30600000000,-13800000000,7.81
2019,139865000000,100000000,2924000000,237428000000,145208000000,23409000000,27300000000,-14100000000,1.55
2020,94471000000,-6942000000,-5543000000,239790000000,132726000000,42320000000,10577000000,-8900000000,-2.96
2021,155606000000,16104000000,15625000000,239535000000,139940000000,30664000000,29187000000,-8100000000,8.15
2022,235717000000,39950000000,35465000000,257709000000,160242000000,20972000000,49602000000,-11974000000,18.36
2023,196913000000,33790000000,21369000000,261632000000,161929000000,19733000000,35609000000,-15829000000,11.41
2024,193414000000,29099000000,17661000000,256938000000,153157000000,19589000000,31492000000,-16448000000,9.76
