year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,110137000000,12351000000,13057000000,684793000000,136783000000,296103000000,28579000000,-13458000000,5.95
2014,116406000000,15854000000,15233000000,676762000000,136931000000,190999000000,27710000000,-13727000000,12.08
2015,115158000000,14634000000,-6126000000,515148000000,103110000000,147742000000,19891000000,-7309000000,-4.93
2016,119468000000,14178000000,7500000000,389549000000,80516000000,105497000000,1160000000,-7199000000,6.9
2017,99279000000,-2739000000,-8484000000,382615000000,76889000000,110555000000,6554000000,-7920000000,-8.35
2018,97012000000,6761000000,-22355000000,319648000000,51859000000,90824000000,4978000000,-8056000000,-20.99
2019,90221000000,5151000000,-4979000000,266676000000,30300000000,67241000000,8772000000,-6095000000,-4.96
2020,75834000000,409000000,5704000000,256211000000,37561000000,70189000000,3597000000,-3403000000,4.67
2021,56469000000,1058000000,-6337000000,198874000000,41760000000,30824000000,3481000000,-1113000000,-6.16
2022,29139000000,3596000000,336000000,188851000000,34912000000,20320000000,5916000000,-1174000000,0.043
2023,35348000000,4717000000,9482000000,176106000000,28605000000,19417000000,5179000000,-1595000000,8.44
2024,38702000000,6761000000,6556000000,125761000000,19565000000,17234000000,4710000000,-1032000000,6.04
