year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,55519000000,15403000000,12733000000,110920000000,87309000000,1990000000,18659000000,-7358000000,0.97
2014,66001000000,16496000000,14136000000,131133000000,104500000000,2992000000,22376000000,-10959000000,1.07
2015,74989000000,19360000000,16348000000,147461000000,120331000000,1995000000,26024000000,-9915000000,1.16
2016,90272000000,23716000000,19478000000,167497000000,139036000000,3935000000,36036000000,-10212000000,1.42
2017,110855000000,26178000000,12662000000,197295000000,152502000000,3943000000,37091000000,-13184000000,0.91
2018,136819000000,27524000000,30736000000,232792000000,177628000000,3950000000,47971000000,-25139000000,2.21
2019,161857000000,34231000000,34343000000,275909000000,201442000000,4554000000,54520000000,-23548000000,2.48
2020,182527000000,41224000000,40269000000,319616000000,222544000000,12832000000,65124000000,-22281000000,2.96
2021,257637000000,78714000000,76033000000,359268000000,251635000000,12844000000,91652000000,-24640000000,5.69
2022,282836000000,74842000000,59972000000,365264000000,256144000000,12857000000,91495000000,-31485000000,4.59
2023,307394000000,84293000000,73795000000,402392000000,283379000000,11870000000,101746000000,-32251000000,5.84
2024,350018000000,112390000000,100118000000,450256000000,325084000000,10883000000,125299000000,-52535000000,8.13
