year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,40874000000,11737000000,8040000000,911507000000,78467000000,168966000000,4543000000,-706000000,16.09
2014,40085000000,12357000000,8477000000,855842000000,82797000000,175394000000,-7623000000,-678000000,17.91
2015,39174000000,8778000000,6083000000,861395000000,86728000000,186443000000,6961000000,-1833000000,12.35
2016,37894000000,10304000000,7398000000,860165000000,86893000000,198075000000,5570000000,-2876000000,17
2017,42797000000,11132000000,4286000000,916776000000,82243000000,227579000000,-17742000000,-3185000000,9.12
2018,52368000000,12481000000,10459000000,931796000000,90185000000,236027000000,20421000000,-7982000000,25.53
2019,53902000000,10583000000,8466000000,992968000000,90265000000,219029000000,23868000000,-8443000000,21.25
2020,53497000000,12479000000,9459000000,1163028000000,95932000000,226018000000,-18535000000,-6309000000,25.01
2021,64989000000,27044000000,21635000000,1463988000000,109926000000,263466000000,6298000000,-4667000000,60.35
2022,68711000000,13486000000,11261000000,1441799000000,117189000000,254245000000,8708000000,-3748000000,30.57
2023,108418000000,10739000000,8516000000,1641594000000,116905000000,247867000000,-12587000000,-2316000000,23.05
2024,126853000000,18397000000,14276000000,1675972000000,121996000000,249869000000,-13212000000,-2091000000,41.22
