year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,74754000000,7766000000,4535000000,41084000000,17777000000,9475000000,6975000000,-1312000000,3.03
2014,78812000000,9166000000,5385000000,40518000000,12522000000,14691000000,7628000000,-1389000000,3.78
2015,83176000000,10469000000,6345000000,39946000000,9322000000,16869000000,8242000000,-1442000000,4.74
2016,88519000000,11774000000,7009000000,41973000000,6316000000,20789000000,9373000000,-1503000000,5.49
2017,94595000000,13427000000,7957000000,42966000000,4333000000,22349000000,9783000000,-1621000000,6.47
2018,100904000000,14681000000,8630000000,44529000000,1454000000,24267000000,12031000000,-1897000000,7.33
2019,108203000000,15530000000,11121000000,44003000000,-1878000000,26807000000,13165000000,-2442000000,9.78
2020,110225000000,15843000000,11242000000,51236000000,-3116000000,28670000000,13723000000,-2678000000,10.29
2021,132110000000,18278000000,12866000000,70581000000,3299000000,35822000000,18839000000,-2463000000,11.98
2022,151157000000,23040000000,16433000000,71876000000,-1696000000,36604000000,16571000000,-2566000000,15.59
2023,157403000000,24039000000,17105000000,76445000000,1562000000,41962000000,14615000000,-3119000000,16.74
2024,152669000000,21689000000,15143000000,76530000000,1044000000,42743000000,21172000000,-3226000000,15.16
