year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,39062000000,6187000000,3924000000,45435000000,17746000000,6801000000,4335000000,-947000000,4.99
2014,40301000000,6429000000,4239000000,45451000000,18003000000,6046000000,5024000000,-1094000000,5.4
2015,38564000000,7265000000,4768000000,49316000000,18708000000,5554000000,5454000000,-1073000000,6.11
2016,39305000000,7348000000,4809000000,54146000000,19550000000,12182000000,5498000000,-1095000000,6.3
2017,40519000000,7152000000,1655000000,59470000000,16670000000,12573000000,5966000000,-1031000000,2.03
2018,41811000000,7795000000,6765000000,57773000000,18365000000,9756000000,6434000000,-828000000,9.1
2019,36706000000,7327000000,6143000000,58679000000,18713000000,11110000000,6897000000,-839000000,8.52
2020,32640000000,6290000000,4779000000,64586000000,17797000000,16342000000,6208000000,-906000000,6.79
2021,34387000000,6745000000,5542000000,64470000000,19249000000,14254000000,6038000000,-895000000,8.01
2022,35453000000,7234000000,4966000000,62275000000,17326000000,15123000000,5274000000,-766000000,7.33
2023,36647000000,7873000000,5658000000,61525000000,16441000000,16562000000,5340000000,-1039000000,8.53
2024,38496000000,7870000000,5705000000,75196000000,19161000000,25479000000,6097000000,-1164000000,8.76
