year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,52708000000,12291000000,9620000000,92358000000,58256000000,13165000000,20776000000,-10747000000,1.94
2014,55870000000,15347000000,11704000000,91956000000,55865000000,13019000000,20418000000,-10197000000,2.39
2015,55355000000,14002000000,11420000000,103065000000,61085000000,20036000000,19017000000,-7446000000,2.41
2016,59387000000,13133000000,10316000000,113327000000,66226000000,20649000000,21808000000,-9625000000,2.18
2017,62761000000,18050000000,9601000000,123249000000,69019000000,25037000000,22110000000,-11778000000,2.04
2018,70848000000,23316000000,21053000000,127963000000,74563000000,25098000000,29432000000,-15181000000,4.57
2019,71965000000,22035000000,21048000000,136524000000,77504000000,25308000000,33145000000,-16213000000,4.77
2020,77867000000,23678000000,20899000000,153091000000,81038000000,33897000000,35384000000,-14453000000,4.98
2021,79024000000,19456000000,19868000000,168406000000,95391000000,33510000000,29456000000,-20329000000,4.89
2022,63054000000,2334000000,8014000000,182103000000,103286000000,37684000000,15433000000,-25050000000,1.95
2023,54228000000,93000000,1689000000,191572000000,109965000000,46978000000,11471000000,-25750000000,0.4
2024,53101000000,-11678000000,-18756000000,196485000000,105032000000,46282000000,8288000000,-23944000000,-4.38
