year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,71312000000,18957000000,13831000000,132683000000,74053000000,13328000000,17414000000,-3595000000,4.9
2014,74331000000,21137000000,16323000000,130358000000,0,15122000000,18471000000,-3714000000,5.86
2015,70074000000,18289000000,15409000000,133411000000,71150000000,12857000000,19279000000,-3463000000,5.57
2016,71890000000,20891000000,16540000000,141208000000,70418000000,22442000000,18767000000,-3226000000,6.08
2017,76450000000,18897000000,1300000000,157303000000,60160000000,30675000000,21056000000,-3279000000,0.48
2018,81581000000,21175000000,15297000000,152954000000,59752000000,27684000000,22201000000,-3670000000,5.75
2019,82059000000,20970000000,15119000000,157728000000,59471000000,26494000000,23416000000,-3498000000,5.74
2021,82584000000,19733000000,14714000000,174894000000,63278000000,32635000000,23536000000,-3347000000,5.59
2022,78740000000,20943000000,20878000000,182018000000,74023000000,29985000000,23410000000,-3652000000,7.93
2023,79990000000,21013000000,17941000000,187378000000,76804000000,26886000000,21194000000,-4009000000,6.83
2024,88821000000,22149000000,14066000000,180104000000,71490000000,30651000000,24266000000,-4424000000,5.84
