year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,106717000000,26675000000,17886000000,2415689000000,211178000000,295883000000,107953000000,0,4.38
2014,103009000000,30699000000,21745000000,2572274000000,231727000000,306601000000,36593000000,0,5.33
2015,101006000000,30702000000,24442000000,2351698000000,247573000000,309756000000,73466000000,0,6.05
2016,106387000000,34536000000,24733000000,2490972000000,254190000000,295245000000,21884000000,0,6.24
2017,114579000000,35900000000,24441000000,2533600000000,255693000000,284080000000,-10827000000,0,6.35
2018,129824000000,40764000000,32474000000,2622532000000,256515000000,282031000000,15614000000,0,9.04
2019,142515000000,44866000000,36431000000,2687379000000,261330000000,291498000000,4092000000,0,10.75
2020,129843000000,35815000000,29131000000,3384757000000,279354000000,281685000000,-79910000000,0,8.89
2021,127238000000,59562000000,48334000000,3743567000000,294127000000,301005000000,78084000000,0,15.39
2022,153824000000,46166000000,37676000000,3665743000000,292332000000,295865000000,107119000000,0,12.1
2023,236273000000,61612000000,49552000000,3875393000000,327878000000,391825000000,12974000000,0,16.25
2024,270789000000,75081000000,58471000000,4002814000000,344758000000,401418000000,-42012000000,0,19.79
