year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,46854000000,10228000000,8584000000,90055000000,33440000000,19154000000,10542000000,-2550000000,1.94
2014,45998000000,9708000000,7098000000,92023000000,30561000000,19063000000,10615000000,-2406000000,1.62
2015,44294000000,8728000000,7351000000,89996000000,25764000000,28311000000,10528000000,-2553000000,1.69
2016,41863000000,8657000000,6527000000,87270000000,23220000000,29684000000,8796000000,-2262000000,1.51
2017,36212000000,7755000000,1248000000,87896000000,18977000000,31182000000,7106000000,-1675000000,0.29
2018,34300000000,9152000000,6434000000,83216000000,19058000000,25376000000,7627000000,-1548000000,1.51
2019,37266000000,10086000000,8920000000,86381000000,21098000000,27516000000,10471000000,-2054000000,2.09
2020,33014000000,8997000000,7747000000,87296000000,21284000000,40125000000,9844000000,-1177000000,1.8
2021,38655000000,10308000000,9771000000,94354000000,24860000000,38116000000,12625000000,-1367000000,2.26
2022,43004000000,10909000000,9542000000,92763000000,25826000000,36377000000,11018000000,-1484000000,2.2
2023,45754000000,11311000000,10714000000,97703000000,27480000000,35547000000,11599000000,-1852000000,2.48
2024,47061000000,9992000000,10631000000,100549000000,26372000000,42375000000,6805000000,-2064000000,2.47
