year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,11925000000,2664000000,1755000000,20255000000,7310000000,8026000000,2917000000,-2020000000,5.94
2014,12273000000,2717000000,1694000000,19802000000,6186000000,8669000000,2868000000,-1689000000,5.79
2015,10776000000,2471000000,1547000000,18319000000,4906000000,8975000000,2682000000,-1541000000,5.39
2016,10534000000,2315000000,1500000000,19332000000,5452000000,8917000000,2773000000,-1465000000,5.25
2017,11437000000,2492000000,1247000000,20436000000,6522000000,7783000000,3041000000,-1311000000,4.36
2018,14836000000,2244000000,4381000000,93386000000,57096000000,12288000000,3702000000,-1883000000,13.26
2019,28228000000,3268000000,2285000000,86612000000,51635000000,10693000000,6188000000,-3682000000,4.22
2020,27243000000,3889000000,2501000000,88229000000,49582000000,12152000000,7429000000,-3400000000,4.75
2021,30793000000,5283000000,3826000000,81605000000,45441000000,11335000000,9725000000,-3086000000,7.4
2022,33364000000,6460000000,4147000000,79658000000,41387000000,12198000000,8864000000,-3173000000,8.3
2023,32854000000,8105000000,6199000000,80811000000,41095000000,13397000000,9305000000,-3787000000,12.7
2024,33005000000,8595000000,6565000000,80147000000,39488000000,15343000000,9423000000,-4497000000,13.71
