year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,23113100000,5548100000,4684800000,35248700000,17640700000,4200300000,5735000000,-1093300000,4.19
2014,19615600000,3328700000,2390500000,36307600000,15388100000,5349200000,4458400000,-1565900000,2.15
2015,19958700000,3592100000,2408400000,35568900000,14590300000,7972400000,2964600000,-1626200000,2.18
2016,21222100000,3871300000,2737600000,38805900000,14080500000,8367800000,4851000000,-1092000000,2.49
2017,19973800000,4249800000,-204100000,44981000000,11667900000,9931800000,5615600000,-2163600000,-0.19
2018,21493300000,6025800000,3232000000,43908400000,10909100000,9196400000,5524500000,-3018200000,3.14
2019,22319500000,5999400000,8318400000,39286100000,2699100000,13817900000,4836600000,-1353500000,8.69
2020,24539800000,7210800000,6193700000,46633100000,5825200000,16586600000,6499600000,-2029100000,6.47
2021,28318400000,7933000000,5581700000,48806000000,9154800000,15346400000,7365900000,-1978400000,5.85
2022,28541400000,8653300000,6244800000,49489800000,10775400000,14737500000,7585700000,-2985300000,6.57
2023,34124100000,10787300000,5240400000,64006300000,10863700000,18320800000,4240100000,-7392100000,5.83
2024,45042700000,17501700000,10590000000,78714900000,14271600000,28527100000,8817900000,-8403600000,11.76
