year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,8312000000,4503000000,3116000000,14242000000,7495000000,0,4135000000,-299000000,2.57
2014,9441000000,5106000000,3617000000,15329000000,6824000000,1494000000,3407000000,-334000000,3.11
2015,9667000000,5078000000,3808000000,16250000000,6062000000,3268000000,4043000000,-342000000,3.36
2016,10776000000,5761000000,4059000000,18675000000,5684000000,5180000000,4484000000,-382000000,3.7
2017,12497000000,6622000000,3915000000,21329000000,5568000000,5424000000,5555000000,-423000000,3.67
2018,14950000000,7282000000,5859000000,24860000000,5489000000,5834000000,6223000000,-504000000,5.63
2019,16883000000,9664000000,8118000000,29236000000,5991000000,8527000000,8183000000,-728000000,7.98
2020,15301000000,8081000000,6411000000,33584000000,6517000000,12023000000,7224000000,-708000000,6.4
2021,18884000000,10082000000,8687000000,37669000000,7412000000,13109000000,9463000000,-814000000,8.79
2022,22237000000,12264000000,9930000000,38724000000,6377000000,13749000000,11195000000,-1097000000,10.26
2023,25098000000,14008000000,11195000000,42448000000,6997000000,14344000000,11980000000,-371000000,11.86
2024,28167000000,15582000000,12874000000,48081000000,6515000000,17476000000,14780000000,-474000000,13.92
