year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,28105700000,8764300000,5585900000,36626300000,16009700000,14129800000,7120700000,-2824700000,5.59
2014,27441300000,7949200000,4757800000,34227400000,12853400000,14935700000,6730300000,-2583400000,4.85
2015,25413000000,7145500000,4529300000,37938700000,7087900000,24122100000,6539100000,-1813900000,4.82
2016,24621900000,7744500000,4686500000,31023900000,-2204300000,25878500000,6059600000,-1821100000,5.49
2017,22820400000,9552700000,5192300000,33803700000,-3268000000,29536400000,5551200000,-1853700000,6.43
2018,21257900000,8822600000,5924300000,32811200000,-6258400000,31075300000,6966700000,-2741700000,7.61
2019,21364400000,9069800000,6025400000,47510800000,-8210300000,34118100000,8122100000,-2393700000,7.95
2020,19207800000,7324000000,4730500000,52626800000,-7824900000,35196800000,6265200000,-1640800000,6.35
2021,23222900000,10356000000,7545200000,53854300000,-4601000000,35622700000,9141500000,-2040000000,10.11
2022,23182000000,9371000000,6177000000,50435600000,-6003400000,35903500000,7386700000,-1899200000,8.39
2023,25495000000,11647000000,8469000000,56147000000,-4706000000,37153000000,9611900000,-2357400000,11.63
2024,25920000000,11712000000,8223000000,55182000000,-3796000000,38424000000,9447000000,-2775000000,11.45
