year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,7872000000,2804000000,1491000000,17895000000,15470000000,0,4222000000,-1362000000,0.62
2014,12466000000,4994000000,2940000000,40184000000,36096000000,119000000,5457000000,-1831000000,1.12
2015,17928000000,6225000000,3688000000,49407000000,44218000000,0,8599000000,-2523000000,1.31
2016,27638000000,12427000000,10188000000,64961000000,59194000000,0,16108000000,-4491000000,3.56
2017,40653000000,20203000000,15920000000,84524000000,74347000000,0,24216000000,-6733000000,5.49
2018,55838000000,24913000000,22112000000,97334000000,84127000000,0,29274000000,-13915000000,7.65
2019,70697000000,23986000000,18485000000,133376000000,101054000000,0,36314000000,-15102000000,6.48
2020,85965000000,32671000000,29146000000,159316000000,128290000000,0,38747000000,-15115000000,10.22
2021,117929000000,46753000000,39370000000,165987000000,124879000000,0,57683000000,-18567000000,13.99
2022,116609000000,28944000000,23200000000,185727000000,125713000000,9923000000,50475000000,-31431000000,8.63
2023,134902000000,46751000000,39098000000,229623000000,153168000000,18385000000,71113000000,-27266000000,15.19
2024,164501000000,69380000000,62360000000,276054000000,182637000000,28826000000,91328000000,-37256000000,24.61
