year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,77849000000,26764000000,21863000000,142431000000,78944000000,12601000000,28833000000,-4257000000,2.61
2014,86833000000,27759000000,22074000000,172384000000,89784000000,20645000000,32502000000,-5485000000,2.66
2015,93580000000,18161000000,12193000000,174472000000,80083000000,27808000000,29668000000,-5944000000,1.49
2016,91154000000,26078000000,20539000000,193468000000,71997000000,40557000000,33325000000,-8343000000,2.12
2017,96571000000,29025000000,25489000000,250312000000,87711000000,76073000000,39507000000,-8129000000,3.29
2018,110360000000,35058000000,16571000000,258848000000,82718000000,72242000000,43884000000,-11632000000,2.15
2019,125843000000,42959000000,39240000000,286556000000,102330000000,66662000000,52185000000,-13925000000,5.11
2020,143015000000,52959000000,44281000000,301311000000,118304000000,59578000000,60675000000,-15441000000,5.82
2021,168088000000,69916000000,61271000000,333779000000,141988000000,50074000000,76740000000,-20622000000,8.12
2022,198270000000,83383000000,72738000000,364840000000,166542000000,47032000000,89035000000,-23886000000,9.7
2023,211915000000,88523000000,72361000000,411976000000,206223000000,41990000000,87582000000,-28107000000,9.72
2024,245122000000,109433000000,88136000000,512163000000,268477000000,42688000000,118548000000,-44477000000,11.86
