year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,15136000000,3241000000,1720000000,69306000000,18040000000,23969000000,5098000000,-3228000000,1.1
2014,17021000000,4384000000,2465000000,74929000000,20168000000,24367000000,5500000000,-3503000000,1.4
2015,17486000000,4632000000,2752000000,82479000000,23112000000,26681000000,6116000000,-3872000000,1.49
2016,16138000000,4459000000,2912000000,89993000000,25331000000,27818000000,6336000000,-4240000000,1.56
2017,17173000000,5173000000,5380000000,97827000000,29498000000,31410000000,6413000000,-5445000000,2.85
2018,16727000000,4280000000,6638000000,103702000000,37413000000,26782000000,6593000000,-6010000000,3.51
2019,19204000000,5353000000,3769000000,117691000000,41360000000,37543000000,8155000000,-11077000000,1.95
2020,17997000000,5116000000,2919000000,127684000000,44929000000,41944000000,7983000000,-7759000000,1.49
2021,17069000000,2913000000,3573000000,140912000000,45669000000,50960000000,7553000000,-7830000000,1.8206
2022,20956000000,4081000000,4147000000,158935000000,49436000000,55256000000,8262000000,-9742000000,2.1023
2023,28114000000,10237000000,7310000000,177489000000,59024000000,61405000000,11301000000,-9548000000,3.61
2024,24753000000,7479000000,6946000000,190144000000,60861000000,72385000000,13260000000,-8514000000,3.38
