year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,4374562000,228347000,112403000,5412563000,1333561000,500000000,97831000,-120070000,0.028
2014,5504656000,402648000,266799000,7042500000,1857708000,885849000,16483000,-144516000,0.063
2015,6779511000,305826000,122641000,10202871000,2223426000,2371362000,-749439000,-169206000,0.029
2016,8830669000,379793000,186678000,13586610000,2679800000,3364311000,-1473984000,-184830000,0.044
2017,11692713000,838679000,558929000,19012742000,3581956000,6499432000,-1785948000,-227022000,0.129
2018,15794341000,1605226000,1211242000,25974400000,5238765000,10360058000,-2680479000,-212532000,0.278
2019,20156447000,2604254000,1866916000,33975712000,7582157000,14759260000,-2887322000,-253035000,0.426
2020,24996056000,4585289000,2761395000,39280359000,11065240000,15809095000,2427077000,-497923000,0.63
2021,29697844000,6194509000,5116228000,44584663000,15849248000,14693072000,392610000,-524585000,1.16
2022,31615550000,5632831000,4491924000,48594768000,20777401000,14353076000,2026257000,-407729000,1.01
2023,33723297000,6954003000,5407990000,48731992000,20588313000,14143417000,7274301000,-348552000,1.23
2024,39000966000,10417614000,8711631000,53630374000,24743567000,13798351000,7361364000,-439538000,2.03
