year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,4280159000,648239000,562536000,6412245000,4827703000,0,824172000,-183309000,0.023
2014,4130000000,496000000,440000000,7250894000,4456398000,1356375000,835000000,-255000000,0.019
2015,4682000000,759000000,631000000,7201000000,4418000000,1384000000,906000000,-122000000,0.028
2016,5010000000,747000000,614000000,7370000000,4469000000,0,1175000000,-86000000,0.028
2017,6910000000,1934000000,1666000000,9841000000,5762000000,1983000000,1672000000,-176000000,0.077
2018,9714000000,3210000000,3047000000,11241000000,7471000000,1985000000,3502000000,-593000000,0.13
2019,11716000000,3804000000,4141000000,13292000000,9342000000,1988000000,3743000000,-600000000,0.17
2020,10918000000,2846000000,2796000000,17315000000,12204000000,1991000000,4761000000,-489000000,0.12
2021,16675000000,4532000000,4332000000,28791000000,16893000000,5964000000,5822000000,-1128000000,0.18
2022,26914000000,10041000000,9752000000,44187000000,26612000000,10946000000,9108000000,-976000000,0.39
2023,26974000000,4224000000,4368000000,41182000000,22101000000,9703000000,5641000000,-1833000000,0.18
2024,60922000000,32972000000,29760000000,65728000000,42978000000,8459000000,28090000000,-1069000000,1.21
