year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,37180000000,14432000000,10925000000,81812000000,45145000000,18494000000,14224000000,-650000000,2.29
2014,38275000000,14759000000,10955000000,90344000000,47447000000,22589000000,14921000000,-580000000,2.42
2015,38226000000,13871000000,9938000000,110903000000,49098000000,39959000000,14336000000,-1391000000,2.26
2016,37047000000,12604000000,8901000000,112180000000,47790000000,40105000000,13561000000,-1189000000,2.11
2017,37728000000,12913000000,9452000000,134991000000,54246000000,48112000000,14126000000,-2021000000,2.27
2018,39831000000,13264000000,3587000000,137264000000,46722000000,56128000000,15386000000,-1736000000,0.87
2019,39506000000,13535000000,11083000000,108709000000,22363000000,51673000000,14551000000,-1660000000,3.05
2020,39068000000,13896000000,10135000000,115438000000,12717000000,69226000000,13139000000,-1564000000,3.16
2021,40479000000,15213000000,13746000000,131107000000,5952000000,75995000000,15887000000,-2135000000,4.67
2022,42440000000,10926000000,6717000000,109297000000,-5768000000,72133000000,9539000000,-4511000000,2.49
2023,49954000000,13093000000,8503000000,134384000000,1556000000,86420000000,17165000000,-8695000000,3.15
2024,52961000000,15353000000,10467000000,140976000000,9239000000,76264000000,18673000000,-6866000000,3.81
