year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,396107000,-18621000,-29246000,585606000,272420000,0,114519000,-22442000,-0.07
2014,598179000,-215300000,-226452000,1478466000,468583000,466875000,88406000,-36107000,-0.51
2015,928052000,-99800000,-164982000,1965178000,575815000,0,350304000,-33828000,-0.335
2016,1378500000,-157300000,-225900000,2858200000,789900000,500200000,658100000,-72500000,-0.43
2017,1761600000,-165800000,-216600000,3438300000,759600000,524700000,868500000,-163400000,-0.4
2018,2273100000,-104200000,-147900000,5823000000,988300000,1369700000,1037000000,-112000000,-0.27
2019,2899600000,-54100000,-81900000,6592200000,1586300000,1430000000,1055600000,-131200000,-0.145
2020,3408400000,-179000000,-267000000,9065400000,1101800000,3084100000,1035700000,-214400000,-0.46
2021,4256100000,-304100000,-498900000,10241600000,763600000,1668100000,1503000000,-116000000,-0.86
2022,5501500000,-188800000,-267000000,12253600000,210000000,0,1984700000,-192800000,-0.45
2023,6892700000,387300000,439700000,14501100000,1748400000,0,2777500000,-146300000,0.73
2024,8027500000,683900000,2577600000,19990900000,5169700000,0,3257600000,-156800000,4.04
