year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,66415000000,9705000000,6740000000,77478000000,24389000000,24333000000,9688000000,-2795000000,4.37
2014,66683000000,9581000000,6513000000,70509000000,17548000000,23821000000,10506000000,-2859000000,4.31
2015,63056000000,8353000000,5452000000,69667000000,12030000000,29213000000,10580000000,-2758000000,3.71
2016,62799000000,9804000000,6329000000,73490000000,11199000000,30053000000,10404000000,-3040000000,4.39
2017,63525000000,10276000000,4857000000,79804000000,10981000000,33796000000,9994000000,-2969000000,3.42
2018,64661000000,10110000000,12515000000,77648000000,14602000000,28295000000,9415000000,-3282000000,8.84
2019,67161000000,10291000000,7314000000,78547000000,14868000000,29148000000,9649000000,-4232000000,5.23
2020,70372000000,10080000000,7120000000,92918000000,13552000000,40370000000,10613000000,-4240000000,5.14
2021,79474000000,11162000000,7618000000,92377000000,16151000000,36026000000,11616000000,-4625000000,5.51
2022,86392000000,11512000000,8910000000,92187000000,17273000000,35657000000,10811000000,-5207000000,6.46
2023,91471000000,11986000000,9074000000,100495000000,18637000000,37595000000,13442000000,-5518000000,6.59
2024,91854000000,12887000000,9578000000,99467000000,18171000000,37224000000,12507000000,-5318000000,6.98
