year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,51584000000,16888000000,11649000000,172101000000,76620000000,30462000000,17765000000,-1465000000,1.7095
2014,49605000000,14029000000,9080000000,169274000000,71622000000,31541000000,16883000000,-1583000000,1.4307
2015,48851000000,13296000000,6966000000,167460000000,64998000000,28740000000,14512000000,-1496000000,1.1278
2016,52824000000,14274000000,7215000000,171615000000,59840000000,30399000000,15901000000,-1999000000,1.18
2017,52546000000,14391000000,21305000000,171797000000,71656000000,32666000000,16470000000,-2217000000,3.5685
2018,53647000000,15289000000,11153000000,159422000000,63758000000,32909000000,15827000000,-2196000000,1.8992
2019,41172000000,7511000000,16273000000,167488000000,63446000000,34650000000,12588000000,-2594000000,2.9219
2020,41651000000,9085000000,9159000000,154229000000,63473000000,35571000000,14403000000,-2791000000,1.6488
2021,81288000000,20793000000,22147000000,181477000000,77463000000,34757000000,32580000000,-2711000000,3.9539
2022,100330000000,37549000000,31365000000,197206000000,95917000000,31925000000,29267000000,-3236000000,5.5929
2023,59553000000,5292000000,2133000000,226501000000,89288000000,60499000000,8700000000,-3907000000,0.3755
2024,63627000000,16483000000,8020000000,213396000000,88497000000,57405000000,12744000000,-2909000000,1.42
