year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,80116000000,13817000000,11312000000,139263000000,68709000000,19111000000,14873000000,-4008000000,4.04
2014,74401000000,13910000000,11643000000,144266000000,69976000000,19811000000,13958000000,-3848000000,4.19
2015,70749000000,11049000000,7036000000,129495000000,63050000000,18327000000,14608000000,-3736000000,2.5
2016,65299000000,13441000000,10508000000,127136000000,57983000000,18945000000,15435000000,-3314000000,3.8
2017,65058000000,13766000000,15326000000,120406000000,55778000000,18038000000,12753000000,-3384000000,5.8
2018,66832000000,13363000000,9750000000,118310000000,52883000000,20863000000,14867000000,-3717000000,3.75
2019,67684000000,5487000000,3897000000,115095000000,47579000000,20395000000,15242000000,-3347000000,1.45
2020,70950000000,15706000000,13027000000,120700000000,46878000000,23537000000,17403000000,-3073000000,5.13
2021,76118000000,17986000000,14306000000,119307000000,46654000000,23099000000,18371000000,-2787000000,5.69
2022,80187000000,17813000000,14742000000,117208000000,46854000000,22848000000,16723000000,-3156000000,6
2023,82006000000,18134000000,14653000000,120829000000,47065000000,24378000000,16848000000,-3062000000,6.07
2024,84039000000,18545000000,14879000000,122370000000,50558000000,25269000000,19846000000,-3322000000,6.18
